gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,p_value,significant_p05,standard_error
MED4:RPD3:YAP6,trigenic,Total Capacity,-1.7740952189868313,0.16963686429955685,7.545426259663414e-19,True,0.18842012923648904
MED4:RPD3:TFC7,trigenic,Total Capacity,-1.4139502253163079,0.24318076450989165,5.521727809668714e-13,True,0.188420129236489
MED4:SPT3:YAP6,trigenic,Total Capacity,-1.354387156763337,0.2581054241560567,4.238411973799133e-12,True,0.18842012923648918
MED4:SPT3:TFC7,trigenic,Total Capacity,-1.42243687349848,0.24112570752394133,4.109952246434795e-13,True,0.18842012923648913
MED4:YAP6:TFC7,trigenic,Total Capacity,-1.5892209365740924,0.2040845446212826,9.811365829674504e-16,True,0.18842012923648913
OPI1:RFX1:RGR1,trigenic,Total Capacity,0.27238446369131464,1.3130917403755087,0.14920952388039557,False,0.1884201292364893
OPI1:RFX1:RPD3,trigenic,Total Capacity,-1.0343850582629284,0.355444891631482,7.915700615489737e-08,True,0.18842012923648907
OPI1:RFX1:SPT3,trigenic,Total Capacity,0.06409820950407263,1.066197104308739,0.7339265005858937,False,0.18842012923648913
OPI1:RFX1:YAP6,trigenic,Total Capacity,0.15330240859437733,1.1656774365220273,0.41643538846937067,False,0.18842012923648924
OPI1:RFX1:TFC7,trigenic,Total Capacity,0.11554658361177517,1.122486802819827,0.5401307064127263,False,0.18842012923648904
OPI1:RGR1:RPD3,trigenic,Total Capacity,-0.6168054373430217,0.5396656826553324,0.001171792850658063,True,0.18842012923648901
OPI1:RGR1:SPT3,trigenic,Total Capacity,0.2627833376121871,1.3005449092585484,0.16403218112755344,False,0.18842012923648918
OPI1:RGR1:YAP6,trigenic,Total Capacity,0.29840111749260007,1.3477022664284883,0.11419698754035515,False,0.1884201292364891
OPI1:RGR1:TFC7,trigenic,Total Capacity,0.22202737748420037,1.248605561075377,0.2394806949653941,False,0.18842012923648938
OPI1:RPD3:SPT3,trigenic,Total Capacity,-0.2674237933110727,0.7653486530872432,0.1567344978039907,False,0.18842012923648913
