gene_set,interaction_type,ffa_type,E_capacity,E_composition,E_combined,phi_capacity,phi_composition,phi_combined,p_value_capacity,p_value_composition,effect_type
YAP6:TFC7,digenic,C140,0.5714496855061494,-0.5482305049646092,0.023219180541540152,1.770832341531872,0.577971623986058,1.0234908442422097,2.3444130882839202e-05,1.7118010010463898e-07,both
OPI1:RGR1,digenic,C140,0.013030270968538038,-0.6563810686820428,-0.6433507977135048,1.0131155348841208,0.5187251725733933,0.5255285306695513,0.9221486668760812,5.398741515834957e-10,composition-only
MED4:RPD3:TFC7,trigenic,C140,-1.4139502253163079,2.4059223820288063,0.9919721567124984,0.24318076450989165,11.088653541336535,2.696547245567536,5.521727809668714e-13,1.4706703544034114e-45,both
FKH1:OPI1,digenic,C140,0.6551248447025352,-1.7688448587241932,-1.1137200140216579,1.9253828762247345,0.17052986117723162,0.32833527459562295,1.37292353912742e-06,3.4620777688871163e-48,both
MED4:OPI1,digenic,C140,0.9153592785987956,-1.5658906197650886,-0.650531341166293,2.4976724509814625,0.2089018781561739,0.5217684660289617,3.089668871524436e-11,2.482034919043725e-40,both
MED4:RFX1:RGR1,trigenic,C140,-1.2327792166353486,3.4913518104250945,2.258572593789746,0.291481361082069,32.83029806202064,9.569419963847789,2.2385205680357213e-10,3.5247151450942813e-75,both
FKH1:GCN5:SPT3,trigenic,C140,-1.3695566817011962,1.6857863577265595,0.31622967602536334,0.2542196347914757,5.396692995476219,1.3719453223916793,1.0105705282534781e-11,3.392157653890664e-25,both
RFX1:YAP6,digenic,C140,0.22229884206319056,-0.8326898624085637,-0.6103910203453731,1.2489445592692583,0.434877949811255,0.5431384493629365,0.09614353214495616,9.408757136767361e-15,both
GCN5:MED4:RGR1,trigenic,C140,-0.7141555361845953,1.5415650092502007,0.8274094730656054,0.48960539130876213,4.671896113274843,2.287385524693814,0.00040614802241330044,8.216940221742669e-21,both
GCN5:OPI1:TFC7,trigenic,C140,-1.072764932008642,0.9949922192552709,-0.07777271275337116,0.3420614321062667,2.7047032965916618,0.9251746830546845,1.092905121707989e-06,5.812751088900089e-09,both
OPI1:RGR1:TFC7,trigenic,C140,0.22202737748420037,-0.12437408747142664,0.09765329001277373,1.248605561075377,0.8830494413547808,1.1025804431800843,0.2394806949653941,0.3922768055732795,both
RGR1:SPT3,digenic,C140,0.23376523464435342,-0.9223129343101031,-0.6885476996657497,1.263347867079168,0.397598357871502,0.5023050373711418,0.0802411231347181,1.882479758513757e-17,both
GCN5:MED4:TFC7,trigenic,C140,-1.4794072615240959,1.794726105104882,0.3153188435807861,0.2277726579971735,6.017826244174764,1.3706962790008337,1.0961022632804e-12,1.368036159606958e-26,both
RGR1:RPD3:TFC7,trigenic,C140,-0.8070133664584711,1.7264853166888574,0.9194719502303863,0.44618868028394754,5.620863594987096,2.5079657095033774,2.4056333245437733e-05,1.7781610139652336e-27,both
GCN5:SPT3,digenic,C140,0.1399619114683402,-0.37215080463923034,-0.23218889317089014,1.1502299874515833,0.6892502925446432,0.7927963553446252,0.32283496804682466,0.0007121168730428806,both
MED4:RGR1:SPT3,trigenic,C140,-1.1764029829458504,3.0237879091789344,1.847384926233084,0.308386015717715,20.569058028993094,6.343209852627656,1.2832011091020775e-09,1.4763975463116917e-62,both
OPI1:RPD3:YAP6,trigenic,C140,-0.25887075670783244,0.002178891470854566,-0.25669186523697785,0.7719227824386499,1.0021812669798875,0.7736065521150062,0.17038260303591593,0.9880358281304702,capacity-only
