gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,p_value,significant_p05,standard_error
RFX1:RGR1:SPT3,trigenic,C180,-0.7421506225415047,0.47608892615712783,0.002899439183532805,True,0.24737604006150726
RFX1:RGR1:YAP6,trigenic,C180,-0.885491608649757,0.4125113292856045,0.0003945863262874909,True,0.24737604006150737
RFX1:RGR1:TFC7,trigenic,C180,-0.7758458140123725,0.460314276033044,0.0018611460785612499,True,0.2473760400615071
RFX1:RPD3:SPT3,trigenic,C180,-0.8262649109935709,0.4376810146453936,0.0009309808055119897,True,0.24737604006150704
RFX1:RPD3:YAP6,trigenic,C180,-1.1380614754076361,0.32043960016405676,5.967864296686666e-06,True,0.24737604006150715
RFX1:RPD3:TFC7,trigenic,C180,-0.9656852342344869,0.3807222264322452,0.00011435970559962554,True,0.2473760400615072
RFX1:SPT3:YAP6,trigenic,C180,-0.8165190035953657,0.4419674670399468,0.0010672853266583372,True,0.2473760400615071
RFX1:SPT3:TFC7,trigenic,C180,-0.8411907749971322,0.43119675928123974,0.0007532879387904565,True,0.24737604006150726
RFX1:YAP6:TFC7,trigenic,C180,-0.6711219452836208,0.5111347907001527,0.0070098982851245955,True,0.2473760400615069
RGR1:RPD3:SPT3,trigenic,C180,-0.9393764434969124,0.3908714898438205,0.00017334000300612672,True,0.24737604006150707
RGR1:RPD3:YAP6,trigenic,C180,-1.1432322410883005,0.3187869584704751,1.0107832352247614e-05,True,0.2550340238555599
RGR1:RPD3:TFC7,trigenic,C180,-1.220176417753092,0.29517808767530757,1.2760092449889944e-06,True,0.24737604006150715
RGR1:SPT3:YAP6,trigenic,C180,-0.9596295624405048,0.3830347501556289,0.0001259528266938591,True,0.24737604006150726
RGR1:SPT3:TFC7,trigenic,C180,-1.074652350684857,0.3414164278589054,1.8507128850743542e-05,True,0.24737604006150754
RGR1:YAP6:TFC7,trigenic,C180,-1.088955389212556,0.3365678925885531,1.4403139794494356e-05,True,0.24737604006150732
RPD3:SPT3:YAP6,trigenic,C180,-1.1608841253085151,0.31320914230267344,3.920751152414047e-06,True,0.24737604006150718
RPD3:SPT3:TFC7,trigenic,C180,-1.2926847650428424,0.27453273689762286,3.0446706366146445e-07,True,0.24737604006150737
RPD3:YAP6:TFC7,trigenic,C180,-1.3090169708985422,0.2700854277647946,2.1850432351848863e-07,True,0.24737604006150776
SPT3:YAP6:TFC7,trigenic,C180,-1.1664607476236584,0.31146735437107037,3.5346502782399963e-06,True,0.24737604006150737
FKH1:GCN5:MED4,trigenic,C161,0.2127629003159922,1.2370913025116148,0.20566225312987646,False,0.1677909558276297
FKH1:GCN5:OPI1,trigenic,C161,0.9983544999457109,2.7138125736506966,2.5274081028833228e-09,True,0.16301132103904023
FKH1:GCN5:RFX1,trigenic,C161,0.7699011203958057,2.159552707510448,3.4120384045033304e-06,True,0.16301132103904012
FKH1:GCN5:RGR1,trigenic,C161,0.9354107136814866,2.548259848024462,2.1266297429754208e-08,True,0.1630113210390401
FKH1:GCN5:RPD3,trigenic,C161,1.2485030282866225,3.485121921631007,1.9920305318638395e-13,True,0.16301132103904
