gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05,ci_lower,ci_upper
MED4:OPI1,digenic,C160,1.546674166425594,4.695826645193266,0.18581290736354675,2.1362977934018877e-15,5.287337038669672e-14,1.546674166425594,True,True,1.1811788192251933,1.9121695136259949
MED4:RFX1,digenic,C160,1.1320738408180926,3.1020830604617498,0.18581290736354658,3.025721055234365e-09,1.5765599182536955e-08,1.1320738408180926,True,True,0.7665784936176923,1.497569188018493
MED4:RGR1,digenic,C160,1.2823684573638938,3.6051683092191324,0.1858129073635465,2.551916020738582e-11,2.021117488424957e-10,1.2823684573638938,True,True,0.9168731101634936,1.647863804564294
MED4:RPD3,digenic,C160,1.5629900585337273,4.773071693432511,0.18581290736354655,1.1525726610179611e-15,3.083910633534545e-14,1.5629900585337273,True,True,1.197494711333327,1.9284854057341276
MED4:SPT3,digenic,C160,1.1836966546440064,3.2664267637525533,0.1858129073635467,6.1657450809571e-10,3.655142293501514e-09,1.1836966546440064,True,True,0.8182013074436059,1.549192001844407
MED4:YAP6,digenic,C160,1.2452519480579574,3.4738099087513605,0.1858129073635466,8.641388133260812e-11,6.1992567042958e-10,1.2452519480579574,True,True,0.8797566008575569,1.6107472952583577
MED4:TFC7,digenic,C160,1.3912988908352804,4.020068293161577,0.1858129073635468,6.155031148165062e-13,8.01773794300449e-12,1.3912988908352804,True,True,1.0258035436348796,1.7567942380356811
OPI1:RFX1,digenic,C160,0.6089994240447794,1.838590828345602,0.1858129073635465,0.0011561307522253888,0.002430083746715785,0.6089994240447794,True,True,0.24350407684437914,0.9744947712451796
OPI1:RGR1,digenic,C160,0.25532931880270776,1.2908866641323433,0.18581290736354655,0.17031478332035774,0.21849582513673158,0.25532931880270776,False,False,-0.11016602839769257,0.620824666003108
OPI1:RPD3,digenic,C160,1.0983060236995872,2.9990813457774164,0.18581290736354653,8.3200179394845e-09,4.0575456946254464e-08,1.0983060236995872,True,True,0.7328106764991869,1.4638013708999875
OPI1:SPT3,digenic,C160,0.6097803872727432,1.8400272610013464,0.18581290736354664,0.0011395656536575297,0.0024003616960020305,0.6097803872727432,True,True,0.2442850400723427,0.9752757344731438
OPI1:YAP6,digenic,C160,0.5873045824380525,1.799132460694225,0.1858129073635467,0.0017160365233525043,0.00347418437243145,0.5873045824380525,True,True,0.2218092352376519,0.9527999296384531
OPI1:TFC7,digenic,C160,0.5342020379743411,1.7060863068547467,0.18581290736354678,0.004297039637946631,0.008212488883334295,0.5342020379743411,True,True,0.1687066907739403,0.8996973851747418
RFX1:RGR1,digenic,C160,0.4133932743863422,1.5119395161128373,0.1858129073635466,0.026755642064352936,0.04392717353848989,0.4133932743863422,True,True,0.04789792718594177,0.7788886215867427
RFX1:RPD3,digenic,C160,1.0628947305415475,2.894738360324263,0.18581290736354658,2.3434900045614685e-08,1.0570693479345097e-07,1.0628947305415475,True,True,0.6973993833411471,1.4283900777419478
RFX1:SPT3,digenic,C160,0.40438305205842523,1.498377793742718,0.18581290736354666,0.03022544994370629,0.0490544187610971,0.40438305205842523,True,True,0.038887704858024674,0.7698783992588258
RFX1:YAP6,digenic,C160,0.3652530932217827,1.4408786386213668,0.1858129073635467,0.05015118148232994,0.07614980010353779,0.3652530932217827,False,False,-0.00024225397861793452,0.7307484404221833
RFX1:TFC7,digenic,C160,0.46025118358854017,1.5844719283588746,0.1858129073635465,0.013739280107771763,0.023904898605789184,0.46025118358854017,True,True,0.09475583638813995,0.8257465307889404
RGR1:RPD3,digenic,C160,0.8849636360854833,2.4228962838902413,0.18581290736354653,2.8396601509824466e-06,8.981672682021157e-06,0.8849636360854833,True,True,0.519468288885083,1.2504589832858837
RGR1:SPT3,digenic,C160,0.4718720878154198,1.6029923283617278,0.1858129073635465,0.011548596639631804,0.020307478993313473,0.4718720878154198,True,True,0.10637674061501956,0.83736743501582
RGR1:YAP6,digenic,C160,0.4658949139771662,1.5934395423258134,0.18581290736354675,0.012633104682999574,0.02213588254189306,0.4658949139771662,True,True,0.10039956677676548,0.831390261177567
RGR1:TFC7,digenic,C160,0.766245445792985,2.1516724980408575,0.18581290736354666,4.6963273652801365e-05,0.0001220305535860193,0.766245445792985,True,True,0.4007500985925845,1.1317407929933856
RPD3:SPT3,digenic,C160,0.9243391569335189,2.520202251749461,0.18581290736354658,1.0428935204053688e-06,3.5849464763934555e-06,0.9243391569335189,True,True,0.5588438097331185,1.2898345041339192
RPD3:YAP6,digenic,C160,1.0038804107439032,2.728850370351516,0.18581290736354647,1.2415170569415322e-07,4.838983804614633e-07,1.0038804107439032,True,True,0.6383850635435031,1.3693757579443033
RPD3:TFC7,digenic,C160,1.0375364203664306,2.822255591466744,0.18581290736354641,4.840988956528551e-08,2.048110712377464e-07,1.0375364203664306,True,True,0.6720410731660305,1.4030317675668307
