condition,n_genes,records_per_gene,n_samples_mean,frac_with_se,se_median,response_sd,reliability,ceiling_r_truth,ceiling_r_replicate,n_raw_labels,n_replicates,replicate_rho,hit_jaccard
levulinic acid,3491,1.0,3.0,1.0,0.12046340244085281,0.24324084025518944,0.14894187603251252,0.38592988486577784,0.14894187603251252,1.0,3.0,0.08165407727627236,0.12760992412049366
methyl methanesulfonate,3489,1.0,3.0,1.0,0.10371667733897816,0.6660392323527005,0.8790229214740987,0.9375622227212969,0.8790229214740987,1.0,3.0,0.5358925140608592,0.3994568228943229
methylglyoxal,3484,1.0,3.0,1.0,0.12941583475380547,0.5115986577732876,0.8424175167615386,0.9178330549514648,0.8424175167615386,1.0,3.0,0.5812213641837408,0.2813812290992818
myclobutanil,3496,1.0,3.0,1.0,0.11335617302584546,0.35272456176497724,0.5566298435226035,0.746076298727284,0.5566298435226035,1.0,3.0,0.2338900751686913,0.17956149607844177
nonylacridine orange,3507,1.0,3.0,1.0,0.3278024369476468,0.8294900437313504,0.7139712384680036,0.8449681878437812,0.7139712384680036,1.0,3.0,0.5341231064021196,0.16060988492915684
p-coumaric acid,3510,1.0,3.0,1.0,0.1511125209817813,0.44650984268156196,0.07589627242439656,0.27549278107492503,0.07589627242439656,1.0,3.0,0.18497637787792734,0.11311904661658356
sinapic acid,3495,1.0,3.0,1.0,0.15794756550774086,0.405145584225593,0.31841441094307277,0.5642822086005129,0.31841441094307277,1.0,3.0,0.2007905840507663,0.1585620382141695
sodium acetate,3510,1.0,3.0,1.0,0.20331542422399618,0.3886045470166133,0.3699329222731583,0.6082211129787902,0.3699329222731583,1.0,3.0,0.11071971056842944,0.11682839328667821
sodium butyrate,3490,1.0,3.0,1.0,0.15657369493486792,0.22427979907624612,-0.46715980492967923,0.0,0.0,1.0,3.0,-0.07323075146708687,0.03138261793563899
sodium glyoxylate,3491,1.0,3.0,1.0,0.11818789449926068,0.18565312050324143,-1.0175316287234257,0.0,0.0,1.0,3.0,-0.006247350818651502,0.08039614121510673
syringaldehyde,3514,1.0,3.0,1.0,0.13059144312056795,0.4456640218012555,0.7026500029931609,0.8382422102191949,0.7026500029931609,1.0,3.0,0.412876035144684,0.2658012940915386
syringic acid,3501,1.0,3.0,1.0,0.13571027043886352,0.5224643731642967,0.7684234726280937,0.8765976686189016,0.7684234726280937,1.0,3.0,0.5628460041641395,0.25061835613386546
vanillic acid,3486,1.0,3.0,1.0,0.14019773864596363,0.49850431805409107,0.7608404097853896,0.8722616635995127,0.7608404097853896,1.0,3.0,0.44091847723831057,0.23685023667525598
vanillin,3506,1.0,3.0,1.0,0.13685513061611115,0.468866266064398,0.6556795094486916,0.8097403963300162,0.6556795094486916,1.0,3.0,0.3235876264161477,0.2889331432625161
