condition,n_genes,records_per_gene,n_samples_mean,frac_with_se,se_median,response_sd,reliability,ceiling_r_truth,ceiling_r_replicate,n_raw_labels,n_replicates,replicate_rho,hit_jaccard
"7-oxabicyclo(2.2.1)heptane-2,3-dicarboxylic acid, 1,4-dimethyl-, (exo,exo)-",4093,1.0,1.0,0.0,,1.041648154420965,,,,,,,
"8-benzylamino-7-ethyl-3-methyl-3,7-dihydro-purine-2,6-dione",4093,1.0,1.0,0.0,,1.0643695439977323,,,,,,,
8-methoxypsoralen,4084,1.0,2.0,1.0,0.1673095,1.769247451797349,0.9023989638562478,0.9499468215938447,0.9023989638562478,1.0,2.0,0.8151303162846084,0.35737704918032787
CID 403818,4093,1.0,1.0,0.0,,1.3893483723877171,,,,,,,
CID 622648,4093,1.0,1.0,0.0,,1.8528939899839156,,,,,,,
T=23,4419,1.9504412763068568,1.4891518737672584,0.4891518737672584,0.271211,1.2304739441955483,0.18121556736323174,0.42569421814634945,0.18121556736323174,,,,
T=25,4419,1.9504412763068568,1.0,0.0,,0.7536937943277419,,,,,,,
T=37,4405,1.9266742338251985,3.0,1.0,0.35510149733856844,0.7620490957965461,0.466409619059154,0.682941885565056,0.466409619059154,,,,
acetic acid,4093,1.0,1.0,0.0,,1.7318958893176901,,,,,,,
aclarubicin,4093,1.0,1.0,0.0,,1.147259606360081,,,,,,,
adenophostin a,4093,1.0,1.0,0.0,,1.737530929016168,,,,,,,
aklavin hydrochloride,4084,1.0,3.0,1.0,0.40194325620418614,1.1484176529041303,0.7707971394102502,0.8779505335782023,0.7707971394102502,1.0,3.0,0.41936760051485567,0.20267844334978113
alizarin,4093,1.0,1.0,0.0,,0.8854902906203653,,,,,,,
alverine citrate,4084,1.0,2.0,1.0,0.33197124999999994,2.336198469001167,0.9337803267297448,0.9663230964484626,0.9337803267297448,1.0,2.0,0.7183650696805878,0.5390334572490706
amphotericin b,4084,1.0,2.0,1.0,0.24812475,1.5729926993895844,0.9074311485400033,0.9525918058329094,0.9074311485400033,1.0,2.0,0.7866364253990642,0.38
amsacrine,4093,1.0,1.0,0.0,,1.4420004696681699,,,,,,,
azane;dichloroplatinum,4647,8.028835808048203,2.3283838113106405,1.0,0.3191202626861255,1.1514296659621637,0.9589490537986745,0.9792594415162278,0.9589490537986745,1.0,21.0,0.2728370680399869,0.12657892867395293
basifungin,4629,1.0,1.0,0.0,,1.8775155017031204,,,,,,,
bathophenanthroline disulfonic acid,4084,2.0,1.5,0.5,0.37864575,1.886984424741896,0.9457523495647139,0.9724979946327468,0.9457523495647139,,,,
benomyl,4636,1.9613891285591027,1.5090729132299572,0.5090729132299571,0.39101649999999993,1.9820993336287467,0.9298379596858546,0.9642810584502086,0.9298379596858546,1.0,3.0,0.345429402603652,0.1910467698481586
benzaldehyde,4629,1.0,1.0,0.0,,1.1607690527738728,,,,,,,
"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",4093,1.0,1.0,0.0,,2.1096855613113856,,,,,,,
berberine chloride,4084,1.0,2.0,1.0,0.36000325,1.289590091813017,0.7742292948991467,0.8799030031197455,0.7742292948991467,1.0,2.0,0.4955833028787984,0.2621951219512195
bleomycin,4629,2.0,2.0,1.0,0.34243674999999996,2.7456873183563633,0.9756054838828114,0.9877274340033345,0.9756054838828114,1.0,4.0,0.66630839864243,0.7076361846818094
busulfan,4093,2.0,1.0,0.0,,0.6250932530383131,,,,1.0,2.0,0.07061990251066962,0.04020100502512563
cadmium chloride,4093,1.0,1.0,0.0,,5.730018201731626,,,,,,,
calyculin a,4093,1.0,1.0,0.0,,3.08430412798764,,,,,,,
camptothecin,4636,2.7642364106988784,1.3612173234490832,0.3612173234490831,0.25590449999999987,0.9553441028811941,0.9168826431690795,0.9575398911633288,0.9168826431690795,1.0,4.0,0.19371847716512136,0.15234176789524217
cantharidin,4636,3.647109577221743,1.0,0.0,,1.4439923869930105,,,,1.0,4.0,0.17964591646658654,0.17581458784372694
carmustine,4093,1.0,1.0,0.0,,0.8703956690818334,,,,,,,
caspofungin,4084,1.0,2.0,1.0,0.1801025,0.9607853488828138,0.8269955258557695,0.9093929435924657,0.8269955258557695,1.0,2.0,0.7416326640466261,0.21407624633431085
chlorambucil,4093,3.0,1.3333333333333333,0.3333333333333333,0.43542539999999996,0.6960211575528901,0.630414034741209,0.7939861678525697,0.630414034741209,1.0,4.0,0.142254284197509,0.05995225076099269
"cis-oxalato-trans-l-1,2-diaminocyclohexaneplatinum(ii)",4636,2.7642364106988784,1.3612173234490832,0.3612173234490831,0.330217,1.4056088863248228,0.9466837175825913,0.9729767302369524,0.9466837175825913,1.0,4.0,0.19640269967523757,0.19878749262866904
clotrimazole,4084,2.0,1.0,0.0,,1.3463600864651053,,,,1.0,2.0,0.2897778328530336,0.078125
cobalt chloride,4093,1.0,1.0,0.0,,3.7049227535030926,,,,,,,
copper sulfate,4193,1.9501550202718818,1.0,0.0,,2.7121100763835346,,,,1.0,2.0,0.3852588531658133,0.35570469798657717
curcumin,4629,1.0,1.0,0.0,,1.9171708929998206,,,,,,,
cycloheximide,4093,1.0,1.0,0.0,,1.141591173276397,,,,,,,
diallyl disulfide,4093,3.0,1.0,0.0,,2.2152484071272265,,,,1.0,3.0,0.20658432610889954,0.14429011303802433
diallyl sulfide,4093,1.0,1.0,0.0,,1.313784427715909,,,,,,,
dipropyl disulfide,4093,1.0,1.0,0.0,,1.200783684090949,,,,,,,
disodium cantharidin,4093,1.0,1.0,0.0,,1.5004568675089671,,,,,,,
floxuridine,4405,1.9266742338251985,1.0,0.0,,1.479077919507427,,,,1.0,2.0,0.5784736795932813,0.1694915254237288
formestane,4084,1.0,1.0,0.0,,0.8912683368927602,,,,,,,
hexestrol,4084,1.0,1.0,0.0,,1.0477905438757584,,,,,,,
hydrogen peroxide,4464,1.0,2.0,1.0,0.38747449999999994,8.065603131634983,0.9867694580412067,0.9933627021592902,0.9867694580412067,1.0,2.0,0.9681979166530139,0.8152610441767069
hydroxyurea,4636,5.644089732528041,1.156424367499809,0.15642436749980893,0.4485934999999999,1.4590745596900556,0.9284566150542205,0.9635645360089902,0.9284566150542205,1.0,7.0,0.22780397115820974,0.17547474633757493
hygromycin,4093,2.0,1.0,0.0,,1.43172887048978,,,,1.0,2.0,0.20466692604127712,0.078125
isopsoralen,4629,2.0,2.5,1.0,0.4618478720289185,0.8818739184881202,0.6739235056282387,0.8209284412348244,0.6739235056282387,1.0,5.0,0.21937802779404908,0.10329742508486692
levodopa,4093,1.0,2.0,1.0,0.5496624999999999,1.496351416787789,0.013378862999316343,0.11566703505889801,0.013378862999316343,1.0,2.0,0.06928449458620647,0.042821158690176324
lithium chloride,4636,1.8813632441760137,2.0,1.0,0.3035665,2.8235001891848652,0.9673483838583224,0.9835387048094866,0.9673483838583224,1.0,5.0,0.4764012021081044,0.3676874259246604
lithium chloride|tacrolimus,4629,1.0,1.0,0.0,,6.0056357327777885,,,,,,,
lovastatin,4084,2.0,1.0,0.0,,2.1860909824968027,,,,1.0,2.0,0.6133129933917396,0.35737704918032787
manganese (ii) chloride,4093,2.0,2.0,1.0,0.18384499999999981,3.3453985881789166,0.9946138317987497,0.9973032797493196,0.9946138317987497,1.0,4.0,0.7389560079015438,0.5395832909904178
mebendazole,4084,1.0,1.0,0.0,,1.3503860719423892,,,,,,,
mechlorethamine,4650,6.502795698924731,2.999404722534559,1.0,0.4223118317712411,2.284381829653351,0.9708379278187201,0.9853110817496777,0.9708379278187201,1.0,21.0,0.2455415441941055,0.1753632608934285
medium=SC,4507,3.774129132460617,2.52010582010582,0.5067019400352734,0.38211753589886016,3.0284200931428784,0.9641805007320453,0.9819269324812541,0.9641805007320453,,,,
medium=SC - 4-aminobenzoic acid,4307,1.0,1.0,0.0,,7.123491101172382,,,,,,,
medium=SC - L-arginine,4403,1.0,1.0,0.0,,1.428592361986628,,,,,,,
medium=SC - L-isoleucine,4403,1.0,1.0,0.0,,1.5646585681949476,,,,,,,
medium=SC - L-lysine,4405,1.9266742338251985,2.518793448804053,1.0,0.26363999999999993,2.289931859505328,0.9768610415960739,0.9883628086872117,0.9768610415960739,,,,
medium=SC - L-threonine,4403,1.0,2.0,1.0,0.18626149999999997,1.199841693482294,0.9254754697908144,0.9620163563010841,0.9254754697908144,,,,
medium=SC - L-tryptophan,4419,1.9504412763068568,2.021696252465483,0.5108481262327417,0.24068577581697911,2.184777038132856,0.9855772787131478,0.9927624482791176,0.9855772787131478,,,,
medium=SC - L-tyrosine,4403,1.0,1.0,0.0,,1.2636837670781629,,,,,,,
medium=SC - adenine,4403,1.0,1.0,0.0,,1.5843478857361362,,,,,,,
medium=SC - folic acid,4307,1.0,2.0,1.0,0.6402614999999999,8.891813850957897,0.9067483053292473,0.9522333250465703,0.9067483053292473,,,,
medium=SC - myo-inositol,4307,1.0,1.0,0.0,,7.348224148455304,,,,,,,
medium=SC - niacin,4307,1.0,1.0,0.0,,10.833672541714416,,,,,,,
medium=SC - thiamine hydrochloride,4307,1.0,1.0,0.0,,7.147461664868278,,,,,,,
"medium=SC, partial biotin drop-out",4307,1.0,3.0,1.0,0.5900917434297824,8.59947714444565,0.9343827242232238,0.9666347418871432,0.9343827242232238,,,,
"medium=SC, partial calcium pantothenate drop-out",4307,1.0,1.0,0.0,,8.566864192584049,,,,,,,
"medium=SC, partial pyridoxine hydrochloride drop-out",4307,1.0,1.0,0.0,,9.740541246724218,,,,,,,
medium=SD minimal,4675,11.448983957219252,1.6691203945893431,0.49680517151184517,0.5619197324326373,3.7843462362241644,0.9799269435996538,0.9899125939191065,0.9799269435996538,,,,
"medium=YP + glycerol, liquid",4419,1.9504412763068568,2.0,1.0,0.328279,1.4757135830776962,0.9136582189513208,0.9558547059837708,0.9136582189513208,,,,
melphalan,4093,3.0,1.0,0.0,,0.8628767277653416,,,,1.0,3.0,0.07133619789215791,0.08886065480435579
mercuric chloride,4093,1.0,1.0,0.0,,2.675403602591049,,,,,,,
methotrexate,4645,1.8757804090419807,1.9374497876735912,0.4687248938367956,0.7439511151618956,2.1327078287865358,0.8056555878397816,0.897583192712398,0.8056555878397816,1.0,4.0,0.3630201174655368,0.1901468909168785
methyl methanesulfonate,4638,3.8072445019404917,1.5242949371389738,0.2621474685694869,0.22194441203448526,2.501956387357945,0.9925934467735683,0.996289840745939,0.9925934467735683,1.0,6.0,0.3714848757410724,0.16624311144906717
miconazole,4084,3.0,1.6666666666666667,0.3333333333333333,0.3628544466766006,1.2806150772183644,0.9313899526500928,0.9650854639098513,0.9313899526500928,1.0,5.0,0.3685870368652222,0.33125359781035746
mitomycin c,4649,3.681006668100667,2.2887863028107285,0.5091450943726992,0.35585480474752035,5.92244532337647,0.9960123490601622,0.998004182887107,0.9960123490601622,1.0,9.0,0.426969505747127,0.23501182786554187
mycophenolic acid,4084,1.0,1.0,0.0,,1.9986118236581645,,,,,,,
myriocin,4629,1.0,1.0,0.0,,3.698724017820949,,,,,,,
"n,n'-di-2-propen-1-ylurea",4093,2.0,1.0,0.0,,4.5326743434867565,,,,1.0,2.0,0.5564919098449683,0.26993865030674846
nitric oxide,4084,2.0,1.5,0.5,0.20752099999999998,1.865725470267245,0.9652927692007668,0.9824931395184227,0.9652927692007668,1.0,3.0,0.4905056715729354,0.31340063739376095
nocodazole,4629,1.0,2.0,1.0,0.9304699999999998,4.594843009257669,0.6694915522683424,0.8182246343568143,0.6694915522683424,1.0,2.0,0.599022957210067,0.14705882352941177
norcantharidin,4093,2.0,1.5,0.5,0.4235914999999999,1.002027947598225,0.6679121078822827,0.8172588989312277,0.6679121078822827,1.0,3.0,0.30061412468560017,0.11869647380483293
nystatin [usp:inn:ban:jan],4419,2.874632269744286,1.6785011414626467,0.6785011414626466,0.22993499999999997,1.4973603135485327,0.965181126448763,0.982436321828933,0.965181126448763,1.0,5.0,0.5483048938282351,0.4168562564535532
pH=7.5pH,4629,1.0,1.0,0.0,,2.1262639052539916,,,,,,,
pH=8.0pH,4296,2.8847765363128492,2.0106511740498667,0.6704591301541193,0.25477999999999995,1.8510921570190428,0.9825461547446939,0.9912346617954266,0.9825461547446939,,,,
papuamide b,4636,4.645599654874892,1.0,0.0,,1.8874621832505978,,,,1.0,5.0,0.3687557598174781,0.30784712015225707
paraquat,4093,1.0,2.0,1.0,0.3074779999999999,3.5778354764075235,0.949840738856358,0.974597731813674,0.949840738856358,1.0,2.0,0.7684223274002392,0.6626506024096386
parthenolide,4084,1.0,1.0,0.0,,1.8075843445797448,,,,,,,
"phosphine sulfide, tris(4-methylphenyl)-",4093,1.0,1.0,0.0,,1.4616463298567446,,,,,,,
"platinum(ii),1-cyclobutanedicarboxylato)diammine-, cis-",4636,3.7627264883520275,1.5307268975005732,0.2653634487502866,0.2537685323209585,0.6801368482891523,0.8729699554420262,0.9343286121285306,0.8729699554420262,1.0,6.0,0.2090414899113904,0.07385255610939685
potassium dichromate,4093,1.0,1.0,0.0,,3.0941789177892356,,,,,,,
potassium metabisulfite,4629,1.0,1.0,0.0,,4.9933334985468685,,,,,,,
psoralen,4636,2.879853321829163,2.3868624073103137,0.6934312036551569,0.3984174790895837,0.8547634564402297,0.8261119128976474,0.9089069880343353,0.8261119128976474,1.0,7.0,0.25539469065309667,0.1141465922025909
radiation=None,4629,1.0,2.0,1.0,0.39306199999999997,0.7922513232340147,0.353038663888841,0.5941705680095918,0.353038663888841,,,,
rapamycin,4639,6.5201552058633325,1.0,0.0,,3.606858557363814,,,,1.0,7.0,0.21939000373043066,0.13164591822669186
rhizoxin,4093,1.0,1.0,0.0,,0.835415141144745,,,,,,,
ro106-9920,4093,1.0,1.0,0.0,,1.4266020195563223,,,,,,,
rotenone,4093,1.0,1.0,0.0,,1.1548603620547448,,,,,,,
sanguinarine sulfate,4084,1.0,1.0,0.0,,2.064702564120676,,,,,,,
sodium arsenite,4093,1.0,1.0,0.0,,3.4075337473449396,,,,,,,
sodium chloride,4296,2.886871508379888,1.6699725850669247,0.6699725850669247,0.16742049999999994,2.6960211074426383,0.9936171645408425,0.9968034733792025,0.9936171645408425,1.0,5.0,0.477999256993803,0.46656593630930077
sodium fluoride,4093,2.0,2.0,1.0,0.27670625,1.2355111055142476,0.9217972327033266,0.9601027198708098,0.9217972327033266,1.0,4.0,0.4234796924705331,0.2089027857736511
sorbitol,4475,3.7532960893854748,2.2588711597999525,0.7568468683019767,0.46814482953031583,1.512002042527729,0.8763740524121424,0.9361485204881448,0.8763740524121424,1.0,9.0,0.23056064198860204,0.12407266316100644
splitomicin,4093,1.0,1.0,0.0,,0.856426372437027,,,,,,,
staurosporine,4093,1.0,2.0,1.0,0.37907099999999994,0.6997733260236896,0.22303096030343483,0.4722615380310309,0.22303096030343483,1.0,2.0,0.0652470700430106,0.07532467532467532
streptovitacin a,4093,1.0,1.0,0.0,,1.750581210855129,,,,,,,
streptozocin,4636,1.8813632441760137,2.0,1.0,0.34779724999999995,0.9931486914415981,0.7976661193168626,0.8931215590930848,0.7976661193168626,1.0,4.0,0.26310052663491473,0.16984740780835095
tacrolimus,4636,5.412855910267472,1.0,0.0,,1.9882371702774269,,,,1.0,7.0,0.3163018851371526,0.23177462499899568
tacrolimus|sodium chloride,4093,2.0,1.0,0.0,,3.863781643857407,,,,,,,
teniposide,4084,1.0,1.0,0.0,,0.9060168726907287,,,,,,,
thiabendazole,4084,1.0,1.0,0.0,,2.825328931137936,,,,,,,
thimerosal,4629,1.0,1.0,0.0,,1.3441012740467289,,,,,,,
thiotepa,4093,1.0,1.0,0.0,,1.0070804060178993,,,,,,,
tryptanthrin,4093,1.0,1.0,0.0,,2.445294608120032,,,,,,,
wortmannin,4093,1.0,1.0,0.0,,0.7261934348506002,,,,,,,
xanthohumol,4093,1.0,2.0,1.0,0.13854850000000002,0.8621238293726143,0.917187115043542,0.9576988644890115,0.917187115043542,1.0,2.0,0.7839846111435165,0.49458483754512633
zinc chloride,4093,1.0,1.0,0.0,,4.759915541467211,,,,,,,
