dataset,raw_label,condition,n_replicates,replicate_rho,hit_jaccard,n_pairs
hillenmeyer2008_hom,nitric oxide,nitric oxide,3,0.4905056715729354,0.31340063739376095,3
hillenmeyer2008_hom,no drug irradiated,no drug irradiated,2,0.21218073451241928,0.07339449541284404,1
hillenmeyer2008_hom,nocodazole,nocodazole,2,0.599022957210067,0.14705882352941177,1
hillenmeyer2008_hom,norcantharidin,norcantharidin,3,0.30061412468560017,0.11869647380483293,3
hillenmeyer2008_hom,nystatin,nystatin [usp:inn:ban:jan],5,0.5483048938282351,0.4168562564535532,10
hillenmeyer2008_hom,olic acid drop-out,olic acid drop-out,2,0.6722309285540831,0.5516014234875445,1
hillenmeyer2008_hom,oxaliplatin,"cis-oxalato-trans-l-1,2-diaminocyclohexaneplatinum(ii)",4,0.19640269967523757,0.19878749262866904,6
hillenmeyer2008_hom,papuamide b,papuamide b,5,0.3687557598174781,0.30784712015225707,10
hillenmeyer2008_hom,paraquat,paraquat,2,0.7684223274002392,0.6626506024096386,1
hillenmeyer2008_hom,parkinsons peptide,parkinsons peptide,2,0.7017782350240858,0.20348837209302326,1
hillenmeyer2008_hom,ph4,ph4,4,0.4317225054013775,0.2707902742989162,6
hillenmeyer2008_hom,ph8,ph8,4,0.4254228490704722,0.37890906161395743,6
hillenmeyer2008_hom,phosphatase inhibitor,phosphatase inhibitor,2,0.4168937987612373,0.34415584415584416,1
hillenmeyer2008_hom,psoralen,psoralen,7,0.25539469065309667,0.1141465922025909,21
hillenmeyer2008_hom,rapamycin,rapamycin,7,0.21939000373043066,0.13164591822669186,21
hillenmeyer2008_hom,sodium fluoride,sodium fluoride,4,0.4234796924705331,0.2089027857736511,6
hillenmeyer2008_hom,sorbitol,sorbitol,9,0.23056064198860204,0.12407266316100644,36
hillenmeyer2008_hom,staurosporine,staurosporine,2,0.0652470700430106,0.07532467532467532,1
hillenmeyer2008_hom,streptozotocin,streptozocin,4,0.26310052663491473,0.16984740780835095,6
hillenmeyer2008_hom,synthetic complete for BY4743,synthetic complete for BY4743,27,0.20043114351005026,0.1522039541310601,351
hillenmeyer2008_hom,threonine dropout,threonine dropout,2,0.8455299076477422,0.38509316770186336,1
hillenmeyer2008_hom,tryptophan dropout,tryptophan dropout,4,0.5437959626022183,0.2588601126107813,6
hillenmeyer2008_hom,wiskostatin,"3,6-dibromo-alpha-((dimethylamino)methyl)-9h-carbazole-9-ethanol",2,0.22436210987516528,0.14681440443213298,1
hillenmeyer2008_hom,xanthohumol,xanthohumol,2,0.7839846111435165,0.49458483754512633,1
hillenmeyer2008_hom,yp glycerol,yp glycerol,4,0.5311096500655735,0.25792969915584624,6
hillenmeyer2008_het,"1,3-diallylurea","n,n'-di-2-propen-1-ylurea",2,0.34805023453867867,0.24406047516198703,1
hillenmeyer2008_het,"1,4-dimethylendothall","7-oxabicyclo(2.2.1)heptane-2,3-dicarboxylic acid, 1,4-dimethyl-, (exo,exo)-",3,0.3773011691625394,0.25730480447263915,3
hillenmeyer2008_het,23 degrees C,23 degrees C,4,0.20868328461072008,0.07083708404118715,6
hillenmeyer2008_het,37 degrees C,37 degrees C,5,0.32598242938684174,0.12960604734513256,10
hillenmeyer2008_het,"5,6-dihydroxyflavone","5,6-dihydroxy-2-phenyl-4h-1-benzopyran-4-one",2,-0.06608569872152582,0.05730129390018484,1
hillenmeyer2008_het,5-fluorocytosine,flucytosine,9,0.18792429354299744,0.09811483684578776,36
hillenmeyer2008_het,5-fluorouracil,5-fluorouracil,20,0.22358142407148135,0.10917830963138186,190
hillenmeyer2008_het,5-fluorouridine,5-fluorouridine,3,0.6383914806819943,0.288932254779476,3
hillenmeyer2008_het,acriflavinium hydrochloride,"3,6-diamino-10-methylacridinium chloride",2,0.07416203900801283,0.13663366336633664,1
hillenmeyer2008_het,aklavin hydrochloride,aklavin hydrochloride,3,-0.03945270298123691,0.03679747102769198,3
hillenmeyer2008_het,alizarin,alizarin,2,0.21439371249313888,0.10982658959537572,1
hillenmeyer2008_het,allyl disulfide,diallyl disulfide,3,0.335002218926165,0.28030672036960524,3
hillenmeyer2008_het,alverine citrate,alverine citrate,11,0.28318155260350386,0.21521866330132663,55
hillenmeyer2008_het,amphotericin b,amphotericin b,14,0.25285871372369534,0.12960268468848662,91
hillenmeyer2008_het,anisomycin,anisomycin,2,0.5387906311465042,0.200836820083682,1
hillenmeyer2008_het,atorvastatin,atorvastatin,5,0.2258832284690305,0.16742942056994325,10
hillenmeyer2008_het,bcs,BCS,2,0.593347372888862,0.1388888888888889,1
hillenmeyer2008_het,benomyl,benomyl,5,0.055712889361544796,0.09986829573869029,10
hillenmeyer2008_het,berberine chloride,berberine chloride,5,0.37127517524381715,0.1889341844044578,10
hillenmeyer2008_het,bithionol,bithionol,3,0.9204500644713917,0.7053291356346031,3
hillenmeyer2008_het,brefeldin a,brefeldin a,2,0.07838197439991917,0.07721280602636535,1
hillenmeyer2008_het,bufexamac,bufexamac,2,0.9254459813549457,0.6078431372549019,1
hillenmeyer2008_het,cantharidin,cantharidin,14,0.3493032469932885,0.22713604507175236,91
hillenmeyer2008_het,cantharidin analog,cantharidin analog,4,0.33108948456352333,0.14915163527027184,6
hillenmeyer2008_het,caspofungin,caspofungin,7,0.24310378364953533,0.22416745101969476,21
hillenmeyer2008_het,chemdiv 218,chemdiv 218,2,0.5126764096087882,0.37142857142857144,1
hillenmeyer2008_het,chemdiv 232,chemdiv 232,2,0.44193106200536497,0.271523178807947,1
hillenmeyer2008_het,chemdiv 246,chemdiv 246,2,0.3844081167112501,0.3031674208144796,1
hillenmeyer2008_het,chemdiv 275,chemdiv 275,2,0.445858252307072,0.3271889400921659,1
hillenmeyer2008_het,chemdiv 41,chemdiv 41,2,0.30601070359198596,0.22033898305084745,1
hillenmeyer2008_het,chemdiv 6842,chemdiv 6842,2,0.5282330087479353,0.391304347826087,1
hillenmeyer2008_het,chemical diversity labs 1c10,chemical diversity labs 1c10,2,0.4377441657332108,0.44,1
hillenmeyer2008_het,chlorambucil,chlorambucil,2,0.014623907493824459,0.0749063670411985,1
hillenmeyer2008_het,ciclopirox olamine,ciclopirox olamine,3,0.09848932081789986,0.06997960450474416,3
hillenmeyer2008_het,cisplatin,azane;dichloroplatinum,9,0.16380027418435134,0.11171845764016974,36
hillenmeyer2008_het,clotrimazole,clotrimazole,3,0.2843243370717018,0.1701703459362219,3
hillenmeyer2008_het,cloxyquin,5-chloro-8-hydroxyquinoline,2,0.47048958625848764,0.200836820083682,1
hillenmeyer2008_het,clozapine,clozapine,3,0.23291603185920337,0.0625083004242719,3
hillenmeyer2008_het,curcumin,curcumin,3,-0.00956404378713982,0.05397069262926143,3
hillenmeyer2008_het,cycloheximide,cycloheximide,2,0.09033899788550571,0.09297912713472485,1
hillenmeyer2008_het,damnacanthal,damnacanthal,2,0.3456051719097966,0.1566265060240964,1
hillenmeyer2008_het,daunorubicin,daunorubicin,2,0.1819769723290236,0.13438735177865613,1
hillenmeyer2008_het,dihydromotuporamine C,dihydromotuporamine C,4,0.365445909669084,0.16587447994922702,6
hillenmeyer2008_het,dmso 1%,DMSO 1%,2,0.6074650338025142,0.15725806451612903,1
hillenmeyer2008_het,dyclonine,dyclonine,10,0.21765280626381026,0.1364607942148869,45
hillenmeyer2008_het,emodin,emodin,3,-0.05465946609010217,0.030625321182080154,3
hillenmeyer2008_het,estradiol,estradiol,3,0.2571796425726246,0.19213181893669914,3
hillenmeyer2008_het,exalamide,exalamide,2,0.5410493295852151,0.2927927927927928,1
hillenmeyer2008_het,fenbendazole,fenbendazole,3,0.12891168182691906,0.08918093574061432,3
hillenmeyer2008_het,fenpropimorph,fenpropimorph,12,0.21379499420583867,0.14130460827659896,66
hillenmeyer2008_het,fk506,tacrolimus,6,0.2581584570433142,0.19738627172426879,15
hillenmeyer2008_het,floxuridine,floxuridine,4,0.22822504039426192,0.10323090949919557,6
hillenmeyer2008_het,fluconazole,fluconazole,14,0.1758192786290601,0.10512048017153836,91
hillenmeyer2008_het,flufenamic acid,flufenamic acid,2,0.13181498985451215,0.07289719626168224,1
hillenmeyer2008_het,gossypol,gossypol,2,-0.003604705407201064,0.08333333333333333,1
hillenmeyer2008_het,haloperidol,haloperidol,6,0.28790673213570184,0.16643795728542557,15
hillenmeyer2008_het,helenine,helenine,3,0.2775462253670525,0.3296517960253737,3
hillenmeyer2008_het,hexestrol,hexestrol,2,0.030092245665718272,0.08506616257088846,1
hillenmeyer2008_het,hexetidine,hexetidine,2,0.28522399898989187,0.08097928436911488,1
hillenmeyer2008_het,hydroxyurea,hydroxyurea,4,0.23938380945088733,0.14866594450969128,6
hillenmeyer2008_het,hygromycin,hygromycin,3,0.32461534314610413,0.11789204511002283,3
hillenmeyer2008_het,itraconazole,itraconazole,22,0.3557817629119835,0.16422582592767151,231
hillenmeyer2008_het,ketoconazole,ketoconazole,5,0.13687502350886707,0.08278842615912071,10
