gene,released_label,call,fcl_rf_e_class,cgt_predicted_z
YDR178W,1,only_cgt,0.8937903225806452,0.2367403656244278
YDR256C,1,only_cgt,1.0511290322580646,0.35336244106292725
YDR261C,1,only_cgt,0.8951612903225806,0.02829601615667343
YDR272W,1,only_cgt,1.0269354838709677,0.05164773017168045
YDR352W,1,only_cgt,0.9163709677419355,0.03574167937040329
YDR371W,1,only_cgt,0.9041935483870968,0.028713352978229523
YDR387C,1,only_cgt,0.9235483870967741,0.036932989954948425
YDR503C,1,only_cgt,1.0487903225806452,0.03204992413520813
YER005W,1,only_cgt,0.9926612903225807,0.032181113958358765
YER014W,1,only_cgt,1.0011290322580646,0.26570093631744385
YER141W,1,only_cgt,0.9193548387096774,1.0076850652694702
YFL055W,1,only_cgt,0.9181451612903225,0.02752610296010971
YGL255W,1,only_cgt,0.9182258064516129,0.052607327699661255
YHL012W,1,only_cgt,0.9317741935483872,0.029958073049783707
YIL111W,1,only_cgt,0.9026612903225807,0.5649474263191223
YIR036C,1,only_cgt,0.9562096774193548,0.33804672956466675
YJR049C,1,only_cgt,0.9062903225806451,0.05841745436191559
YJR149W,1,only_cgt,1.0287903225806452,0.0729629322886467
YJR152W,1,only_cgt,0.9683064516129032,0.027466651052236557
YKL174C,1,only_cgt,0.8996774193548387,0.08201787620782852
YKL220C,1,only_cgt,0.9137903225806452,0.029411956667900085
YLL052C,1,only_cgt,0.9024193548387097,0.03261759877204895
YLL058W,1,only_cgt,0.9180645161290323,0.030067723244428635
YLR047C,1,only_cgt,0.8999999999999999,0.027599796652793884
YLR130C,1,only_cgt,0.9138709677419354,0.03161565214395523
YLR446W,1,only_cgt,0.9395967741935485,0.03696019947528839
YMR087W,1,only_cgt,0.9165322580645162,0.07126333564519882
YMR110C,1,only_cgt,0.9837903225806451,0.05022259056568146
YMR226C,1,only_cgt,1.033790322580645,0.03207889944314957
YMR243C,1,only_cgt,0.9204032258064516,0.028928976505994797
YNL270C,1,only_cgt,0.9394354838709676,0.02775464579463005
YNL318C,1,only_cgt,0.9096774193548387,0.03008873760700226
YNR072W,1,only_cgt,0.9038709677419354,0.0690898597240448
YOL103W,1,only_cgt,0.9162096774193549,0.029249824583530426
YOL136C,1,only_cgt,0.9149193548387097,0.02879193052649498
YOL152W,1,only_cgt,0.9149193548387097,0.027739502489566803
YOR190W,1,only_cgt,0.904032258064516,0.03189234435558319
YOR196C,1,only_cgt,0.984758064516129,1.099013328552246
YOR316C,1,only_cgt,0.9149999999999999,0.02867482602596283
YOR384W,1,only_cgt,0.910241935483871,0.028587594628334045
YPL040C,1,only_cgt,0.9229032258064516,1.009649395942688
YPL088W,1,only_cgt,0.9033870967741935,0.02832677960395813
