gene,name,top_of_graph,top_of_rank,n_graphs_top_k,graph,degree,rank,percentile
YBR245C,ISW1,string12_0_experimental,2,3,string12_0_coexpression,1525,5.0,99.93821439604572
YBR245C,ISW1,string12_0_experimental,2,3,string12_0_experimental,2307,2.0,99.98337765957447
YBR245C,ISW1,string12_0_experimental,2,3,string12_0_database,8,2814.0,30.14651105040973
YOR198C,BFR1,string12_0_experimental,3,2,physical,1330,10.0,99.84265734265733
YOR198C,BFR1,string12_0_experimental,3,2,regulatory,8,1511.0,75.43517162843663
YOR198C,BFR1,string12_0_experimental,3,2,tflink,47,1602.0,68.4469846275128
YOR198C,BFR1,string12_0_experimental,3,2,string12_0_neighborhood,90,1182.0,46.097672295755366
YOR198C,BFR1,string12_0_experimental,3,2,string12_0_fusion,1,2560.0,16.942551119766314
YOR198C,BFR1,string12_0_experimental,3,2,string12_0_cooccurence,1,1724.0,33.75624759707805
YOR198C,BFR1,string12_0_experimental,3,2,string12_0_coexpression,1316,26.0,99.61383997528576
YOR198C,BFR1,string12_0_experimental,3,2,string12_0_experimental,2184,3.0,99.96675531914893
YOR198C,BFR1,string12_0_experimental,3,2,string12_0_database,19,2032.0,49.56543332505588
YMR110C,HFD1,string12_0_database,1,1,physical,24,2620.0,54.21328671328671
YMR110C,HFD1,string12_0_database,1,1,regulatory,0,,
YMR110C,HFD1,string12_0_database,1,1,tflink,44,1788.0,64.78123768230193
YMR110C,HFD1,string12_0_database,1,1,string12_0_neighborhood,262,331.0,84.93838429940666
YMR110C,HFD1,string12_0_database,1,1,string12_0_fusion,25,138.0,95.5533917559234
YMR110C,HFD1,string12_0_database,1,1,string12_0_cooccurence,3,1048.0,59.746251441753174
YMR110C,HFD1,string12_0_database,1,1,string12_0_coexpression,905,290.0,95.53599011430337
YMR110C,HFD1,string12_0_database,1,1,string12_0_experimental,503,1043.0,82.67952127659575
YMR110C,HFD1,string12_0_database,1,1,string12_0_database,374,1.0,100.0
YHR037W,PUT2,string12_0_database,2,1,physical,9,4394.0,23.199300699300696
YHR037W,PUT2,string12_0_database,2,1,regulatory,5,2696.0,56.157475191150155
YHR037W,PUT2,string12_0_database,2,1,tflink,49,1487.0,70.71344107213244
YHR037W,PUT2,string12_0_database,2,1,string12_0_neighborhood,263,327.0,85.12094933820174
YHR037W,PUT2,string12_0_database,2,1,string12_0_fusion,10,671.0,78.25381369685167
YHR037W,PUT2,string12_0_database,2,1,string12_0_cooccurence,0,,
YHR037W,PUT2,string12_0_database,2,1,string12_0_coexpression,669,768.0,88.15261044176707
YHR037W,PUT2,string12_0_database,2,1,string12_0_experimental,345,1674.0,72.19082446808511
YHR037W,PUT2,string12_0_database,2,1,string12_0_database,331,2.0,99.97516761857462
YOR374W,ALD4,string12_0_database,3,1,physical,39,1780.0,68.8986013986014
YOR374W,ALD4,string12_0_database,3,1,regulatory,17,426.0,93.08605823979177
YOR374W,ALD4,string12_0_database,3,1,tflink,67,762.0,85.00197083169098
YOR374W,ALD4,string12_0_database,3,1,string12_0_neighborhood,279,282.0,87.17480602464627
YOR374W,ALD4,string12_0_database,3,1,string12_0_fusion,46,40.0,98.73417721518987
YOR374W,ALD4,string12_0_database,3,1,string12_0_cooccurence,5,735.0,71.78008458285274
YOR374W,ALD4,string12_0_database,3,1,string12_0_coexpression,930,249.0,96.16929255483473
YOR374W,ALD4,string12_0_database,3,1,string12_0_experimental,495,1062.0,82.36369680851064
YOR374W,ALD4,string12_0_database,3,1,string12_0_database,331,2.0,99.97516761857462
