genes,n_genes_used,n_pairs,n_triples,strains,median_worst,min_worst,max_worst,n_chassis_pair_triples,triples
YDR423C+YEL047C+YIL125W+YLR044C+YNL071W,5,9,5,19,0.08355712890625,0.029327392578125,0.130126953125,1,YDR423C+YEL047C+YLR044C;YDR423C+YEL047C+YNL071W;YDR423C+YIL125W+YLR044C;YDR423C+YIL125W+YNL071W;YDR423C+YLR044C+YNL071W
YDR423C+YEL047C+YJL052W+YLR044C+YNL071W,5,9,5,19,0.08355712890625,0.029327392578125,0.130126953125,1,YDR423C+YEL047C+YLR044C;YDR423C+YEL047C+YNL071W;YDR423C+YJL052W+YLR044C;YDR423C+YJL052W+YNL071W;YDR423C+YLR044C+YNL071W
YDL182W+YDR423C+YEL047C+YLR044C+YNL071W,5,9,5,19,0.08355712890625,0.029327392578125,0.130126953125,1,YDL182W+YDR423C+YLR044C;YDL182W+YDR423C+YNL071W;YDR423C+YEL047C+YLR044C;YDR423C+YEL047C+YNL071W;YDR423C+YLR044C+YNL071W
YDL131W+YDR423C+YEL047C+YLR044C+YNL071W,5,9,5,19,0.08355712890625,0.029327392578125,0.130126953125,1,YDL131W+YDR423C+YLR044C;YDL131W+YDR423C+YNL071W;YDR423C+YEL047C+YLR044C;YDR423C+YEL047C+YNL071W;YDR423C+YLR044C+YNL071W
YDR423C+YEL047C+YLR044C+YNL071W+YOL086C,5,9,5,19,0.08355712890625,0.029327392578125,0.130126953125,1,YDR423C+YEL047C+YLR044C;YDR423C+YEL047C+YNL071W;YDR423C+YEL047C+YOL086C;YDR423C+YLR044C+YNL071W;YDR423C+YLR044C+YOL086C
YDR423C+YGR193C+YJR009C+YLR044C+YNL071W,5,9,5,19,0.0810546875,0.033782958984375,0.130126953125,1,YDR423C+YGR193C+YLR044C;YDR423C+YGR193C+YNL071W;YDR423C+YJR009C+YLR044C;YDR423C+YJR009C+YNL071W;YDR423C+YLR044C+YNL071W
YDR423C+YIL125W+YJR009C+YLR044C+YNL071W,5,9,5,19,0.0810546875,0.033782958984375,0.130126953125,1,YDR423C+YIL125W+YLR044C;YDR423C+YIL125W+YNL071W;YDR423C+YJR009C+YLR044C;YDR423C+YJR009C+YNL071W;YDR423C+YLR044C+YNL071W
YDR423C+YJL052W+YJR009C+YLR044C+YNL071W,5,9,5,19,0.0810546875,0.033782958984375,0.130126953125,1,YDR423C+YJL052W+YLR044C;YDR423C+YJL052W+YNL071W;YDR423C+YJR009C+YLR044C;YDR423C+YJR009C+YNL071W;YDR423C+YLR044C+YNL071W
YDL182W+YDR423C+YJR009C+YLR044C+YNL071W,5,9,5,19,0.0810546875,0.033782958984375,0.130126953125,1,YDL182W+YDR423C+YLR044C;YDL182W+YDR423C+YNL071W;YDR423C+YJR009C+YLR044C;YDR423C+YJR009C+YNL071W;YDR423C+YLR044C+YNL071W
YDL131W+YDR423C+YJR009C+YLR044C+YNL071W,5,9,5,19,0.0810546875,0.033782958984375,0.130126953125,1,YDL131W+YDR423C+YLR044C;YDL131W+YDR423C+YNL071W;YDR423C+YJR009C+YLR044C;YDR423C+YJR009C+YNL071W;YDR423C+YLR044C+YNL071W
YDR423C+YEL047C+YJR009C+YLR044C+YNL071W,5,9,5,19,0.0810546875,0.029327392578125,0.130126953125,1,YDR423C+YEL047C+YLR044C;YDR423C+YEL047C+YNL071W;YDR423C+YJR009C+YLR044C;YDR423C+YJR009C+YNL071W;YDR423C+YLR044C+YNL071W
YDR423C+YJR009C+YLR044C+YNL071W+YOL086C,5,9,5,19,0.0810546875,0.033782958984375,0.130126953125,1,YDR423C+YJR009C+YLR044C;YDR423C+YJR009C+YNL071W;YDR423C+YJR009C+YOL086C;YDR423C+YLR044C+YNL071W;YDR423C+YLR044C+YOL086C
YDR148C+YDR423C+YGR193C+YLR044C+YNL071W,5,9,5,19,0.08001708984375,0.02825927734375,0.130126953125,1,YDR148C+YDR423C+YLR044C;YDR148C+YDR423C+YNL071W;YDR423C+YGR193C+YLR044C;YDR423C+YGR193C+YNL071W;YDR423C+YLR044C+YNL071W
YDR148C+YDR423C+YIL125W+YLR044C+YNL071W,5,9,5,19,0.08001708984375,0.02825927734375,0.130126953125,1,YDR148C+YDR423C+YLR044C;YDR148C+YDR423C+YNL071W;YDR423C+YIL125W+YLR044C;YDR423C+YIL125W+YNL071W;YDR423C+YLR044C+YNL071W
YDR148C+YDR423C+YJL052W+YLR044C+YNL071W,5,9,5,19,0.08001708984375,0.02825927734375,0.130126953125,1,YDR148C+YDR423C+YLR044C;YDR148C+YDR423C+YNL071W;YDR423C+YJL052W+YLR044C;YDR423C+YJL052W+YNL071W;YDR423C+YLR044C+YNL071W
YDR148C+YDR423C+YJR009C+YLR044C+YNL071W,5,9,5,19,0.08001708984375,0.02825927734375,0.130126953125,1,YDR148C+YDR423C+YLR044C;YDR148C+YDR423C+YNL071W;YDR423C+YJR009C+YLR044C;YDR423C+YJR009C+YNL071W;YDR423C+YLR044C+YNL071W
YDL182W+YDR148C+YDR423C+YLR044C+YNL071W,5,9,5,19,0.08001708984375,0.02825927734375,0.130126953125,1,YDL182W+YDR423C+YLR044C;YDL182W+YDR423C+YNL071W;YDR148C+YDR423C+YLR044C;YDR148C+YDR423C+YNL071W;YDR423C+YLR044C+YNL071W
YDL131W+YDR148C+YDR423C+YLR044C+YNL071W,5,9,5,19,0.08001708984375,0.02825927734375,0.130126953125,1,YDL131W+YDR423C+YLR044C;YDL131W+YDR423C+YNL071W;YDR148C+YDR423C+YLR044C;YDR148C+YDR423C+YNL071W;YDR423C+YLR044C+YNL071W
YDR148C+YDR423C+YEL047C+YLR044C+YNL071W,5,9,5,19,0.08001708984375,0.02825927734375,0.130126953125,1,YDR148C+YDR423C+YLR044C;YDR148C+YDR423C+YNL071W;YDR423C+YEL047C+YLR044C;YDR423C+YEL047C+YNL071W;YDR423C+YLR044C+YNL071W
YDR148C+YDR423C+YLR044C+YNL071W+YOL086C,5,9,5,19,0.08001708984375,0.02825927734375,0.130126953125,1,YDR148C+YDR423C+YLR044C;YDR148C+YDR423C+YNL071W;YDR148C+YDR423C+YOL086C;YDR423C+YLR044C+YNL071W;YDR423C+YLR044C+YOL086C
YGL096W+YGR193C+YIL125W+YLR044C+YNL071W,5,9,5,19,0.07879638671875,0.031463623046875,0.1263427734375,1,YGL096W+YGR193C+YLR044C;YGL096W+YGR193C+YNL071W;YGL096W+YIL125W+YLR044C;YGL096W+YIL125W+YNL071W;YGL096W+YLR044C+YNL071W
YGL096W+YGR193C+YJL052W+YLR044C+YNL071W,5,9,5,19,0.07879638671875,0.02679443359375,0.1263427734375,1,YGL096W+YGR193C+YLR044C;YGL096W+YGR193C+YNL071W;YGL096W+YJL052W+YLR044C;YGL096W+YJL052W+YNL071W;YGL096W+YLR044C+YNL071W
YGL096W+YGR193C+YJR009C+YLR044C+YNL071W,5,9,5,19,0.07879638671875,0.00458526611328125,0.1263427734375,1,YGL096W+YGR193C+YLR044C;YGL096W+YGR193C+YNL071W;YGL096W+YJR009C+YLR044C;YGL096W+YJR009C+YNL071W;YGL096W+YLR044C+YNL071W
YDL182W+YGL096W+YGR193C+YLR044C+YNL071W,5,9,5,19,0.07879638671875,0.024139404296875,0.1263427734375,1,YDL182W+YGL096W+YLR044C;YDL182W+YGL096W+YNL071W;YGL096W+YGR193C+YLR044C;YGL096W+YGR193C+YNL071W;YGL096W+YLR044C+YNL071W
YDL131W+YGL096W+YGR193C+YLR044C+YNL071W,5,9,5,19,0.07879638671875,0.0129547119140625,0.1263427734375,1,YDL131W+YGL096W+YLR044C;YDL131W+YGL096W+YNL071W;YGL096W+YGR193C+YLR044C;YGL096W+YGR193C+YNL071W;YGL096W+YLR044C+YNL071W
YEL047C+YGL096W+YGR193C+YLR044C+YNL071W,5,9,5,19,0.07879638671875,0.005584716796875,0.1263427734375,1,YEL047C+YGL096W+YLR044C;YEL047C+YGL096W+YNL071W;YGL096W+YGR193C+YLR044C;YGL096W+YGR193C+YNL071W;YGL096W+YLR044C+YNL071W
YDR148C+YGL096W+YGR193C+YLR044C+YNL071W,5,9,5,19,0.07879638671875,0.02581787109375,0.1263427734375,1,YDR148C+YGL096W+YLR044C;YDR148C+YGL096W+YNL071W;YGL096W+YGR193C+YLR044C;YGL096W+YGR193C+YNL071W;YGL096W+YLR044C+YNL071W
YGL096W+YGR193C+YLR044C+YNL071W+YOL086C,5,9,5,19,0.07879638671875,0.004791259765625,0.1263427734375,1,YGL096W+YGR193C+YLR044C;YGL096W+YGR193C+YNL071W;YGL096W+YGR193C+YOL086C;YGL096W+YLR044C+YNL071W;YGL096W+YLR044C+YOL086C
YDL182W+YIL125W+YLR044C+YNL071W+YPL177C,5,9,5,19,0.07513427734375,0.03485107421875,0.1644287109375,1,YDL182W+YLR044C+YPL177C;YDL182W+YNL071W+YPL177C;YIL125W+YLR044C+YPL177C;YIL125W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDL182W+YJL052W+YLR044C+YNL071W+YPL177C,5,9,5,19,0.073486328125,-0.037139892578125,0.1644287109375,1,YDL182W+YLR044C+YPL177C;YDL182W+YNL071W+YPL177C;YJL052W+YLR044C+YPL177C;YJL052W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDL182W+YJR009C+YLR044C+YNL071W+YPL177C,5,9,5,19,0.073486328125,-0.0360107421875,0.1644287109375,1,YDL182W+YLR044C+YPL177C;YDL182W+YNL071W+YPL177C;YJR009C+YLR044C+YPL177C;YJR009C+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDL131W+YDL182W+YLR044C+YNL071W+YPL177C,5,9,5,19,0.073486328125,0.0142669677734375,0.1644287109375,1,YDL131W+YLR044C+YPL177C;YDL131W+YNL071W+YPL177C;YDL182W+YLR044C+YPL177C;YDL182W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDL182W+YEL047C+YLR044C+YNL071W+YPL177C,5,9,5,19,0.073486328125,0.00531768798828125,0.1644287109375,1,YDL182W+YLR044C+YPL177C;YDL182W+YNL071W+YPL177C;YEL047C+YLR044C+YPL177C;YEL047C+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDL182W+YDR148C+YLR044C+YNL071W+YPL177C,5,9,5,19,0.073486328125,0.03955078125,0.1644287109375,1,YDL182W+YLR044C+YPL177C;YDL182W+YNL071W+YPL177C;YDR148C+YLR044C+YPL177C;YDR148C+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
