rank,index,gene1,gene2,gene3,ensemble_mean,checkpoint_sd,M01,M02,M03,n_metabolic,n_regulator,n_supported,all_three_positive,outside_label_range,spread_over_mean
356,19597991,YKL069W,YPL181W,YPL177C,0.40079752,0.14380087,0.29223633,0.6040039,0.30615234,1,2,2,True,False,0.35878682
357,16095344,YNL071W,YDR483W,YAL017W,0.40075684,0.45549622,1.0449219,0.08062744,0.07672119,2,1,1,True,False,1.13659
358,13071801,YKL008C,YBR001C,YPL177C,0.39993286,0.40969655,0.16906738,0.97558594,0.055145264,2,1,1,True,False,1.0244133
359,4427097,YKR053C,YBR001C,YPL181W,0.39876303,0.11702808,0.24975586,0.41088867,0.53564453,2,1,2,True,False,0.29347774
360,25754383,YDR001C,YNR033W,YPL181W,0.3984076,0.5579726,0.0040893555,1.1875,0.0036334991,2,1,1,True,False,1.400507
361,23990679,YBR205W,YDR483W,YBR028C,0.39597574,0.23487282,0.47924805,0.0758667,0.6328125,2,1,1,True,False,0.59314954
362,22609276,YNL071W,YPL177C,YJL168C,0.39567056,0.044316437,0.3330078,0.4260254,0.42797852,2,2,2,True,False,0.11200337
363,16073818,YNL071W,YBR001C,YGL096W,0.39510092,0.14774124,0.5986328,0.33422852,0.2524414,2,1,1,True,False,0.37393293
364,15317076,YLR386W,YML056C,YGL096W,0.39481607,0.26629174,0.7661133,0.15466309,0.26367188,2,1,1,True,False,0.67447037
365,311687,YGR121C,YNL071W,YBR028C,0.3938395,0.27227122,0.77734375,0.17224121,0.2319336,2,1,3,True,False,0.6913253
366,21981708,YML008C,YGL096W,YPL177C,0.39328003,0.31632152,0.7402344,0.46435547,-0.024749756,1,2,1,False,False,0.8043163
367,3592951,YGR121C,YBR205W,YBR028C,0.3929647,0.2622018,0.6699219,0.04095459,0.46801758,2,1,2,True,False,0.6672401
368,9655426,YDR530C,YBR001C,YDR169C,0.39133707,0.40120524,0.17932129,0.04156494,0.953125,2,1,1,True,False,1.0252166
369,19853619,YLR386W,YPL089C,YGL096W,0.39111328,0.07627692,0.4650879,0.2861328,0.42211914,1,2,2,True,False,0.19502513
370,15315669,YLR386W,YLR432W,YPL177C,0.39095053,0.19821265,0.6582031,0.18408203,0.3305664,2,1,1,True,False,0.5070019
371,383455,YKL008C,YNL071W,YDR099W,0.39072672,0.3047927,0.8125,0.25683594,0.10284424,2,1,3,True,False,0.7800662
372,35517556,YDR483W,YBR028C,YDR169C,0.39059448,0.43879217,0.116760254,0.04525757,1.0097656,1,2,1,True,False,1.1233957
373,5892067,YPL053C,YGR193C,YDR099W,0.38974,0.28969023,0.7402344,0.39819336,0.030792236,2,1,2,True,False,0.743291
374,23419768,YBR001C,YML106W,YPL181W,0.3896586,0.2991601,0.49829102,-0.01876831,0.6894531,2,1,1,False,False,0.76774925
375,26979545,YDR483W,YPR026W,YPL181W,0.38915,0.48521882,0.05886841,0.03338623,1.0751953,2,1,1,True,False,1.2468684
376,15259324,YLR386W,YDR001C,YPL177C,0.3889974,0.056754276,0.42041016,0.43725586,0.30932617,2,1,1,True,False,0.14589885
377,5299575,YNL071W,YBR199W,YBR028C,0.38897705,0.22549209,0.45166016,0.08685303,0.62841797,2,1,2,True,False,0.57970536
378,28814746,YGR193C,YOR099W,YBR028C,0.38763428,0.21407267,0.6323242,0.41967773,0.11090088,2,1,1,True,False,0.55225426
379,356281,YJL139C,YKL069W,YLR131C,0.38756308,0.46157235,1.0351562,-0.007232666,0.13476562,2,1,3,False,False,1.1909605
380,5299768,YNL071W,YBR205W,YOR304W,0.38745055,0.4111202,0.9560547,-0.0019550323,0.20825195,2,1,2,False,False,1.0610908
381,19853810,YLR386W,YPL181W,YGL096W,0.38728842,0.029455364,0.3959961,0.34765625,0.4182129,1,2,2,True,False,0.07605537
382,16087499,YNL071W,YDR001C,YPL139C,0.3866577,0.35130474,0.87841797,0.07952881,0.20202637,2,1,1,True,False,0.9085678
383,34083556,YBR001C,YPL181W,YGL096W,0.38527426,0.42190242,0.086120605,0.9819336,0.087768555,1,2,1,True,False,1.0950704
384,13191367,YKL069W,YDR109C,YPL177C,0.38518777,0.3324105,0.3071289,0.8256836,0.022750854,2,1,1,True,False,0.86298305
385,11295894,YGR121C,YOR099W,YPR096C,0.38476562,0.03708099,0.35473633,0.36254883,0.43701172,2,1,1,True,False,0.096372925
386,13610845,YKR053C,YDR483W,YDR169C,0.38450113,0.39627963,0.17468262,0.039367676,0.9394531,2,1,1,True,False,1.0306332
387,35529617,YDR483W,YPL181W,YGL096W,0.3844401,0.36855283,0.10681152,0.90527344,0.14123535,1,2,1,True,False,0.9586743
388,9677158,YDR530C,YDR483W,YPL177C,0.3844401,0.15449367,0.36865234,0.5810547,0.20361328,2,1,1,True,False,0.4018667
389,11229858,YGR121C,YDR483W,YER139C,0.3841165,0.4957568,1.0839844,-0.0018863678,0.070251465,2,1,1,False,False,1.2906418
390,25755920,YDR001C,YOR099W,YOR304W,0.38387045,0.20451605,0.24975586,0.2290039,0.67285156,2,1,1,True,False,0.5327736
391,16073761,YNL071W,YBR001C,YAL017W,0.38370767,0.40006766,0.94921875,0.11608887,0.08581543,2,1,1,True,False,1.0426366
392,22017998,YMR015C,YGL096W,YPL177C,0.38356528,0.2520491,0.12213135,0.7241211,0.30444336,1,2,1,True,False,0.6571218
393,22582536,YKL069W,YPL177C,YJL168C,0.3834025,0.4088533,-0.042419434,0.9350586,0.25756836,2,2,2,False,False,1.0663815
394,4427093,YKR053C,YBR001C,YOR304W,0.38285318,0.25756258,0.71533203,0.087768555,0.34545898,2,1,2,True,False,0.67274505
395,21963562,YLR386W,YGL096W,YPL139C,0.3824056,0.09520218,0.43920898,0.24829102,0.4597168,1,2,1,True,False,0.24895602
396,3593010,YGR121C,YBR205W,YOR304W,0.38239542,0.4279616,0.9790039,-0.004058838,0.17224121,2,1,2,False,False,1.1191598
