idx,gene_1,gene_2,gene_3,gene_interaction,p_value,num_uncharacterized,uncharacterized_genes
68228,YJR030C,YLL021W,YJL181W,0.1819549947977066,0.36730000376701355,2,"YJL181W,YJR030C"
68507,YFL005W,YJR030C,YJL181W,0.03349500149488449,0.07337000221014023,2,"YJL181W,YJR030C"
68558,YJR030C,YAR002W,YJL181W,-0.07568400353193283,0.36160001158714294,2,"YJL181W,YJR030C"
68953,YJR030C,YJL181W,YDR071C,0.022537000477313995,0.475600004196167,2,"YJL181W,YJR030C"
69105,YJR030C,YGL113W,YJL181W,-0.15096800029277802,0.31299999356269836,2,"YJL181W,YJR030C"
69486,YBR236C,YJR030C,YJL181W,0.13734200596809387,0.4406999945640564,2,"YJL181W,YJR030C"
69965,YMR005W,YJR030C,YJL181W,0.019665999338030815,0.37070000171661377,2,"YJL181W,YJR030C"
70602,YER155C,YJR030C,YJL181W,-0.006180000025779009,0.3149000108242035,2,"YJL181W,YJR030C"
70659,YJR030C,YBL067C,YJL181W,0.024051999673247337,0.46650001406669617,2,"YJL181W,YJR030C"
70747,YOR109W,YJR030C,YJL181W,0.003000000026077032,0.3711000084877014,2,"YJL181W,YJR030C"
71005,YJR030C,YJL181W,YGR072W,-0.04768199846148491,0.49160000681877136,2,"YJL181W,YJR030C"
71070,YJR030C,YGR100W,YJL181W,0.017444999888539314,0.20720000565052032,2,"YJL181W,YJR030C"
71283,YJR030C,YGL216W,YJL181W,0.011448999866843224,0.36469998955726624,2,"YJL181W,YJR030C"
