gene,count
YGR117C,10
YHL042W,10
YHL012W,10
YNL024C,10
YMR265C,10
YJL218W,10
YGR052W,10
YIL067C,10
YGL034C,10
YBR090C,10
YGR201C,10
YPL247C,10
YOR376W,10
YMR130W,10
YJR128W,10
YMR085W,10
YNL046W,10
YHR093W,10
YPL056C,10
YIL102C,10
YBR285W,10
YCR016W,10
YGL007W,10
YIL163C,10
YMR155W,10
YGL114W,10
YOR365C,10
YPL216W,10
YIL029C,10
YCR001W,10
YMR141C,10
YIL055C,10
YMR316C-A,10
YCR087C-A,10
YIL054W,10
YDR042C,10
YBR225W,10
YJR061W,10
YAL065C,10
YIL001W,10
YDR010C,10
YDL027C,10
YDL109C,10
YHR159W,10
YCL002C,10
YIL024C,10
YNL095C,10
YBR138C,10
YHL041W,10
YJR107W,10
YBR287W,10
YHR126C,10
YCR051W,10
YCL001W-A,10
YPL108W,10
YGR111W,10
YBR284W,10
YCL049C,10
YDL114W,10
YGR067C,10
YMR320W,10
YPL080C,10
YGR018C,10
YPL039W,10
YJR079W,10
YHL026C,10
YPL162C,10
YHR125W,10
YMR209C,10
YPL272C,10
YDL086W,10
YNR065C,10
YKL097C,10
YIL086C,10
YIL092W,10
YDR061W,10
YPL067C,10
YJR098C,10
YGL085W,10
YCR099C,10
YGR210C,10
YPL062W,10
YIL077C,10
YBR219C,10
YDR102C,10
YNL011C,10
YMR196W,10
YMR144W,10
YHR140W,10
YGR016W,10
YMR252C,10
YMR262W,10
YHR021W-A,10
YPL034W,10
YGL081W,10
YCR102C,10
YPL168W,10
YAL061W,10
YHR180W,10
YPL107W,10
YNL115C,10
YGR026W,10
YCR006C,10
YGR164W,10
YGR053C,10
YJR149W,10
YIL012W,10
YMR122C,10
YCR025C,10
YHL044W,10
YMR221C,10
YPL068C,10
YPL229W,10
YCR101C,10
YJR146W,10
YPL261C,10
YMR118C,10
YMR181C,10
YJR116W,10
YHR048W,10
YCR007C,10
YCR085W,10
YMR254C,10
YAL064C-A,10
YPL088W,10
YCR022C,10
YBR292C,10
YDR056C,10
YMR244W,10
YMR132C,10
YDR020C,10
YBR184W,10
YGR237C,10
YHL008C,10
YGR025W,10
YPL150W,10
YGR045C,10
YJR154W,10
YHL017W,10
YPL041C,10
YOR385W,10
YMR147W,10
YKL102C,10
YNL050C,10
YJR003C,9
YLR296W,9
YJL132W,9
YDR274C,9
YLR407W,9
YDR319C,9
YOR012W,9
YLR460C,9
YOR296W,9
YOR008C-A,9
YJL142C,9
YOR097C,9
YLR112W,9
YOR289W,9
YOR183W,9
YDR111C,9
YDR286C,9
YOR105W,9
YLR122C,9
YDR215C,9
YJL206C,9
YLR261C,9
YOR238W,9
YOR235W,9
YDR338C,9
YOR029W,9
YDR209C,9
YDR415C,9
YDR124W,9
YDR157W,9
YLR345W,9
YLR454W,9
YKL063C,9
YDR262W,9
YLR104W,9
YDR387C,9
YJL163C,9
YJL160C,9
YOR111W,9
YLR152C,9
YJL193W,9
YLR426W,9
YJL161W,9
YLR271W,9
YDR525W,9
YLR283W,9
YLR255C,9
YOR343C,9
YDR476C,9
YJL007C,9
YKL070W,9
YOL014W,9
YOR093C,9
YLR111W,9
YOR072W,9
YOR314W,9
YJL107C,9
YDR344C,9
YLR326W,9
YJL027C,9
YDR249C,9
YJL070C,9
YOL036W,9
YJL043W,9
YLR236C,9
YOR186W,9
YDR248C,9
YDR444W,9
YOR062C,9
YOR292C,9
YLR125W,9
YLR365W,9
YOR015W,9
YDR119W,9
YOL029C,9
YLR267W,9
YOR271C,9
YLR415C,9
YLR278C,9
YKR070W,7
YKR005C,7
YKR015C,7
YKR032W,7
YKR045C,7
