run_id,cell_dataset.is_pert,cell_dataset.size,cell_dataset.aggregation,cell_dataset.node_embeddings,random_forest.max_depth,random_forest.n_estimators,random_forest.min_samples_split,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse,val_rmse,test_rmse,fold_1_val_r2,fold_1_train_r2,fold_2_val_r2,fold_2_train_r2,fold_3_val_r2,fold_3_train_r2,fold_4_val_r2,fold_4_train_r2,fold_5_val_r2,fold_5_train_r2,fold_1_val_pearson,fold_1_train_pearson,fold_2_val_pearson,fold_2_train_pearson,fold_3_val_pearson,fold_3_train_pearson,fold_4_val_pearson,fold_4_train_pearson,fold_5_val_pearson,fold_5_train_pearson,fold_1_val_spearman,fold_1_train_spearman,fold_2_val_spearman,fold_2_train_spearman,fold_3_val_spearman,fold_3_train_spearman,fold_4_val_spearman,fold_4_train_spearman,fold_5_val_spearman,fold_5_train_spearman,fold_1_val_mse,fold_1_train_mse,fold_2_val_mse,fold_2_train_mse,fold_3_val_mse,fold_3_train_mse,fold_4_val_mse,fold_4_train_mse,fold_5_val_mse,fold_5_train_mse,fold_1_val_mae,fold_1_train_mae,fold_2_val_mae,fold_2_train_mae,fold_3_val_mae,fold_3_train_mae,fold_4_val_mae,fold_4_train_mae,fold_5_val_mae,fold_5_train_mae,fold_1_val_rmse,fold_1_train_rmse,fold_2_val_rmse,fold_2_train_rmse,fold_3_val_rmse,fold_3_train_rmse,fold_4_val_rmse,fold_4_train_rmse,fold_5_val_rmse,fold_5_train_rmse,fold_val_r2_mean,fold_val_r2_std,fold_train_r2_mean,fold_train_r2_std,fold_val_pearson_mean,fold_val_pearson_std,fold_train_pearson_mean,fold_train_pearson_std,fold_val_spearman_mean,fold_val_spearman_std,fold_train_spearman_mean,fold_train_spearman_std,fold_val_mse_mean,fold_val_mse_std,fold_train_mse_mean,fold_train_mse_std,fold_val_mae_mean,fold_val_mae_std,fold_train_mae_mean,fold_train_mae_std,fold_val_rmse_mean,fold_val_rmse_std,fold_train_rmse_mean,fold_train_rmse_std
m1198lai,False,100000,mean,['esm2_t33_650M_UR50D_all'],5,100,2,5628.0,0.042484897035610425,0.04314413130503347,0.21796289633496815,0.2256737535727648,0.20386139686153723,0.21212862256037476,0.0372325608495806,0.03761550251984281,0.003574124789986019,0.0037184289211362634,0.05978398439369878,0.06097892194140745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbvqo6eo,False,100000,mean,['esm2_t33_650M_UR50D_all'],5,200,2,11160.0,0.042997839124135795,0.04130077008292332,0.22018039996099317,0.2215995692716457,0.21269357360141328,0.22013639664099208,0.037219311367886025,0.03762959029574131,0.003572210126678099,0.0037255923904785625,0.05976796906937778,0.06103763093763193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfoumn7b,False,100000,mean,['esm2_t33_650M_UR50D_all'],5,500,2,28184.0,0.04339116551897604,0.04260817158227859,0.2216704141148848,0.2257663135480328,0.22778507521903796,0.23297114332835897,0.03722341757649343,0.03762207181223957,0.003570741953890012,0.003720511709358458,0.059755685536106204,0.060995997486379856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jpr5a3u8,False,100000,mean,['esm2_t33_650M_UR50D_all'],5,100,5,4936.0,0.04222927217204675,0.04142737641550909,0.2176702957466262,0.22093503311178175,0.1987669960202642,0.2115660696457075,0.03723422896833807,0.03764438903514673,0.0035750789630940687,0.0037251003867566977,0.059791964034425805,0.06103360047348262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pzal5w74,False,100000,mean,['esm2_t33_650M_UR50D_all'],5,200,5,10006.0,0.04347448649123553,0.04257412431266139,0.22154181971422193,0.22440162744563427,0.210934072529967,0.22381595620417735,0.03723658747304981,0.03763196372264863,0.0035704309409863447,0.0037206440201444104,0.05975308310862582,0.060997082062541404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ggraynlu,False,100000,mean,['esm2_t33_650M_UR50D_all'],5,500,5,24982.0,0.043130367777764134,0.04171307061515283,0.22096104137227207,0.2225749223840771,0.23084588529167263,0.2336855616444636,0.03723104857617475,0.03762859705991366,0.0035717154358425704,0.003723990153116175,0.059763830498409075,0.06102450452987042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9x266ix,False,100000,mean,['esm2_t33_650M_UR50D_all'],5,100,10,4668.0,0.04276439703433599,0.042544867727322355,0.21743496808923413,0.22275447840661625,0.20747483446129197,0.21733037408595587,0.03725080996882069,0.037637392158777934,0.0035730814979573577,0.0037207577138955983,0.059775258242498276,0.060998014015995625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25jf6pxy,False,100000,mean,['esm2_t33_650M_UR50D_all'],5,200,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpjqvnya,False,100000,mean,['esm2_t33_650M_UR50D_all'],5,500,10,23402.0,0.043426083712342134,0.04207983415014771,0.221736322662637,0.22410860739744143,0.2274111533664738,0.22989071273055428,0.03721877866395584,0.03762319561374181,0.003570611614451872,0.003722564876666126,0.05975459492333516,0.061012825509610076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqwz8ibd,False,100000,mean,['esm2_t33_650M_UR50D_all'],10,100,2,51342.0,0.06041436438812953,0.05554534876576145,0.25304136464687277,0.24567897909845376,0.2589537085263979,0.2634381328133398,0.03702057278717589,0.03736120433699117,0.003507199314306847,0.0036702366623312214,0.05922161188541601,0.06058247817918331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
