gene,p5,q1,median,q3,p95,iqr,n_genes,frac_gt_0.25,frac_gt_0.5,frac_gt_0.75,frac_gt_1.0
YBR201W,-0.1525785275790647,-0.04835402532252568,0.007277536498192221,0.06184059376710703,0.15954177744188025,0.11019461908963271,6169,0.029016047981844706,0.005025125628140704,0.002755714054141676,0.0011347057869995137
YLR096W,-0.14945319575431518,-0.05320057229694003,0.0009468381793262953,0.05702432545420713,0.1584523679253501,0.11022489775114716,6169,0.024477224833846654,0.003566218187712757,0.0017831090938563786,0.0008105041335710813
YDL138W,-0.16567109546015493,-0.04704731663555636,0.007226107642548489,0.06318823433289666,0.18842640947447803,0.11023555096845303,6169,0.04409142486626682,0.008915545469281893,0.002755714054141676,0.0017831090938563786
YOL063C,-0.12492139783050688,-0.03934830197755345,0.009497555713646256,0.07141846818416372,0.18278191255107504,0.11076677016171718,6169,0.02382882152698979,0.002755714054141676,0.0016210082671421625,0.0011347057869995137
YNL218W,-0.1340223573477347,-0.04898115908162566,0.004152676876560034,0.06188732738521196,0.17041975787190392,0.11086848646683761,6169,0.025611930620846168,0.005025125628140704,0.00259361322742746,0.0014589074404279462
YBR217W,-0.13520950099727852,-0.043246895941958255,0.010704148385041079,0.06774874573070716,0.16439555284966606,0.11099564167266542,6169,0.024801426487275086,0.0038904198411411897,0.0016210082671421625,0.0009726049602852974
YNL128W,-0.16271092257031214,-0.045876702217065995,0.010774511165051666,0.06529106087709335,0.17237607654388923,0.11116776309415935,6169,0.03533798022369914,0.0043767223212838385,0.0022694115739990274,0.0011347057869995137
YMR234W,-0.12672317318903417,-0.03826311238780314,0.014256747338971526,0.07303373888650273,0.18800232888754936,0.11129685127430587,6169,0.02642243475441725,0.003566218187712757,0.00129680661371373,0.000648403306856865
YLL019C,-0.16729508705928653,-0.05033444672445838,0.004612684376825854,0.06103538176346564,0.17177203599120763,0.11136982848792401,6169,0.04182201329226779,0.006646133895282866,0.0030799157075701088,0.0017831090938563786
YMR022W,-0.15226992432253153,-0.0380542049243664,0.01648041860709265,0.07340446082804902,0.19067739030812286,0.11145866575241542,6169,0.041173609985410926,0.00518722645485492,0.0017831090938563786,0.0016210082671421625
YJL048C,-0.10363975768910415,-0.01742663872045415,0.03104801288431336,0.09409732354922627,0.21816129340616158,0.11152396226968042,6169,0.03679688766412709,0.0038904198411411897,0.0016210082671421625,0.0011347057869995137
YOR339C,-0.1519979092666781,-0.04204490567292179,0.012121862602803624,0.06989359735684923,0.17957351454087392,0.11193850302977101,6169,0.03420327443669963,0.004700923974712271,0.0011347057869995137,0.0004863024801426487
YLR119W,-0.13562279075759093,-0.039157202546217504,0.01606470474988602,0.07282769231567202,0.1938684715363447,0.11198489486188952,6169,0.04619873561355163,0.0129680661371373,0.005997730588426001,0.0030799157075701088
YGR202C,-0.15461354705194877,-0.04805148665275348,0.006290489126775593,0.06393925435167555,0.1892945505081403,0.11199074100442903,6169,0.0389041984114119,0.008915545469281893,0.0038904198411411897,0.0017831090938563786
YBL057C,-0.1439170469199545,-0.04303558102184796,0.012554211703399858,0.06905107736950492,0.17315383468747483,0.11208665839135287,6169,0.03225806451612903,0.0061598314151402175,0.003242016534284325,0.00259361322742746
YIL042C,-0.15892077586087822,-0.050320435909057395,0.005735935206929513,0.062015295744127105,0.17039529454935637,0.1123357316531845,6169,0.03306856864970011,0.004863024801426487,0.0024315124007132437,0.00129680661371373
YCR087C-A,-0.13937918872496752,-0.040351645644664445,0.01630028353567859,0.07216679394530429,0.17988183210364372,0.11251843958996874,6169,0.0309612579024153,0.005997730588426001,0.003242016534284325,0.0016210082671421625
YKR019C,-0.15019441569160777,-0.0395667757032369,0.014222949162421578,0.07303538019190116,0.22214354824931595,0.11260215589513806,6169,0.05981520505754579,0.018641595072134868,0.006808234721997083,0.0037283190144269734
YDR001C,-0.15471408446718918,-0.05109923998898942,0.007397074474303357,0.06170496354494665,0.17200157865971066,0.11280420353393608,6169,0.02934024963527314,0.004700923974712271,0.0017831090938563786,0.0011347057869995137
YHR032W,-0.15606729330393368,-0.05935794475062768,-0.003219954414300532,0.05361982748930645,0.16958798237718908,0.11297777223993413,6169,0.03144756038255795,0.0072945372021397305,0.0034041173609985413,0.0014589074404279462
YOR358W,-0.15818651756144073,-0.04597846931797971,0.011960426858327725,0.06706769796591557,0.18441784389226254,0.11304616728389527,6169,0.04279461825255309,0.010698654563138272,0.00518722645485492,0.0024315124007132437
YPL150W,-0.1479956139452059,-0.051840239802085936,0.0043332136017129735,0.06156460952913539,0.1649672710801331,0.11340484933122133,6169,0.027881342194845192,0.007618738855568163,0.003242016534284325,0.0022694115739990274
YKR039W,-0.14173954471399516,-0.03264998371372588,0.023912756562094434,0.08078204806448008,0.18927981120385193,0.11343203177820596,6169,0.03485167774355649,0.005673528934997569,0.0019452099205705948,0.000648403306856865
YNL142W,-0.16110014923382007,-0.05111208447577174,0.0044495530291763135,0.06237604069019243,0.16904680352177784,0.11348812516596417,6169,0.02966445128870157,0.004863024801426487,0.00129680661371373,0.000648403306856865
YLR335W,-0.14725171802308248,-0.044100435198788236,0.010411484213161674,0.06963775917299263,0.19268079704875363,0.11373819437178087,6169,0.03971470254498298,0.007618738855568163,0.004052520667855406,0.0017831090938563786
YIL079C,-0.13812937699654187,-0.044885413659222495,0.009629766879783806,0.06901472138080177,0.1806252515126189,0.11390013504002426,6169,0.032095963689414815,0.006321932241854434,0.0029178148808558925,0.0009726049602852974
