gene,pearson_r,pearson_p,spearman_r,spearman_p,n_common_genes
YPL021W,0.7027361599408568,0.0,0.7031536418918023,0.0,6169
YPL038W,0.17170425975357345,4.9535221664953704e-42,0.10389542305025587,2.8208451458984244e-16,6169
YPL089C,0.7264013793830495,0.0,0.7395454323635219,0.0,6169
YPL177C,0.8040578566189405,0.0,0.8578821327390962,0.0,6169
YPL230W,0.8103530866762741,0.0,0.887696358643,0.0,6169
YPR008W,0.5271493437372774,0.0,0.5975541379514706,0.0,6169
YPR009W,0.8701730070294911,0.0,0.9535957386242309,0.0,6169
YPR015C,0.5649824863575306,0.0,0.5645450114681206,0.0,6169
YPR052C,0.4746471840401405,0.0,0.46924467794466523,0.0,6169
YPR065W,0.8537440022557551,0.0,0.9429900625105805,0.0,6169
YPR196W,0.80898089275721,0.0,0.945734520570942,0.0,6169
