rank,gene1,gene2,gene3,prediction,genes_not_built,n_doubles_missing,missing_doubles,computable_now
110,YBR203W,YLL012W,YLR312C-B,0.18383789,,3,YBR203W+YLL012W;YBR203W+YLR312C-B;YLL012W+YLR312C-B,False
111,YIL174W,YJR060W,YLR104W,0.1784668,YIL174W,3,YIL174W+YJR060W;YIL174W+YLR104W;YJR060W+YLR104W,False
112,YJR060W,YLR104W,YLR312C-B,0.1784668,,3,YJR060W+YLR104W;YJR060W+YLR312C-B;YLR104W+YLR312C-B,False
113,YGL087C,YKL033W-A,YLR312C-B,0.17822266,,3,YGL087C+YKL033W-A;YGL087C+YLR312C-B;YKL033W-A+YLR312C-B,False
114,YGL087C,YIL174W,YKL033W-A,0.17822266,YIL174W,3,YGL087C+YIL174W;YGL087C+YKL033W-A;YIL174W+YKL033W-A,False
115,YDR057W,YER079W,YLR312C-B,0.15783691,,0,,True
116,YDR057W,YER079W,YIL174W,0.15783691,YIL174W,2,YDR057W+YIL174W;YER079W+YIL174W,False
117,YDR057W,YIL174W,YPL046C,0.15222168,YIL174W,3,YDR057W+YIL174W;YDR057W+YPL046C;YIL174W+YPL046C,False
118,YDR057W,YLR312C-B,YPL046C,0.15222168,,2,YDR057W+YPL046C;YLR312C-B+YPL046C,False
119,YIL174W,YJR060W,YLL012W,0.13110352,YIL174W,3,YIL174W+YJR060W;YIL174W+YLL012W;YJR060W+YLL012W,False
120,YJR060W,YLL012W,YLR312C-B,0.13110352,,3,YJR060W+YLL012W;YJR060W+YLR312C-B;YLL012W+YLR312C-B,False
121,YER079W,YLR312C-B,YPL081W,0.04827881,,0,,True
122,YER079W,YIL174W,YPL081W,0.04827881,YIL174W,2,YER079W+YIL174W;YIL174W+YPL081W,False
