row,col,size,circularity,flags,cx,cy,strain,volume_nl,well,is_missing,is_flagged,is_blank,is_reference,size_rc,size_spatial,norm,is_capped,is_jackknife,status
5,8,346,1.0,,634.956647398844,691.1705202312139,COS111,2.5,E8,False,False,False,True,358.22324892180364,354.33241194449425,0.8858310298612356,False,False,OK
5,9,280,1.0,,684.7857142857143,692.9285714285714,YKL033W-A,2.5,E9,False,False,False,True,376.36779871043615,369.78136223300356,0.9244534055825089,False,False,OK
5,10,498,1.0,,733.1024096385543,694.9919678714859,YLR312C-B,2.5,E10,False,False,False,True,507.64040863523854,518.4763350703555,1.2961908376758888,False,False,OK
5,11,337,1.0,,782.0623145400593,687.7744807121662,YJR060W,2.5,E11,False,False,False,True,337.45134116881326,334.6344803971922,0.8365862009929805,False,False,OK
5,12,354,1.0,,827.2429378531074,690.3305084745763,YOS9,2.5,E12,False,False,False,True,403.3670896893561,427.87733577048004,1.0696933394262,False,False,OK
5,13,449,1.0,,877.6971046770601,687.3964365256124,YJR060W,5.0,E13,False,False,False,True,461.2490449499521,489.27643708328975,1.2231910927082243,False,False,OK
5,14,582,1.0,,924.4948453608247,687.9759450171821,BY4741,5.0,E14,False,False,False,True,477.8067684161105,506.8402760384715,1.2671006900961788,False,False,OK
5,15,0,,,976.1088784880237,690.7977591844192,Blank_media,5.0,E15,True,False,True,False,0.0,0.0,,False,False,MISS;BLANK
5,16,404,1.0,,1022.259900990099,691.0024752475248,YPL081W,5.0,E16,False,False,False,True,359.1889353804435,369.45396170246323,0.9236349042561581,False,False,OK
5,17,503,1.0,,1071.6202783300198,690.9920477137177,ELC1,5.0,E17,False,False,False,True,450.74524464607003,459.283932204353,1.1482098305108825,False,False,OK
5,18,403,1.0,,1118.3870967741937,692.3870967741935,YPL081W,5.0,E18,False,False,False,True,348.5315917564279,362.99952468586594,0.9074988117146648,False,False,OK
5,19,556,1.0,,1170.296762589928,693.4478417266187,YLR312C-B,5.0,E19,False,False,False,True,503.3581730633215,514.906133056099,1.2872653326402475,False,False,OK
5,20,339,1.0,,1213.684365781711,693.0825958702064,MMS2,5.0,E20,False,False,False,True,364.29211875761877,361.80891435800686,0.9045222858950172,False,False,OK
5,21,451,1.0,,1264.6164079822615,691.4035476718403,MMS2,5.0,E21,False,False,False,True,442.66136650839803,450.96126713043054,1.1274031678260763,False,False,OK
5,22,521,1.0,,1314.333973128599,687.6180422264875,BY4741,5.0,E22,False,False,False,True,506.97501159334354,516.4807930607187,1.2912019826517969,False,False,OK
5,23,384,1.0,,1361.3046875,692.3411458333334,YPL081W,5.0,E23,False,False,False,True,335.3913171642402,324.95017570681944,0.8123754392670486,False,False,OK
