gene,in_ohya_morphology,in_kemmeren_responsive,in_sameith_doubles,in_expanded_metabolic,in_betaxanthin,is_tier1,overlap_score,is_essential,is_low_fitness,min_fitness,is_selected,selection_reason,num_sources
YER130C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER131W,True,False,False,False,False,False,1,False,True,0.857,False,excluded_low_fitness,1
YER132C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER134C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER135C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER137C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER139C,True,True,False,False,False,False,2,False,False,,True,score>=2,2
YER140W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER141W,True,False,False,True,False,False,2,False,True,0.742,False,excluded_low_fitness,2
YER142C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER143W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER144C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER145C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER149C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER150W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER151C,True,True,False,False,False,False,2,False,True,0.6707,False,excluded_low_fitness,2
YER152C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YER153C,True,False,False,False,False,False,1,False,True,0.7958,False,excluded_low_fitness,1
YER154W,True,False,False,False,False,False,1,False,True,0.531,False,excluded_low_fitness,1
YER155C,True,False,False,False,False,False,1,False,True,0.8195,False,excluded_low_fitness,1
YER156C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER158C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER161C,True,True,True,False,False,True,2,False,False,,True,tier1,3
YER162C,True,False,False,False,False,False,1,False,True,0.7385,False,excluded_low_fitness,1
YER163C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YER164W,True,True,False,False,False,False,2,False,True,0.8408,False,excluded_low_fitness,2
YER166W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER167W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER169W,True,True,True,False,False,True,2,False,False,,True,tier1,3
YER170W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YER173W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER174C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YER175C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YER176W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER177W,True,True,False,False,False,False,2,False,True,0.8867,False,excluded_low_fitness,2
YER178W,True,False,False,True,False,False,2,False,True,0.8088,False,excluded_low_fitness,2
YER179W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER180C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER181C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER182W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER183C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YER184C,True,False,True,False,False,True,1,False,False,,True,tier1,2
YER185W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER186C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER187W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YER188W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL001W,True,True,False,True,False,False,3,False,True,0.796,False,excluded_low_fitness,3
YFL003C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL004W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL010C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL011W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFL012W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL013C,True,True,False,False,False,False,2,False,True,0.75,False,excluded_low_fitness,2
YFL014W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL015C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL016C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL017C,False,False,False,True,False,False,1,True,True,0.8537,False,excluded_essential,1
YFL018C,True,False,False,True,False,False,2,False,True,0.7625,False,excluded_low_fitness,2
YFL019C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL020C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL021W,True,False,True,False,False,True,1,False,False,,True,tier1,2
YFL022C,False,False,False,True,False,False,1,True,True,0.6013,False,excluded_essential,1
YFL023W,True,False,False,False,False,False,1,False,True,0.666,False,excluded_low_fitness,1
YFL025C,True,False,False,False,False,False,1,False,True,0.8569,False,excluded_low_fitness,1
YFL026W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL027C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL028C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL029C,False,False,False,True,False,False,1,True,True,0.8694,False,excluded_essential,1
YFL030W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFL031W,True,False,True,False,False,True,1,False,False,,True,tier1,2
YFL032W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFL033C,True,True,False,True,False,False,3,False,False,,True,score>=2,3
