gene,in_ohya_morphology,in_kemmeren_responsive,in_sameith_doubles,in_expanded_metabolic,is_essential,is_low_fitness,min_fitness,num_sources
YBR281C,True,False,False,True,False,False,,2
YBR285W,False,True,False,False,False,False,,1
YBR289W,False,True,False,False,False,True,0.2545,1
YBR291C,True,False,False,True,False,False,,2
YBR293W,False,False,False,True,False,False,,1
YBR294W,False,False,False,True,False,False,,1
YBR295W,False,False,False,True,False,False,,1
YBR296C,False,False,False,True,False,False,,1
YBR297W,False,False,True,False,False,False,,1
YBR298C,False,False,False,True,False,False,,1
YBR299W,False,False,False,True,False,False,,1
YCL001W-A,True,False,False,False,False,False,,1
YCL004W,False,False,False,True,True,False,,1
YCL005W,True,False,False,False,False,True,0.8461,1
YCL005W-A,False,False,False,True,False,False,,1
YCL007C,True,False,False,False,False,False,,1
YCL009C,True,False,False,True,False,False,,2
YCL010C,False,True,False,False,False,True,0.737,1
YCL016C,True,True,False,False,False,False,,2
YCL017C,False,False,False,True,True,False,,1
YCL018W,False,False,False,True,False,False,,1
YCL024W,False,False,False,True,False,True,0.84098,1
YCL025C,False,False,False,True,False,True,0.877,1
YCL029C,True,True,False,False,False,False,,2
YCL030C,False,False,False,True,False,False,,1
YCL032W,True,True,False,False,False,True,0.728,2
YCL035C,False,False,False,True,False,False,,1
YCL037C,True,True,False,False,False,False,,2
YCL038C,False,False,False,True,False,False,,1
YCL040W,False,False,False,True,False,False,,1
YCL047C,False,False,False,True,False,False,,1
YCL050C,True,False,False,True,False,False,,2
YCL052C,False,False,False,True,True,False,,1
YCL056C,True,False,False,False,False,False,,1
YCL058C,True,False,False,False,False,False,,1
YCL061C,False,True,False,False,False,True,0.8785,1
YCL064C,True,False,False,True,False,False,,2
YCL069W,False,False,False,True,False,False,,1
YCR002C,True,False,False,False,False,True,0.7376,1
YCR003W,True,False,False,False,False,False,,1
YCR004C,True,False,False,False,False,False,,1
YCR005C,False,False,False,True,False,False,,1
YCR008W,False,True,False,True,False,True,0.839,2
YCR009C,True,False,False,False,False,True,0.804,1
YCR010C,False,False,False,True,False,True,0.8806,1
YCR011C,False,False,False,True,False,False,,1
YCR012W,False,False,False,True,True,False,,1
YCR015C,True,False,False,False,False,False,,1
YCR020C-A,False,True,False,False,False,False,,1
YCR020W-B,True,True,False,False,False,False,,2
YCR024C,False,False,False,True,False,False,,1
YCR024C-A,False,False,False,True,False,False,,1
YCR025C,True,False,False,False,False,False,,1
YCR026C,True,False,False,True,False,False,,2
YCR027C,True,False,False,False,False,False,,1
YCR028C,True,False,False,True,False,False,,2
YCR028C-A,True,True,False,False,False,True,0.746,2
YCR031C,True,False,False,False,False,False,,1
YCR033W,True,True,True,False,False,False,,3
YCR034W,True,False,False,True,False,False,,2
YCR036W,False,False,False,True,False,False,,1
YCR037C,True,False,False,True,False,False,,2
YCR044C,True,False,False,False,False,False,,1
YCR045C,True,False,False,False,False,False,,1
YCR048W,False,False,False,True,False,False,,1
YCR050C,True,False,False,False,False,False,,1
YCR053W,False,True,False,True,False,True,0.6425,2
YCR054C,False,False,False,True,True,False,,1
YCR063W,True,False,False,False,False,True,0.5485,1
YCR065W,False,False,True,False,False,False,,1
YCR066W,True,True,False,False,False,False,,2
YCR068W,False,False,False,True,True,True,0.887,1
YCR073C,False,False,False,True,False,False,,1
YCR075C,False,False,False,True,False,False,,1
YCR077C,True,True,False,False,False,True,0.893,2
YCR081W,False,True,False,False,False,False,,1
YCR083W,False,False,False,True,False,False,,1
YCR084C,True,True,False,False,False,False,,2
YCR085W,True,False,False,False,False,False,,1
YCR086W,True,True,False,False,False,False,,2
YCR091W,False,True,False,True,False,False,,2
YCR094W,True,False,False,False,False,False,,1
YCR095C,False,True,False,False,False,False,,1
YCR098C,False,False,False,True,False,False,,1
YCR100C,True,False,False,False,False,False,,1
YCR105W,False,False,False,True,False,False,,1
YCR107W,False,False,False,True,False,False,,1
YDL002C,False,True,False,False,False,True,0.718,1
YDL004W,False,False,False,True,True,True,0.5305,1
YDL005C,True,True,False,False,False,True,0.388,2
YDL006W,True,True,False,False,False,True,0.6002,2
YDL013W,True,True,False,False,False,True,0.5408,2
YDL015C,False,False,False,True,True,True,0.7595,1
YDL017W,False,False,False,True,True,True,0.6121,1
YDL020C,True,True,True,False,False,True,0.7663,3
YDL021W,True,False,False,False,False,False,,1
YDL022W,False,False,False,True,False,False,,1
YDL024C,False,False,False,True,False,False,,1
YDL025C,False,False,False,True,False,False,,1
YDL028C,False,False,False,True,True,True,0.5169,1
YDL033C,True,False,False,False,False,True,0.8355,1
YDL035C,True,True,False,False,False,True,0.8417,2
YDL036C,False,True,False,False,False,False,,1
YDL040C,False,False,False,True,False,True,0.2855,1
YDL041W,True,False,False,False,False,False,,1
YDL042C,True,True,False,True,False,False,,3
YDL045C,False,False,False,True,True,True,0.8057,1
YDL047W,True,True,False,False,False,False,,2
YDL048C,False,False,True,False,False,False,,1
YDL051W,True,False,False,False,False,False,,1
YDL052C,False,False,False,True,False,False,,1
YDL055C,False,False,False,True,True,False,,1
YDL056W,False,True,False,False,False,False,,1
YDL062W,True,False,False,False,False,True,0.8365,1
YDL063C,True,False,False,False,False,True,0.79,1
