component,singular_value,cumulative_variance
608,6.261493,0.9649783
609,6.258233,0.96505886
610,6.256171,0.9651394
611,6.2458887,0.9652196
612,6.2443314,0.96529984
613,6.2396717,0.96537995
614,6.233466,0.9654599
615,6.222225,0.9655396
616,6.2164245,0.9656191
617,6.2149024,0.9656986
618,6.2066507,0.9657779
619,6.2048073,0.9658571
620,6.2002277,0.9659362
621,6.191467,0.96601504
622,6.1842084,0.9660938
623,6.178079,0.9661723
624,6.167238,0.96625054
625,6.162299,0.9663287
626,6.1522875,0.9664065
627,6.1473947,0.96648425
628,6.1414332,0.96656185
629,6.1384645,0.9666394
630,6.1282654,0.9667167
631,6.127745,0.966794
632,6.116456,0.96687096
633,6.1111603,0.9669478
634,6.105984,0.9670245
635,6.099516,0.9671011
636,6.0980463,0.9671776
637,6.0913587,0.9672539
638,6.0858817,0.9673301
639,6.0831227,0.9674063
640,6.078088,0.96748227
641,6.0669513,0.967558
642,6.0653825,0.96763366
643,6.0596595,0.96770924
644,6.058384,0.96778476
645,6.045879,0.96786004
646,6.043275,0.9679352
647,6.036819,0.9680101
648,6.0341525,0.96808505
649,6.0229745,0.96815974
650,6.017179,0.96823424
651,6.015124,0.9683087
652,6.005121,0.9683829
653,6.003781,0.96845704
654,5.9901,0.96853083
655,5.9876184,0.9686046
656,5.9837213,0.9686783
657,5.9779572,0.96875185
658,5.9711814,0.9688252
659,5.965601,0.9688985
660,5.962294,0.9689716
661,5.9607086,0.96904474
662,5.9568415,0.9691177
663,5.951513,0.9691906
664,5.9435477,0.96926326
665,5.94064,0.96933585
666,5.9318166,0.9694082
667,5.927161,0.9694805
668,5.9246125,0.9695527
669,5.9183125,0.9696248
670,5.910873,0.9696967
671,5.90992,0.9697686
672,5.9018354,0.9698402
673,5.896631,0.9699118
674,5.892093,0.9699833
675,5.881536,0.97005445
676,5.8801928,0.97012556
677,5.87359,0.97019655
678,5.872735,0.97026753
679,5.858625,0.9703381
680,5.854838,0.9704087
681,5.849234,0.9704791
682,5.8429055,0.9705493
683,5.8372636,0.9706194
684,5.83253,0.9706894
685,5.8215165,0.9707591
686,5.820675,0.97082883
687,5.817445,0.97089845
688,5.809961,0.9709679
689,5.808545,0.9710373
690,5.803044,0.97110665
691,5.800427,0.9711759
692,5.7978077,0.97124505
693,5.7928257,0.97131413
694,5.78454,0.971383
695,5.7824855,0.9714518
696,5.7778234,0.9715205
697,5.773551,0.9715891
698,5.762928,0.97165745
699,5.759245,0.97172564
700,5.758081,0.9717939
701,5.749078,0.9718619
702,5.7483974,0.97192985
703,5.745355,0.9719978
704,5.7346387,0.9720654
705,5.72985,0.972133
706,5.7272964,0.9722005
707,5.7191997,0.9722678
708,5.716152,0.9723351
709,5.7156634,0.9724023
710,5.7096477,0.97246933
711,5.70181,0.9725362
712,5.6985083,0.972603
713,5.6929064,0.9726697
714,5.683332,0.9727362
715,5.682711,0.97280264
716,5.6723256,0.97286886
717,5.670211,0.972935
718,5.6672444,0.9730011
719,5.6598206,0.973067
720,5.654541,0.9731328
721,5.6479993,0.9731984
722,5.642188,0.973264
723,5.6368136,0.97332937
724,5.6350036,0.9733947
725,5.623475,0.9734598
726,5.6171145,0.9735247
727,5.61346,0.97358954
728,5.61012,0.97365427
729,5.6041174,0.9737189
730,5.5971074,0.9737833
731,5.5919957,0.9738477
732,5.5870275,0.9739119
733,5.583824,0.9739761
734,5.580696,0.9740402
735,5.57389,0.9741041
736,5.5656853,0.9741678
737,5.561703,0.9742315
738,5.5556273,0.974295
739,5.5498843,0.9743584
740,5.5470963,0.97442174
741,5.544218,0.97448504
742,5.539594,0.97454816
743,5.5383477,0.9746113
744,5.527272,0.97467417
745,5.522752,0.9747369
746,5.5169835,0.9747996
747,5.5147853,0.97486216
748,5.5131707,0.9749247
749,5.5074425,0.97498715
750,5.50369,0.97504944
751,5.497849,0.9751116
752,5.4946947,0.9751737
753,5.488222,0.9752357
754,5.4842916,0.9752976
755,5.4785857,0.9753593
756,5.474486,0.97542095
757,5.4734664,0.97548264
758,5.4684057,0.97554415
759,5.4647574,0.9756056
760,5.45022,0.97566676
761,5.4442735,0.97572774
762,5.4408183,0.97578865
763,5.439409,0.9758495
764,5.4371285,0.97591037
765,5.4345584,0.9759711
766,5.427871,0.9760317
767,5.4243383,0.97609234
