sce:YBR082C	ko:K06689
sce:YBR083W	ko:K09448
sce:YBR084C-A	ko:K02885
sce:YBR084W	ko:K00288
sce:YBR085W	ko:K05863
sce:YBR086C	ko:K19327
sce:YBR087W	ko:K10756
sce:YBR088C	ko:K04802
sce:YBR089C-A	ko:K27246
sce:YBR091C	ko:K17793
sce:YBR092C	ko:K01078
sce:YBR093C	ko:K23458
sce:YBR094W	ko:K06047
sce:YBR097W	ko:K08333
sce:YBR098W	ko:K10882
sce:YBR101C	ko:K09562
sce:YBR102C	ko:K19986
sce:YBR103W	ko:K04508
sce:YBR104W	ko:K28106
sce:YBR105C	ko:K23335
sce:YBR106W	ko:K27165
sce:YBR109C	ko:K02183
sce:YBR110W	ko:K03842
sce:YBR111C	ko:K01515
sce:YBR111W-A	ko:K11368
sce:YBR112C	ko:K06665
sce:YBR114W	ko:K15083
sce:YBR115C	ko:K00143
sce:YBR117C	ko:K00615
sce:YBR118W	ko:K03231
sce:YBR120C	ko:K17663
sce:YBR121C	ko:K01880
sce:YBR123C	ko:K15202
sce:YBR125C	ko:K19705
sce:YBR126C	ko:K00697
sce:YBR127C	ko:K02147
sce:YBR128C	ko:K08335
sce:YBR130C	ko:K18737
sce:YBR131W	ko:K21156
sce:YBR132C	ko:K16261
sce:YBR133C	ko:K02516
sce:YBR135W	ko:K02219
sce:YBR136W	ko:K02543
sce:YBR139W	ko:K13289
sce:YBR141C	ko:K18849
sce:YBR142W	ko:K14805
sce:YBR143C	ko:K03265
sce:YBR145W	ko:K13953
sce:YBR146W	ko:K02996
sce:YBR147W	ko:K23678
sce:YBR149W	ko:K00063
sce:YBR152W	ko:K13110
sce:YBR153W	ko:K14654
sce:YBR154C	ko:K03013
sce:YBR155W	ko:K24927
sce:YBR158W	ko:K15081
sce:YBR159W	ko:K10251
sce:YBR160W	ko:K04563
sce:YBR161W	ko:K22721
sce:YBR163W	ko:K17815
sce:YBR164C	ko:K07942
sce:YBR166C	ko:K00211
sce:YBR167C	ko:K14526
sce:YBR168W	ko:K28907
sce:YBR169C	ko:K09485
sce:YBR170C	ko:K14015
sce:YBR171W	ko:K12273
sce:YBR172C	ko:K18730
sce:YBR173C	ko:K11599
sce:YBR175W	ko:K14963
sce:YBR176W	ko:K00606
sce:YBR177C	ko:K28802
sce:YBR179C	ko:K06030
sce:YBR180W	ko:K28510
sce:YBR181C	ko:K02991
sce:YBR182C	ko:K19807
sce:YBR183W	ko:K05848
sce:YBR185C	ko:K17801
sce:YBR186W	ko:K22399
sce:YBR187W	ko:K23541
sce:YBR189W	ko:K02997
sce:YBR191W	ko:K02889
sce:YBR192W	ko:K15116
sce:YBR193C	ko:K15130
sce:YBR195C	ko:K10752
sce:YBR196C	ko:K01810
sce:YBR198C	ko:K03130
sce:YBR199W	ko:K03854
sce:YBR200W	ko:K11237
sce:YBR201W	ko:K13989
sce:YBR202W	ko:K02210
sce:YBR205W	ko:K10967
sce:YBR207W	ko:K07243
sce:YBR208C	ko:K14541
sce:YBR210W	ko:K20368
sce:YBR211C	ko:K11556
sce:YBR213W	ko:K02304
sce:YBR217W	ko:K08336
sce:YBR218C	ko:K01958
sce:YBR221C	ko:K00162
sce:YBR222C	ko:K22133
sce:YBR223C	ko:K10862
sce:YBR227C	ko:K03544
sce:YBR228W	ko:K15078
sce:YBR229C	ko:K05546
sce:YBR233W	ko:K18738
sce:YBR233W-A	ko:K11568
sce:YBR234C	ko:K05757
sce:YBR235W	ko:K14429
sce:YBR236C	ko:K00565
sce:YBR237W	ko:K12811
sce:YBR239C	ko:K27389
sce:YBR242W	ko:K07023
sce:YBR243C	ko:K01001
sce:YBR244W	ko:K23856
sce:YBR245C	ko:K11654
sce:YBR246W	ko:K17868
sce:YBR247C	ko:K14797
sce:YBR248C	ko:K01663
sce:YBR249C	ko:K01626
sce:YBR251W	ko:K02988
sce:YBR252W	ko:K01520
sce:YBR253W	ko:K15140
sce:YBR254C	ko:K20301
sce:YBR256C	ko:K00793
sce:YBR257W	ko:K03538
sce:YBR258C	ko:K14969
sce:YBR260C	ko:K20643
sce:YBR261C	ko:K16219
sce:YBR262C	ko:K17787
sce:YBR263W	ko:K00600
sce:YBR264C	ko:K07976
sce:YBR265W	ko:K04708
sce:YBR267W	ko:K14816
sce:YBR268W	ko:K17435
sce:YBR270C	ko:K25577
sce:YBR273C	ko:K24348
sce:YBR274W	ko:K02216
sce:YBR275C	ko:K11118
sce:YBR276C	ko:K04459
sce:YBR278W	ko:K03506
sce:YBR279W	ko:K15174
sce:YBR280C	ko:K15072
sce:YBR281C	ko:K14262
sce:YBR282W	ko:K17422
sce:YBR283C	ko:K10956
sce:YBR286W	ko:K01264
sce:YBR287W	ko:K24139
sce:YBR288C	ko:K12398
sce:YBR289W	ko:K11648
sce:YBR291C	ko:K15100
sce:YBR293W	ko:K28669
sce:YBR294W	ko:K14708
sce:YBR295W	ko:K01532
sce:YBR296C	ko:K14640
sce:YBR298C	ko:K08141
sce:YBR299W	ko:K01182
sce:YCL001W	ko:K29081
sce:YCL004W	ko:K00995
sce:YCL005W-A	ko:K02153
sce:YCL008C	ko:K12183
sce:YCL009C	ko:K01653
sce:YCL010C	ko:K11364
sce:YCL011C	ko:K28506
sce:YCL016C	ko:K11271
sce:YCL017C	ko:K04487
sce:YCL018W	ko:K00052
sce:YCL024W	ko:K18639
sce:YCL025C	ko:K16261
sce:YCL026C-A	ko:K29127
sce:YCL026C-B	ko:K07078
sce:YCL027W	ko:K11243
sce:YCL030C	ko:K14152
sce:YCL031C	ko:K14545
sce:YCL032W	ko:K19841
sce:YCL033C	ko:K07305
sce:YCL034W	ko:K20524
sce:YCL035C	ko:K03676
sce:YCL037C	ko:K18757
sce:YCL038C	ko:K06902
sce:YCL039W	ko:K22382
sce:YCL040W	ko:K00844
sce:YCL043C	ko:K09580
sce:YCL045C	ko:K23562
sce:YCL047C	ko:K19785
sce:YCL050C	ko:K00988
sce:YCL052C	ko:K07541
sce:YCL054W	ko:K14857
sce:YCL055W	ko:K23960
sce:YCL056C	ko:K28908
sce:YCL057C-A	ko:K17784
sce:YCL057W	ko:K01405
sce:YCL059C	ko:K06961
sce:YCL061C	ko:K11272
sce:YCL064C	ko:K17989
sce:YCL067C	ko:K09359
sce:YCL069W	ko:K28668
sce:YCL073C	ko:K24107
sce:YCR002C	ko:K16938
sce:YCR003W	ko:K02911
sce:YCR004C	ko:K03809
sce:YCR005C	ko:K01647
sce:YCR008W	ko:K28035
sce:YCR009C	ko:K20120
