term,name,namespace,go_level,stratum,direct_genes,contained_genes,n_children,n_parents,width
GO:0006275,regulation of DNA replication,biological_process,7,2,3,37,6,1,20
GO:0006276,plasmid maintenance,biological_process,2,2,4,4,0,1,20
GO:0006351,DNA-templated transcription,biological_process,7,2,60,139,5,1,20
GO:0006352,DNA-templated transcription initiation,biological_process,7,2,13,37,3,1,20
GO:0006353,DNA-templated transcription termination,biological_process,7,2,13,32,2,1,20
GO:0006354,DNA-templated transcription elongation,biological_process,7,2,4,52,2,1,20
GO:0006457,protein folding,biological_process,2,2,87,120,5,1,27
GO:0006473,protein acetylation,biological_process,7,2,2,8,1,1,20
GO:0006528,asparagine metabolic process,biological_process,7,2,6,6,1,1,20
GO:0006536,glutamate metabolic process,biological_process,7,2,1,8,1,1,20
GO:0006541,glutamine metabolic process,biological_process,7,2,22,22,0,1,20
GO:0006544,glycine metabolic process,biological_process,6,2,2,7,2,1,20
GO:0006560,proline metabolic process,biological_process,7,2,3,8,1,1,20
GO:0006565,L-serine catabolic process,biological_process,7,2,4,4,0,1,20
GO:0006566,threonine metabolic process,biological_process,7,2,1,6,1,1,20
GO:0006595,polyamine metabolic process,biological_process,5,2,2,4,1,1,20
GO:0006616,"SRP-dependent cotranslational protein targeting to membrane, translocation",biological_process,5,2,13,13,0,1,20
GO:0006621,protein retention in ER lumen,biological_process,6,2,10,10,0,1,20
GO:0006641,triglyceride metabolic process,biological_process,7,2,6,9,1,1,20
GO:0006665,sphingolipid metabolic process,biological_process,6,2,22,37,4,1,20
GO:0006811,monoatomic ion transport,biological_process,4,2,120,201,3,1,36
GO:0006817,phosphate ion transport,biological_process,5,2,11,13,1,1,20
GO:0006833,water transport,biological_process,5,2,5,5,0,1,20
GO:0006839,mitochondrial transport,biological_process,4,2,6,42,3,1,20
GO:0006865,amino acid transport,biological_process,4,2,46,49,3,1,20
GO:0006869,lipid transport,biological_process,4,2,40,65,4,1,20
GO:0006913,nucleocytoplasmic transport,biological_process,5,2,23,143,2,1,20
GO:0006914,autophagy,biological_process,3,2,73,162,4,1,22
GO:0006915,apoptotic process,biological_process,4,2,25,25,0,1,20
GO:0006974,DNA damage response,biological_process,4,2,197,328,2,1,60
GO:0006986,response to unfolded protein,biological_process,4,2,13,13,0,1,20
GO:0007015,actin filament organization,biological_process,5,2,38,47,1,1,20
GO:0007017,microtubule-based process,biological_process,2,2,12,81,4,1,20
GO:0007019,microtubule depolymerization,biological_process,5,2,4,4,0,1,20
GO:0007035,vacuolar acidification,biological_process,5,2,27,27,0,1,20
GO:0007049,cell cycle,biological_process,2,2,304,402,2,1,92
GO:0007059,chromosome segregation,biological_process,3,2,71,98,1,1,22
GO:0007089,traversing start control point of mitotic cell cycle,biological_process,9,2,9,9,0,1,20
GO:0007094,mitotic spindle assembly checkpoint signaling,biological_process,6,2,20,20,0,1,20
GO:0007096,regulation of exit from mitosis,biological_process,7,2,11,27,1,1,20
GO:0007117,budding cell bud growth,biological_process,2,2,6,11,1,1,20
GO:0007124,pseudohyphal growth,biological_process,3,2,41,41,0,1,20
GO:0007131,reciprocal meiotic recombination,biological_process,3,2,48,48,0,1,20
GO:0007155,cell adhesion,biological_process,2,2,7,7,0,1,20
GO:0007163,establishment or maintenance of cell polarity,biological_process,2,2,7,70,2,1,20
GO:0007165,signal transduction,biological_process,2,2,75,217,3,1,23
GO:0007264,small GTPase-mediated signal transduction,biological_process,5,2,22,32,2,1,20
