child,parent
GO:0006081,GO:0008152
GO:0006083,GO:0032787
GO:0006084,GO:0006637
GO:0006086,GO:0006084
GO:0006086,GO:0006090
GO:0006089,GO:0032787
GO:0006090,GO:0032787
GO:0006091,GO:0008152
GO:0006094,GO:0006006
GO:0006096,GO:0006090
GO:0006096,GO:0006091
GO:0006096,GO:0016052
GO:0006096,GO:0046034
GO:0006096,GO:0046496
GO:0006097,GO:0005975
GO:0006098,GO:0006740
GO:0006098,GO:0051156
GO:0006099,GO:0044238
GO:0006102,GO:0008150
GO:0006103,GO:0008150
GO:0006108,GO:0008150
GO:0006109,GO:0080090
GO:0006111,GO:0010906
GO:0006112,GO:0008150
GO:0006119,GO:0009060
GO:0006121,GO:0019646
GO:0006122,GO:0019646
GO:0006123,GO:0019646
GO:0006139,GO:0044238
GO:0006144,GO:0072521
GO:0006163,GO:0009117
GO:0006163,GO:0072521
GO:0006164,GO:0006163
GO:0006164,GO:0009165
GO:0006164,GO:0072522
GO:0006166,GO:0043101
GO:0006167,GO:0009152
GO:0006167,GO:0009168
GO:0006167,GO:0046033
GO:0006177,GO:0009152
GO:0006177,GO:0009168
GO:0006177,GO:0046037
GO:0006183,GO:0009152
GO:0006183,GO:0046039
GO:0006188,GO:0009152
GO:0006188,GO:0009168
GO:0006188,GO:0046040
GO:0006189,GO:0006188
GO:0006206,GO:0072527
GO:0006207,GO:0019856
GO:0006221,GO:0009165
GO:0006221,GO:0072528
GO:0006222,GO:0008150
GO:0006241,GO:0008150
GO:0006259,GO:0090304
GO:0006260,GO:0006259
GO:0006261,GO:0006260
GO:0006265,GO:0006259
GO:0006267,GO:0008150
GO:0006270,GO:0006259
GO:0006271,GO:0008150
GO:0006272,GO:0006271
GO:0006273,GO:0006271
GO:0006275,GO:0008150
GO:0006276,GO:0008150
GO:0006277,GO:0071897
GO:0006278,GO:0071897
GO:0006279,GO:0008150
GO:0006279,GO:0033260
GO:0006281,GO:0006259
GO:0006281,GO:0006974
GO:0006282,GO:0080135
GO:0006283,GO:0006289
GO:0006284,GO:0006281
GO:0006285,GO:0006259
GO:0006289,GO:0006281
GO:0006298,GO:0006281
GO:0006301,GO:0006281
GO:0006302,GO:0006281
GO:0006303,GO:0006302
