term,gene
GO:0000112,YLR005W
GO:0000112,YPL122C
GO:0000112,YPR056W
GO:0000113,YBR114W
GO:0000113,YJR052W
GO:0000113,YKL112W
GO:0000113,YPL046C
GO:0000118,YMR075W
GO:0000118,YMR263W
GO:0000118,YNL021W
GO:0000118,YNL097C
GO:0000118,YNL330C
GO:0000118,YOR279C
GO:0000118,YPR068C
GO:0000122,YAL013W
GO:0000122,YAL019W
GO:0000122,YBL008W
GO:0000122,YBL093C
GO:0000122,YBR095C
GO:0000122,YBR112C
GO:0000122,YBR160W
GO:0000122,YBR193C
GO:0000122,YBR239C
GO:0000122,YBR279W
GO:0000122,YCL058W-A
GO:0000122,YCL067C
GO:0000122,YCR039C
GO:0000122,YCR081W
GO:0000122,YCR084C
GO:0000122,YCR087C-A
GO:0000122,YDL005C
GO:0000122,YDL020C
GO:0000122,YDL233W
GO:0000122,YDR096W
GO:0000122,YDR173C
GO:0000122,YDR191W
GO:0000122,YDR207C
GO:0000122,YDR224C
GO:0000122,YDR225W
GO:0000122,YDR253C
GO:0000122,YDR259C
GO:0000122,YDR295C
GO:0000122,YDR308C
GO:0000122,YDR310C
GO:0000122,YDR397C
GO:0000122,YDR443C
GO:0000122,YDR451C
GO:0000122,YEL009C
GO:0000122,YEL037C
GO:0000122,YER040W
GO:0000122,YER159C
GO:0000122,YER161C
GO:0000122,YER162C
GO:0000122,YER177W
GO:0000122,YFL021W
GO:0000122,YFL031W
GO:0000122,YFR034C
GO:0000122,YGL025C
GO:0000122,YGL071W
GO:0000122,YGL133W
GO:0000122,YGL220W
GO:0000122,YGL244W
GO:0000122,YGR002C
GO:0000122,YGR044C
GO:0000122,YGR116W
GO:0000122,YGR122W
GO:0000122,YGR270W
GO:0000122,YHL007C
GO:0000122,YHL020C
GO:0000122,YHL027W
GO:0000122,YHR084W
GO:0000122,YHR119W
GO:0000122,YIL084C
GO:0000122,YIL101C
GO:0000122,YIL131C
GO:0000122,YIR018W
GO:0000122,YJL110C
GO:0000122,YJL127C
GO:0000122,YJR060W
GO:0000122,YJR063W
GO:0000122,YJR119C
GO:0000122,YJR140C
GO:0000122,YKL032C
GO:0000122,YKL057C
GO:0000122,YKL112W
GO:0000122,YKL116C
GO:0000122,YKL185W
GO:0000122,YKR034W
GO:0000122,YKR064W
GO:0000122,YKR082W
GO:0000122,YLR055C
GO:0000122,YLR071C
GO:0000122,YLR131C
GO:0000122,YLR176C
GO:0000122,YLR256W
GO:0000122,YLR451W
GO:0000122,YML027W
GO:0000122,YML051W
GO:0000122,YML113W
GO:0000122,YMR020W
GO:0000122,YMR043W
GO:0000122,YMR070W
GO:0000122,YMR112C
GO:0000122,YNL021W
GO:0000122,YNL023C
GO:0000122,YNL025C
GO:0000122,YNL076W
GO:0000122,YNL167C
GO:0000122,YNL199C
GO:0000122,YNL206C
GO:0000122,YNL216W
GO:0000122,YNL236W
GO:0000122,YNL239W
GO:0000122,YNL298W
GO:0000122,YNL330C
GO:0000122,YNR009W
GO:0000122,YNR010W
GO:0000122,YOL002C
GO:0000122,YOL004W
GO:0000122,YOL051W
GO:0000122,YOL113W
GO:0000122,YOL135C
GO:0000122,YOR038C
GO:0000122,YOR119C
