gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,df_effective,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
FKH1_MED4_RGR1,trigenic,C16:0,0.06527437195496244,0.23306656654946856,0.1345610449364375,0.6514181305753928,4.277105003525802,0.6962762653156144,0.06527437195496244,False,False
FKH1_MED4_RGR1,trigenic,C18:0,-0.003756054168374101,0.18902772515199276,0.1091352080008056,0.9744183266646644,3.4959266774513207,0.9771554567957449,0.003756054168374101,False,False
FKH1_MED4_RGR1,trigenic,C16:1,0.6565416081401034,0.49977145153902225,0.28854318207934454,0.05971039285258106,6.525339304023995,0.10055004834137471,0.6565416081401034,False,False
FKH1_MED4_RGR1,trigenic,C18:1,-1.101566819081345,0.8668122408668918,0.5004542806013628,0.11430062675686559,3.0253364773711873,0.16621313137352756,1.101566819081345,False,False
FKH1_MED4_RGR1,trigenic,Total Titer,-0.18961450260800028,0.1905324028342752,0.110003934065715,0.178238824267696,3.1722624893246514,0.23921526414874988,0.18961450260800028,False,False
RFX1_RGR1_SPT3,trigenic,C14:0,4.752726230804777,2.3597657918038712,1.3624114151224354,0.02629329657925794,3.892272731151236,0.0536383250216862,4.752726230804777,True,False
RFX1_RGR1_SPT3,trigenic,C16:0,0.16598285212075636,0.24107234473635958,0.13918318312771147,0.3226996203900465,2.853986342338325,0.386589813688747,0.16598285212075636,False,False
RFX1_RGR1_SPT3,trigenic,C18:0,-0.49068136202832724,0.25509804540833847,0.14728092518625163,0.047154625024298014,2.891254616868359,0.0833376293746257,0.49068136202832724,True,False
RFX1_RGR1_SPT3,trigenic,C16:1,0.616394878120079,0.3719598445445785,0.21475111637554375,0.029613241477278063,5.783991815803919,0.05906104585133111,0.616394878120079,True,False
RFX1_RGR1_SPT3,trigenic,C18:1,1.7252563164863397,0.7690396726333992,0.4440052620123947,0.05226890125515338,2.1835765807349876,0.089927699990794,1.7252563164863397,False,False
