triple,order,order_idx,gene_1,gene_2,gene_3,f_base,f_single,f_double,f_triple,se_single,se_double,se_triple,n_single,n_double,n_triple,tau_multiplicative,monotone,monotone_within_se,min_rung,valley_depth
MED4-OPI1-RGR1,RGR1>OPI1>MED4,5,RGR1,OPI1,MED4,1.0,0.9121109966844414,0.7789430353292616,0.9283094287684238,0.02027007226013599,0.02296887948745143,0.014386597484666915,3,3,3,-0.9003318685702306,False,False,0.7789430353292616,0.22105696467073843
GCN5-RGR1-RPD3,GCN5>RGR1>RPD3,0,GCN5,RGR1,RPD3,1.0,1.0580767907963287,0.9441231404177625,0.9293700243478739,0.0495303851523764,0.045264570880747965,0.035533923413725604,2,3,3,-0.12061408807613039,False,False,0.9293700243478739,0.05587685958223754
GCN5-RGR1-RPD3,GCN5>RPD3>RGR1,1,GCN5,RPD3,RGR1,1.0,1.0580767907963287,0.7392215760417186,0.9293700243478739,0.0495303851523764,0.08335235200827153,0.035533923413725604,2,3,3,-0.12061408807613039,False,False,0.7392215760417186,0.26077842395828144
GCN5-RGR1-RPD3,RGR1>GCN5>RPD3,2,RGR1,GCN5,RPD3,1.0,0.9121109966844414,0.9441231404177625,0.9293700243478739,0.02027007226013599,0.045264570880747965,0.035533923413725604,3,3,3,-0.12061408807613039,False,False,0.9121109966844414,0.0878890033155586
GCN5-RGR1-RPD3,RGR1>RPD3>GCN5,3,RGR1,RPD3,GCN5,1.0,0.9121109966844414,0.8439213619220304,0.9293700243478739,0.02027007226013599,0.10443735576772187,0.035533923413725604,3,3,3,-0.12061408807613039,False,False,0.8439213619220304,0.15607863807796962
GCN5-RGR1-RPD3,RPD3>GCN5>RGR1,4,RPD3,GCN5,RGR1,1.0,0.5245219492978349,0.7392215760417186,0.9293700243478739,0.026794921037720753,0.08335235200827153,0.035533923413725604,3,3,3,-0.12061408807613039,False,False,0.5245219492978349,0.4754780507021651
GCN5-RGR1-RPD3,RPD3>RGR1>GCN5,5,RPD3,RGR1,GCN5,1.0,0.5245219492978349,0.8439213619220304,0.9293700243478739,0.026794921037720753,0.10443735576772187,0.035533923413725604,3,3,3,-0.12061408807613039,False,False,0.5245219492978349,0.4754780507021651
GCN5-RGR1-TFC7,GCN5>RGR1>TFC7,0,GCN5,RGR1,TFC7,1.0,1.0580767907963287,0.9441231404177625,0.9315255272693261,0.0495303851523764,0.045264570880747965,0.011619898418995855,2,3,2,-1.1237633118081962,False,False,0.9315255272693261,0.05587685958223754
GCN5-RGR1-TFC7,GCN5>TFC7>RGR1,1,GCN5,TFC7,RGR1,1.0,1.0580767907963287,1.8013462941834988,0.9315255272693261,0.0495303851523764,0.2342557703770761,0.011619898418995855,2,3,2,-1.1237633118081962,False,False,0.9315255272693261,-0.05807679079632866
GCN5-RGR1-TFC7,RGR1>GCN5>TFC7,2,RGR1,GCN5,TFC7,1.0,0.9121109966844414,0.9441231404177625,0.9315255272693261,0.02027007226013599,0.045264570880747965,0.011619898418995855,3,3,2,-1.1237633118081962,False,False,0.9121109966844414,0.0878890033155586
GCN5-RGR1-TFC7,RGR1>TFC7>GCN5,3,RGR1,TFC7,GCN5,1.0,0.9121109966844414,1.1143103595541453,0.9315255272693261,0.02027007226013599,0.020465166804597087,0.011619898418995855,3,3,2,-1.1237633118081962,False,False,0.9121109966844414,0.0878890033155586
