triple,f_triple,se_triple,tau_multiplicative,n_monotone,n_monotone_within_se,max_valley_depth,intermediate_spread
MED4-RGR1-TFC7,0.7952105456138593,0.018776979157060992,-0.9768961813853665,0,0,0.3143434859126911,0.5208717168774574
FKH1-GCN5-YAP6,0.7946052426034851,0.1441939399241931,-1.5338153182097685,0,0,0.13152145142815186,0.7508757537464451
GCN5-MED4-RGR1,0.7876641013224889,0.04332691415788346,-0.6725387491459516,0,0,0.3143434859126911,0.5208717168774574
GCN5-MED4-SPT3,0.7870876052533209,0.019002740731783478,-0.6584476436921622,0,0,0.3143434859126911,0.40384671719410636
RGR1-SPT3-TFC7,0.782725123647381,0.0239429989869259,-0.787584658499066,0,0,0.22238257111855686,0.3511709031057261
RGR1-RPD3-YAP6,0.7775277603756141,0.02554032500854952,-0.4235273630563068,0,0,0.4754780507021651,0.46575786775373107
GCN5-MED4-TFC7,0.7720049143927209,0.042563453138896194,-1.2770607345894311,0,0,0.3143434859126911,1.11568978009619
MED4-OPI1-SPT3,0.7690951210394923,0.03587471853227821,-1.1304440443614063,0,0,0.3143434859126911,0.7744415529247165
SPT3-TFC7-YAP6,0.7678301812953642,0.02085744488236278,-1.0027913839823572,0,0,0.22238257111855686,0.4194160407571127
MED4-RGR1-RPD3,0.7655516399333707,0.030000415213836194,-0.7626042651245302,0,0,0.4754780507021651,0.6820062816669313
MED4-RFX1-SPT3,0.762873860997253,0.04467901882043247,-0.8956887114770449,0,0,0.3143434859126911,0.49307691583209345
FKH1-GCN5-SPT3,0.7623900862551919,0.013309975430294137,-1.526906885646961,0,0,0.1092468332662685,0.6766288019397756
MED4-RPD3-SPT3,0.7607668297327906,0.026325419551898727,-0.7165865553051326,0,0,0.4754780507021651,0.5649812819835803
FKH1-GCN5-RFX1,0.7554198457415905,0.047336082398905424,-1.5341557959763181,0,0,0.08633138245062932,0.7124740226019195
MED4-RFX1-RGR1,0.7506457528923048,0.03601756015303563,-0.9925686302700634,0,0,0.3143434859126911,0.5208717168774574
MED4-RGR1-SPT3,0.7438617669534696,0.030022896777798094,-0.9261942347647107,0,0,0.3143434859126911,0.5208717168774574
MED4-SPT3-YAP6,0.7402044545858736,0.03012356790351041,-1.004617748602945,0,0,0.3143434859126911,0.5066540461735972
MED4-RFX1-RPD3,0.7369266825997958,0.03532171052823884,-0.9262180061832073,0,0,0.4754780507021651,0.6542114806215674
GCN5-MED4-YAP6,0.718584666588073,0.10465762379138333,-0.8044521487971548,0,0,0.3143434859126911,0.48407752347343525
MED4-SPT3-TFC7,0.7153284754502831,0.01019792030779511,-0.9740687715160377,0,0,0.3143434859126911,0.45728667842977166
GCN5-MED4-RFX1,0.7128393543737674,0.03155740004421362,-0.7762144667018898,0,0,0.3143434859126911,0.49307691583209345
MED4-TFC7-YAP6,0.7061891404651787,0.010198439412016706,-1.090683772808967,0,0,0.3143434859126911,0.511376955551247
MED4-RGR1-YAP6,0.7060347456528963,0.015688047936111407,-1.001444210318359,0,0,0.3143434859126911,0.5208717168774574
GCN5-OPI1-TFC7,0.6636573643305116,0.0,-1.0680136114420413,0,0,0.22238257111855686,1.0237288653020555
MED4-RFX1-TFC7,0.6563353024030576,0.011695481708101923,-0.9886465281549192,0,0,0.3143434859126911,0.49307691583209345
MED4-RFX1-YAP6,0.6397192833404621,0.009395864219307045,-1.0461878345083269,0,0,0.3143434859126911,0.49307691583209345
MED4-RPD3-YAP6,0.5793725088247645,0.007961166112002056,-0.9218176888505896,0,0,0.4754780507021651,0.6452120882629092
RPD3-SPT3-TFC7,0.5000198758151277,0.031490242929495475,-0.712076789362621,0,0,0.4754780507021651,0.6042663826893343
RPD3-TFC7-YAP6,0.4967754412869396,0.013699541722572222,-0.7406107855146467,0,0,0.4754780507021651,0.6725115203407209
RPD3-SPT3-YAP6,0.49048006913665904,0.011035950622417646,-0.8405384408201078,0,0,0.4754780507021651,0.6677886109630712
