gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,df_effective,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
GCN5_RGR1,digenic,C16:1,-1.1644814239468348,0.3181978504344275,0.2010945286886566,0.008371394447445502,3.224391847636801,0.02756434757085714,1.1644814239468348,True,True
GCN5_RGR1,digenic,C18:1,-0.047550941418264214,0.22043877316512395,0.14384420685349966,0.7699402090852123,2.1905853714688166,0.7874388502007854,0.047550941418264214,False,False
GCN5_RGR1,digenic,Total Titer,-0.02096033580415202,0.10774304470880718,0.06745256084394184,0.7748755022938412,3.24960354598386,0.7894957947899514,0.02096033580415202,False,False
RFX1_TFC7,digenic,C14:0,-1.3096864114572913,1.0437384072949,0.6026026504152618,0.15200505280240106,2.165935537772015,0.1964195566093274,1.3096864114572913,False,False
RFX1_TFC7,digenic,C16:0,0.3320820056696332,0.1584346469357371,0.09147228605731116,0.015927749115689505,4.840455539221569,0.04246215035693361,0.3320820056696332,True,True
RFX1_TFC7,digenic,C18:0,0.2990458979704764,0.15742727881813934,0.09089068180344301,0.03254830037437717,3.8033868995871716,0.06509660074875434,0.2990458979704764,True,False
RFX1_TFC7,digenic,C16:1,-0.05322067062147395,0.324192108401767,0.18717240105491253,0.8021535766027346,2.0635939045711664,0.8142160364012719,0.05322067062147395,False,False
RFX1_TFC7,digenic,C18:1,0.47522838840608345,0.09635142572881655,0.05562852158133647,0.0008748639032625238,4.149067070713444,0.006216138260023195,0.47522838840608345,True,True
RFX1_TFC7,digenic,Total Titer,0.249768307748235,0.12171787567880488,0.0702738482883474,0.01731126823569018,4.826668424481221,0.044514689748917605,0.249768307748235,True,True
RGR1_YAP6,digenic,C14:0,-1.8205387572254,1.1064342247101795,0.6388000974770371,0.0474210498928489,3.926333966274231,0.07855020534398284,1.8205387572254,True,False
RGR1_YAP6,digenic,C16:0,0.34457395343888686,0.152459198199983,0.08802235912119469,0.012962946295903999,4.648586511412755,0.037634360213914836,0.34457395343888686,True,True
RGR1_YAP6,digenic,C18:0,0.3975826111027263,0.16110399583162896,0.09301343536091532,0.011265825419163544,4.2587706267777845,0.03379747625749063,0.3975826111027263,True,True
RGR1_YAP6,digenic,C16:1,-0.46228982643763916,0.43444338334981536,0.2508260043246677,0.19983049204627568,2.1129475189722022,0.2463663600570522,0.46228982643763916,False,False
RGR1_YAP6,digenic,C18:1,0.26123244101657617,0.04734344460437717,0.027333750486701298,0.0029610734630969304,2.8578281828960144,0.012690314841843988,0.26123244101657617,True,True
