gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
RPD3_TFC7,digenic,C18:0,0.6573889118788516,0.10008775422786542,0.05778569184604321,3.526500018380396e-05,0.0015655717735322103,0.6573889118788516,True,True
RPD3_TFC7,digenic,C16:1,-0.22641465226966928,0.31498201739240295,0.18185495253139525,0.3359399217869079,0.3795137191734943,0.22641465226966928,False,False
RPD3_TFC7,digenic,C18:1,0.3427438568774174,0.08101211076686103,0.046772363958867004,0.015270708358873453,0.039854079361133436,0.3427438568774174,True,True
RPD3_TFC7,digenic,Total Titer,0.45003593560365796,0.07662122324090524,0.044237283863775054,0.00014153120740045821,0.002159016040471164,0.45003593560365796,True,True
OPI1_RGR1,digenic,C14:0,-1.278046353026439,0.5746277136786333,0.33176146517617816,0.035922300264706664,0.06370542960790564,1.278046353026439,True,False
OPI1_RGR1,digenic,C16:0,0.22942195897414053,0.11217812654249017,0.06476607155649461,0.012714877731900609,0.03576059362097046,0.22942195897414053,True,True
OPI1_RGR1,digenic,C18:0,0.22675397881692405,0.13355783462323845,0.07710965177211025,0.034814108769996244,0.06352735454446912,0.22675397881692405,True,False
OPI1_RGR1,digenic,C16:1,-0.5035295180843875,0.12931038401442851,0.0746573850197442,0.00281135743065164,0.011860414160561605,0.5035295180843875,True,True
OPI1_RGR1,digenic,C18:1,-0.08308744318053951,0.07271369656726588,0.041981272286883725,0.10294568826597317,0.141812937917412,0.08308744318053951,False,False
OPI1_RGR1,digenic,Total Titer,0.025974767457834558,0.059966347203535886,0.03462158670028001,0.48351899887301864,0.5201200386283468,0.025974767457834558,False,False
RGR1_RPD3,digenic,C14:0,-1.594320009217836,0.6157269575072959,0.3554901246641466,0.016646216015891335,0.04012927075259518,1.594320009217836,True,True
RGR1_RPD3,digenic,C16:0,0.600366425167856,0.17788171159452165,0.10270005407300846,0.007548222112903735,0.024554457475710945,0.600366425167856,True,True
RGR1_RPD3,digenic,C18:0,0.6628859983670912,0.1784239500848704,0.10301311561137629,0.00951651061133374,0.02887031309056303,0.6628859983670912,True,True
RGR1_RPD3,digenic,C16:1,-0.2669865379594736,0.27185132006339335,0.1569534328181553,0.21730344243277555,0.26764194525256507,0.2669865379594736,False,False
RGR1_RPD3,digenic,C18:1,0.5980442070650029,0.22460179265078167,0.12967390544740132,0.03505768824861444,0.06352735454446912,0.5980442070650029,True,False
RGR1_RPD3,digenic,Total Titer,0.40728841593975407,0.1900210901658224,0.1097087275589437,0.04847491589993891,0.07609434472664828,0.40728841593975407,True,False
RPD3_YAP6,digenic,C14:0,-0.49903730384961564,0.4041364335746607,0.23332827871366568,0.15543236916648517,0.20686295352141987,0.49903730384961564,False,False
RPD3_YAP6,digenic,C16:0,0.6805655429300581,0.16084571705524378,0.0928643180398434,0.0020142908143465643,0.00971175928345665,0.6805655429300581,True,True
RPD3_YAP6,digenic,C18:0,0.6639227835501225,0.17667748429464616,0.10200479311725985,0.004031557777603778,0.0145136079993736,0.6639227835501225,True,True
RPD3_YAP6,digenic,C16:1,-0.1641301219014213,0.32434392396053163,0.18726005180863245,0.47036534323650936,0.5120913011042643,0.1641301219014213,False,False
RPD3_YAP6,digenic,C18:1,0.4090404299182897,0.07707343184853808,0.04449836662512174,0.008012765423184964,0.02545231369717577,0.4090404299182897,True,True
