,Query Strain ID,Query allele name,Array Strain ID,Array allele name,Arraytype/Temp,Genetic interaction score (ε),P-value,Query single mutant fitness (SMF),Array SMF,Double mutant fitness,Double mutant fitness standard deviation,Query Systematic Name,Array Systematic Name,Temperature,query_perturbation_type,array_perturbation_type,combined_name
1689629,YGL113W_tsq1382,sld3-5001,YAL041W_tsa42,cdc24-h,TSA26,-0.0038,0.442,1.0478,0.868,0.9057,0.0373,YGL113W,YAL041W,26,temperature sensitive,temperature sensitive,YAL041W_YGL113W
1689627,YGL113W_tsq1382,sld3-5001,YAL041W_tsa410,cdc24-2,TSA26,-0.0234,0.2964,1.0478,0.9999,1.0243,0.0405,YGL113W,YAL041W,26,temperature sensitive,temperature sensitive,YAL041W_YGL113W
1689626,YGL113W_tsq1382,sld3-5001,YAL041W_tsa408,cdc24-1,TSA26,0.0115,0.3884,1.0478,0.9201,0.9756,0.0219,YGL113W,YAL041W,26,temperature sensitive,temperature sensitive,YAL041W_YGL113W
1689625,YGL113W_tsq1382,sld3-5001,YAL041W_tsa304,cdc24-5,TSA26,0.0404,0.09321,1.0478,0.9389,1.0242,0.0244,YGL113W,YAL041W,26,temperature sensitive,temperature sensitive,YAL041W_YGL113W
1689624,YGL113W_tsq1382,sld3-5001,YAL041W_tsa149,cdc24-4,TSA26,0.041,0.1051,1.0478,0.9709,1.0583,0.0266,YGL113W,YAL041W,26,temperature sensitive,temperature sensitive,YAL041W_YGL113W
1400819,YAL041W_tsq410,cdc24-2,YGL113W_tsa1119,sld3-5001,TSA26,-0.0289,8.801e-05,0.9999,0.7931,0.7641,0.0061,YAL041W,YGL113W,26,temperature sensitive,temperature sensitive,YAL041W_YGL113W
1689623,YGL113W_tsq1382,sld3-5001,YAL041W_tsa148,cdc24-11,TSA26,-0.0304,0.03063,1.0478,0.8262,0.8353,0.0123,YGL113W,YAL041W,26,temperature sensitive,temperature sensitive,YAL041W_YGL113W
1398485,YAL041W_tsq1250,cdc24-4,YGL113W_tsa1119,sld3-5001,TSA26,-0.0156,0.3686,0.9709,0.7931,0.7544,0.0483,YAL041W,YGL113W,26,temperature sensitive,temperature sensitive,YAL041W_YGL113W
1399263,YAL041W_tsq148,cdc24-11,YGL113W_tsa1119,sld3-5001,TSA26,0.0557,0.06334,0.8262,0.7931,0.711,0.0326,YAL041W,YGL113W,26,temperature sensitive,temperature sensitive,YAL041W_YGL113W
1400041,YAL041W_tsq408,cdc24-1,YGL113W_tsa1119,sld3-5001,TSA26,0.018,0.4299,0.9201,0.7931,0.7477,0.1026,YAL041W,YGL113W,26,temperature sensitive,temperature sensitive,YAL041W_YGL113W
1689628,YGL113W_tsq1382,sld3-5001,YAL041W_tsa412,cdc24-3,TSA26,-0.01,0.441,1.0478,0.9543,0.9899,0.0563,YGL113W,YAL041W,26,temperature sensitive,temperature sensitive,YAL041W_YGL113W
1401597,YAL041W_tsq412,cdc24-3,YGL113W_tsa1119,sld3-5001,TSA26,0.0084,0.4617,0.9543,0.7931,0.7653,0.0497,YAL041W,YGL113W,26,temperature sensitive,temperature sensitive,YAL041W_YGL113W
1397707,YAL041W_tsq1065,cdc24-h,YGL113W_tsa1119,sld3-5001,TSA26,-0.0125,0.4092,0.868,0.7931,0.6759,0.0815,YAL041W,YGL113W,26,temperature sensitive,temperature sensitive,YAL041W_YGL113W
1402375,YAL043C_tsq1367,pta1-5001,YGL113W_tsa1119,sld3-5001,TSA26,-0.0544,0.2284,1.0089,0.7931,0.7458,0.0877,YAL043C,YGL113W,26,temperature sensitive,temperature sensitive,YAL043C_YGL113W
1689631,YGL113W_tsq1382,sld3-5001,YAR019C_tsa821,cdc15-1,TSA26,0.0525,0.0003661,1.0478,0.9859,1.0855,0.0128,YGL113W,YAR019C,26,temperature sensitive,temperature sensitive,YAR019C_YGL113W
1403153,YAR019C_tsq1185,cdc15-1,YGL113W_tsa1119,sld3-5001,TSA26,0.0331,0.07727,0.9859,0.7931,0.815,0.0183,YAR019C,YGL113W,26,temperature sensitive,temperature sensitive,YAR019C_YGL113W
1689632,YGL113W_tsq1382,sld3-5001,YAR019C_tsa882,cdc15-2,TSA26,0.0591,0.2867,1.0478,0.842,0.9413,0.1506,YGL113W,YAR019C,26,temperature sensitive,temperature sensitive,YAR019C_YGL113W
1403888,YBL020W_tsq2552,rft1-5028,YGL113W_tsa1119,sld3-5001,TSA26,0.0817,1.31e-12,,0.7931,0.8748,0.0102,YBL020W,YGL113W,26,temperature sensitive,temperature sensitive,YBL020W_YGL113W
1404633,YBL023C_tsq111,mcm2-1,YGL113W_tsa1119,sld3-5001,TSA26,-0.1859,0.003121,0.9817,0.7931,0.5927,0.0795,YBL023C,YGL113W,26,temperature sensitive,temperature sensitive,YBL023C_YGL113W
1689633,YGL113W_tsq1382,sld3-5001,YBL023C_tsa111,mcm2-1,TSA26,-0.0001,0.4743,1.0478,0.9817,1.0285,0.0562,YGL113W,YBL023C,26,temperature sensitive,temperature sensitive,YBL023C_YGL113W
1689634,YGL113W_tsq1382,sld3-5001,YBL026W_tsa1065,lsm2-5001,TSA26,0.0556,0.01098,1.0478,0.9919,1.0949,0.0204,YGL113W,YBL026W,26,temperature sensitive,temperature sensitive,YBL026W_YGL113W
1405361,YBL026W_tsq1294,lsm2-5001,YGL113W_tsa1119,sld3-5001,TSA26,0.0815,9.895e-24,0.9919,0.7931,0.8682,0.0071,YBL026W,YGL113W,26,temperature sensitive,temperature sensitive,YBL026W_YGL113W
1689639,YGL113W_tsq1382,sld3-5001,YBL034C_tsa950,stu1-7,TSA26,0.0215,0.3921,1.0478,0.8628,0.9255,0.0576,YGL113W,YBL034C,26,temperature sensitive,temperature sensitive,YBL034C_YGL113W
1689638,YGL113W_tsq1382,sld3-5001,YBL034C_tsa822,stu1-12,TSA26,-0.0146,0.3406,1.0478,0.9648,0.9963,0.0331,YGL113W,YBL034C,26,temperature sensitive,temperature sensitive,YBL034C_YGL113W
1689637,YGL113W_tsq1382,sld3-5001,YBL034C_tsa643,stu1-6,TSA26,0.0279,0.3028,1.0478,0.9304,1.0028,0.0508,YGL113W,YBL034C,26,temperature sensitive,temperature sensitive,YBL034C_YGL113W
1408251,YBL034C_tsq822,stu1-12,YGL113W_tsa1119,sld3-5001,TSA26,0.038,0.09019,0.9648,0.7931,0.8032,0.0231,YBL034C,YGL113W,26,temperature sensitive,temperature sensitive,YBL034C_YGL113W
1407525,YBL034C_tsq643,stu1-6,YGL113W_tsa1119,sld3-5001,TSA26,-0.143,1.729e-18,0.9304,0.7931,0.5949,0.0121,YBL034C,YGL113W,26,temperature sensitive,temperature sensitive,YBL034C_YGL113W
1689636,YGL113W_tsq1382,sld3-5001,YBL034C_tsa454,stu1-8,TSA26,0.0272,0.2671,1.0478,0.9843,1.0586,0.0334,YGL113W,YBL034C,26,temperature sensitive,temperature sensitive,YBL034C_YGL113W
1406082,YBL034C_tsq274,stu1-5,YGL113W_tsa1119,sld3-5001,TSA26,0.1295,0.002651,0.9877,0.7931,0.9128,0.0456,YBL034C,YGL113W,26,temperature sensitive,temperature sensitive,YBL034C_YGL113W
1406799,YBL034C_tsq454,stu1-8,YGL113W_tsa1119,sld3-5001,TSA26,0.0394,0.07549,0.9843,0.7931,0.82,0.0226,YBL034C,YGL113W,26,temperature sensitive,temperature sensitive,YBL034C_YGL113W
1689635,YGL113W_tsq1382,sld3-5001,YBL034C_tsa274,stu1-5,TSA26,0.0598,0.225,1.0478,0.9877,1.0947,0.084,YGL113W,YBL034C,26,temperature sensitive,temperature sensitive,YBL034C_YGL113W
1409007,YBL035C_tsq365,pol12-ts,YGL113W_tsa1119,sld3-5001,TSA26,-0.3083,3.171e-05,0.7495,0.7931,0.2862,0.1249,YBL035C,YGL113W,26,temperature sensitive,temperature sensitive,YBL035C_YGL113W
1689640,YGL113W_tsq1382,sld3-5001,YBL035C_tsa365,pol12-ts,TSA26,-0.3431,4.114e-09,1.0478,0.7495,0.4422,0.0639,YGL113W,YBL035C,26,temperature sensitive,temperature sensitive,YBL035C_YGL113W
1689641,YGL113W_tsq1382,sld3-5001,YBL040C_tsa1072,erd2-5001,TSA26,0.0192,0.4148,1.0478,0.786,0.8428,0.0722,YGL113W,YBL040C,26,temperature sensitive,temperature sensitive,YBL040C_YGL113W
1689642,YGL113W_tsq1382,sld3-5001,YBL041W_tsa1064,pre7-5001,TSA26,0.0323,0.1147,1.0478,0.8625,0.936,0.0204,YGL113W,YBL041W,26,temperature sensitive,temperature sensitive,YBL041W_YGL113W
1409737,YBL041W_tsq1293,pre7-5001,YGL113W_tsa1119,sld3-5001,TSA26,0.0616,0.01393,0.8625,0.7931,0.7457,0.0244,YBL041W,YGL113W,26,temperature sensitive,temperature sensitive,YBL041W_YGL113W
1410486,YBL050W_tsq48,sec17-1,YGL113W_tsa1119,sld3-5001,TSA26,0.0612,7.187e-09,0.8398,0.7931,0.7272,0.0091,YBL050W,YGL113W,26,temperature sensitive,temperature sensitive,YBL050W_YGL113W
1689643,YGL113W_tsq1382,sld3-5001,YBL050W_tsa45,sec17-1,TSA26,0.034,0.217,1.0478,0.8398,0.9139,0.0358,YGL113W,YBL050W,26,temperature sensitive,temperature sensitive,YBL050W_YGL113W
1411241,YBL074C_tsq1352,aar2-5001,YGL113W_tsa1119,sld3-5001,TSA26,0.0183,0.1409,0.7052,0.7931,0.5776,0.011,YBL074C,YGL113W,26,temperature sensitive,temperature sensitive,YBL074C_YGL113W
1689644,YGL113W_tsq1382,sld3-5001,YBL074C_tsa1108,aar2-5001,TSA26,0.0008,0.4869,1.0478,0.7052,0.7397,0.0808,YGL113W,YBL074C,26,temperature sensitive,temperature sensitive,YBL074C_YGL113W
1689645,YGL113W_tsq1382,sld3-5001,YBL076C_tsa275,ils1-1,TSA26,-0.085,0.01985,1.0478,0.9298,0.8892,0.0307,YGL113W,YBL076C,26,temperature sensitive,temperature sensitive,YBL076C_YGL113W
1411995,YBL076C_tsq275,ils1-1,YGL113W_tsa1119,sld3-5001,TSA26,0.0662,0.1432,0.9298,0.7931,0.8036,0.0746,YBL076C,YGL113W,26,temperature sensitive,temperature sensitive,YBL076C_YGL113W
1413469,YBL084C_tsq93,cdc27-2,YGL113W_tsa1119,sld3-5001,TSA26,-0.0161,0.2877,0.8247,0.7931,0.638,0.0265,YBL084C,YGL113W,26,temperature sensitive,temperature sensitive,YBL084C_YGL113W
1412732,YBL084C_tsq92,cdc27-1,YGL113W_tsa1119,sld3-5001,TSA26,-0.1214,2.882e-06,0.9257,0.7931,0.6128,0.0199,YBL084C,YGL113W,26,temperature sensitive,temperature sensitive,YBL084C_YGL113W
1689646,YGL113W_tsq1382,sld3-5001,YBL084C_tsa89,cdc27-1,TSA26,-0.013,0.08221,1.0478,0.9257,0.9569,0.0078,YGL113W,YBL084C,26,temperature sensitive,temperature sensitive,YBL084C_YGL113W
1689647,YGL113W_tsq1382,sld3-5001,YBL084C_tsa90,cdc27-2,TSA26,0.0255,0.09897,1.0478,0.8247,0.8896,0.0145,YGL113W,YBL084C,26,temperature sensitive,temperature sensitive,YBL084C_YGL113W
1689649,YGL113W_tsq1382,sld3-5001,YBL097W_tsa511,brn1-16,TSA26,0.02,0.3776,1.0478,0.9467,1.012,0.0562,YGL113W,YBL097W,26,temperature sensitive,temperature sensitive,YBL097W_YGL113W
1689648,YGL113W_tsq1382,sld3-5001,YBL097W_tsa510,brn1-9,TSA26,-0.0176,0.2152,1.0478,0.6577,0.6715,0.018,YGL113W,YBL097W,26,temperature sensitive,temperature sensitive,YBL097W_YGL113W
1414976,YBL097W_tsq511,brn1-16,YGL113W_tsa1119,sld3-5001,TSA26,0.0752,0.1183,0.9467,0.7931,0.826,0.0794,YBL097W,YGL113W,26,temperature sensitive,temperature sensitive,YBL097W_YGL113W
1414223,YBL097W_tsq510,brn1-9,YGL113W_tsa1119,sld3-5001,TSA26,0.0609,0.03995,0.6577,0.7931,0.5825,0.034,YBL097W,YGL113W,26,temperature sensitive,temperature sensitive,YBL097W_YGL113W
1417989,YBL105C_tsq539,pkc1-4,YGL113W_tsa1119,sld3-5001,TSA26,0.0332,0.01365,0.8378,0.7931,0.6977,0.0116,YBL105C,YGL113W,26,temperature sensitive,temperature sensitive,YBL105C_YGL113W
1689652,YGL113W_tsq1382,sld3-5001,YBL105C_tsa538,pkc1-2,TSA26,0.1296,2.964e-05,1.0478,0.6766,0.8385,0.0309,YGL113W,YBL105C,26,temperature sensitive,temperature sensitive,YBL105C_YGL113W
1689651,YGL113W_tsq1382,sld3-5001,YBL105C_tsa537,pkc1-1,TSA26,-0.0224,0.2578,1.0478,0.9169,0.9383,0.0274,YGL113W,YBL105C,26,temperature sensitive,temperature sensitive,YBL105C_YGL113W
1689650,YGL113W_tsq1382,sld3-5001,YBL105C_tsa535,pkc1-ts,TSA26,-0.0399,0.1076,1.0478,0.9674,0.9737,0.0254,YGL113W,YBL105C,26,temperature sensitive,temperature sensitive,YBL105C_YGL113W
1418743,YBL105C_tsq541,pkc1-3,YGL113W_tsa1119,sld3-5001,TSA26,-0.035,0.2563,0.9365,0.7931,0.7077,0.0487,YBL105C,YGL113W,26,temperature sensitive,temperature sensitive,YBL105C_YGL113W
1689654,YGL113W_tsq1382,sld3-5001,YBL105C_tsa541,pkc1-3,TSA26,0.0635,0.03017,1.0478,0.9365,1.0448,0.0292,YGL113W,YBL105C,26,temperature sensitive,temperature sensitive,YBL105C_YGL113W
1417236,YBL105C_tsq538,pkc1-2,YGL113W_tsa1119,sld3-5001,TSA26,0.052,0.08608,0.6766,0.7931,0.5886,0.0364,YBL105C,YGL113W,26,temperature sensitive,temperature sensitive,YBL105C_YGL113W
1416483,YBL105C_tsq537,pkc1-1,YGL113W_tsa1119,sld3-5001,TSA26,-0.0562,0.2288,0.9169,0.7931,0.671,0.09,YBL105C,YGL113W,26,temperature sensitive,temperature sensitive,YBL105C_YGL113W
1415730,YBL105C_tsq535,pkc1-ts,YGL113W_tsa1119,sld3-5001,TSA26,0.0009,0.4389,0.9674,0.7931,0.7681,0.0126,YBL105C,YGL113W,26,temperature sensitive,temperature sensitive,YBL105C_YGL113W
1689653,YGL113W_tsq1382,sld3-5001,YBL105C_tsa539,pkc1-4,TSA26,0.0676,0.0007935,1.0478,0.8378,0.9454,0.0186,YGL113W,YBL105C,26,temperature sensitive,temperature sensitive,YBL105C_YGL113W
1419497,YBR002C_tsq2553,rer2-5001,YGL113W_tsa1119,sld3-5001,TSA26,0.0585,3.067e-06,,0.7931,0.8516,0.0109,YBR002C,YGL113W,26,temperature sensitive,temperature sensitive,YBR002C_YGL113W
1420233,YBR002C_tsq2935,rer2-5008,YGL113W_tsa1119,sld3-5001,TSA26,0.0758,0.0953,,0.7931,0.8689,0.0607,YBR002C,YGL113W,26,temperature sensitive,temperature sensitive,YBR002C_YGL113W
1689655,YGL113W_tsq1382,sld3-5001,YBR004C_tsa1243,gpi18-5001,TSA26,0.0077,0.4672,1.0478,0.9189,0.9705,0.041,YGL113W,YBR004C,26,temperature sensitive,temperature sensitive,YBR004C_YGL113W
1420966,YBR004C_tsq2848,gpi18-5001,YGL113W_tsa1119,sld3-5001,TSA26,0.0353,0.126,0.9189,0.7931,0.7641,0.0255,YBR004C,YGL113W,26,temperature sensitive,temperature sensitive,YBR004C_YGL113W
1421688,YBR011C_tsq1291,ipp1-5001,YGL113W_tsa1119,sld3-5001,TSA26,-0.0313,0.07151,0.8428,0.7931,0.6371,0.0166,YBR011C,YGL113W,26,temperature sensitive,temperature sensitive,YBR011C_YGL113W
1689656,YGL113W_tsq1382,sld3-5001,YBR011C_tsa1062,ipp1-5001,TSA26,0.0192,0.3531,1.0478,0.8428,0.9023,0.0383,YGL113W,YBR011C,26,temperature sensitive,temperature sensitive,YBR011C_YGL113W
1689657,YGL113W_tsq1382,sld3-5001,YBR029C_tsa1063,cds1-5001,TSA26,0.0413,0.1854,1.0478,0.9626,1.0499,0.042,YGL113W,YBR029C,26,temperature sensitive,temperature sensitive,YBR029C_YGL113W
1422410,YBR029C_tsq1292,cds1-5001,YGL113W_tsa1119,sld3-5001,TSA26,0.0565,0.1839,0.9626,0.7931,0.8199,0.075,YBR029C,YGL113W,26,temperature sensitive,temperature sensitive,YBR029C_YGL113W
1423131,YBR038W_tsq2554,chs2-5006,YGL113W_tsa1119,sld3-5001,TSA26,0.0331,0.3234,,0.7931,0.8262,0.0667,YBR038W,YGL113W,26,temperature sensitive,temperature sensitive,YBR038W_YGL113W
1423859,YBR049C_tsq1348,reb1-5001,YGL113W_tsa1119,sld3-5001,TSA26,0.0125,0.413,0.8283,0.7931,0.6694,0.0343,YBR049C,YGL113W,26,temperature sensitive,temperature sensitive,YBR049C_YGL113W
1689658,YGL113W_tsq1382,sld3-5001,YBR055C_tsa367,prp6-ts,TSA26,-0.0292,0.316,1.0478,1.002,1.0207,0.0452,YGL113W,YBR055C,26,temperature sensitive,temperature sensitive,YBR055C_YGL113W
1424581,YBR055C_tsq1110,prp6-ts,YGL113W_tsa1119,sld3-5001,TSA26,0.0037,0.4964,1.002,0.7931,0.7984,0.0602,YBR055C,YGL113W,26,temperature sensitive,temperature sensitive,YBR055C_YGL113W
1425303,YBR055C_tsq455,prp6-1,YGL113W_tsa1119,sld3-5001,TSA26,-0.0026,0.4667,1.0279,0.7931,0.8126,0.0776,YBR055C,YGL113W,26,temperature sensitive,temperature sensitive,YBR055C_YGL113W
1689659,YGL113W_tsq1382,sld3-5001,YBR055C_tsa455,prp6-1,TSA26,0.0478,0.001437,1.0478,1.0279,1.1248,0.0131,YGL113W,YBR055C,26,temperature sensitive,temperature sensitive,YBR055C_YGL113W
1689660,YGL113W_tsq1382,sld3-5001,YBR058C-A_tsa571,tsc3-2,TSA26,-0.0095,0.4303,1.0478,0.7834,0.8113,0.0654,YGL113W,YBR058C-A,26,temperature sensitive,temperature sensitive,YBR058C-A_YGL113W
1426024,YBR058C-A_tsq2758,tsc3-2,YGL113W_tsa1119,sld3-5001,TSA26,0.0505,0.2162,0.7834,0.7931,0.6718,0.0639,YBR058C-A,YGL113W,26,temperature sensitive,temperature sensitive,YBR058C-A_YGL113W
1689662,YGL113W_tsq1382,sld3-5001,YBR060C_tsa309,orc2-4,TSA26,-0.238,0.0005549,1.0478,0.7395,0.5368,0.0629,YGL113W,YBR060C,26,temperature sensitive,temperature sensitive,YBR060C_YGL113W
1689661,YGL113W_tsq1382,sld3-5001,YBR060C_tsa295,orc2-1,TSA26,-0.0526,0.1632,1.0478,0.7976,0.7831,0.0426,YGL113W,YBR060C,26,temperature sensitive,temperature sensitive,YBR060C_YGL113W
1689664,YGL113W_tsq1382,sld3-5001,YBR060C_tsa331,orc2-3,TSA26,0.039,0.1722,1.0478,0.974,1.0596,0.0339,YGL113W,YBR060C,26,temperature sensitive,temperature sensitive,YBR060C_YGL113W
1428152,YBR060C_tsq311,orc2-2,YGL113W_tsa1119,sld3-5001,TSA26,-0.1551,0.002136,0.931,0.7931,0.5833,0.0541,YBR060C,YGL113W,26,temperature sensitive,temperature sensitive,YBR060C_YGL113W
1427446,YBR060C_tsq309,orc2-4,YGL113W_tsa1119,sld3-5001,TSA26,-0.2329,0.000303,0.7395,0.7931,0.3536,0.1418,YBR060C,YGL113W,26,temperature sensitive,temperature sensitive,YBR060C_YGL113W
1428874,YBR060C_tsq331,orc2-3,YGL113W_tsa1119,sld3-5001,TSA26,-0.1833,0.03075,0.974,0.7931,0.5892,0.1155,YBR060C,YGL113W,26,temperature sensitive,temperature sensitive,YBR060C_YGL113W
1689663,YGL113W_tsq1382,sld3-5001,YBR060C_tsa311,orc2-2,TSA26,-0.0164,0.2185,1.0478,0.931,0.9591,0.0168,YGL113W,YBR060C,26,temperature sensitive,temperature sensitive,YBR060C_YGL113W
1426744,YBR060C_tsq295,orc2-1,YGL113W_tsa1119,sld3-5001,TSA26,-0.2046,0.0006331,0.7976,0.7931,0.428,0.0843,YBR060C,YGL113W,26,temperature sensitive,temperature sensitive,YBR060C_YGL113W
1689665,YGL113W_tsq1382,sld3-5001,YBR070C_tsa1061,alg14-5001,TSA26,0.0546,0.2248,1.0478,0.8073,0.9005,0.0644,YGL113W,YBR070C,26,temperature sensitive,temperature sensitive,YBR070C_YGL113W
1429596,YBR070C_tsq1290,alg14-5001,YGL113W_tsa1119,sld3-5001,TSA26,0.0847,0.0001443,0.8073,0.7931,0.725,0.0215,YBR070C,YGL113W,26,temperature sensitive,temperature sensitive,YBR070C_YGL113W
1689667,YGL113W_tsq1382,sld3-5001,YBR079C_tsa990,rpg1-1,TSA26,-0.0631,0.04522,1.0478,0.9185,0.8993,0.0287,YGL113W,YBR079C,26,temperature sensitive,temperature sensitive,YBR079C_YGL113W
1689666,YGL113W_tsq1382,sld3-5001,YBR079C_tsa1060,rpg1-5001,TSA26,-0.0088,0.1245,1.0478,0.9002,0.9345,0.007,YGL113W,YBR079C,26,temperature sensitive,temperature sensitive,YBR079C_YGL113W
1431038,YBR079C_tsq992,rpg1-1,YGL113W_tsa1119,sld3-5001,TSA26,-0.0955,0.07424,0.5609,0.7931,0.3494,0.1073,YBR079C,YGL113W,26,temperature sensitive,temperature sensitive,YBR079C_YGL113W
1430318,YBR079C_tsq1289,rpg1-5001,YGL113W_tsa1119,sld3-5001,TSA26,0.0289,0.2119,0.9002,0.7931,0.7428,0.0298,YBR079C,YGL113W,26,temperature sensitive,temperature sensitive,YBR079C_YGL113W
1431757,YBR080C_tsq57,sec18-1,YGL113W_tsa1119,sld3-5001,TSA26,-0.0298,0.2383,0.8635,0.7931,0.655,0.0411,YBR080C,YGL113W,26,temperature sensitive,temperature sensitive,YBR080C_YGL113W
1689668,YGL113W_tsq1382,sld3-5001,YBR080C_tsa54,sec18-1,TSA26,0.025,0.237,1.0478,0.8635,0.9298,0.0258,YGL113W,YBR080C,26,temperature sensitive,temperature sensitive,YBR080C_YGL113W
1689669,YGL113W_tsq1382,sld3-5001,YBR087W_tsa887,rfc5-1,TSA26,-0.0524,1.44e-05,1.0478,0.9788,0.9732,0.0094,YGL113W,YBR087W,26,temperature sensitive,temperature sensitive,YBR087W_YGL113W
1432492,YBR087W_tsq887,rfc5-1,YGL113W_tsa1119,sld3-5001,TSA26,-0.0959,0.0001298,0.9788,0.7931,0.6804,0.0198,YBR087W,YGL113W,26,temperature sensitive,temperature sensitive,YBR087W_YGL113W
1440423,YBR088C_tsq1486,pol30-k146r,YGL113W_tsa1119,sld3-5001,TSA26,0.0136,0.4118,0.8834,0.7931,0.7142,0.0491,YBR088C,YGL113W,26,temperature sensitive,temperature sensitive,YBR088C_YGL113W
1435376,YBR088C_tsq1477,pol30-k210r,YGL113W_tsa1119,sld3-5001,TSA26,-0.0494,0.1638,0.9791,0.7931,0.7271,0.0466,YBR088C,YGL113W,26,temperature sensitive,temperature sensitive,YBR088C_YGL113W
1441144,YBR088C_tsq1487,pol30-k196r,YGL113W_tsa1119,sld3-5001,TSA26,-0.0317,0.1274,1.0225,0.7931,0.7792,0.0226,YBR088C,YGL113W,26,temperature sensitive,temperature sensitive,YBR088C_YGL113W
1441865,YBR088C_tsq1489,pol30-k117r,YGL113W_tsa1119,sld3-5001,TSA26,-0.0267,0.2726,1.0351,0.7931,0.7943,0.0415,YBR088C,YGL113W,26,temperature sensitive,temperature sensitive,YBR088C_YGL113W
1439702,YBR088C_tsq1485,pol30-k183r,YGL113W_tsa1119,sld3-5001,TSA26,-0.0207,0.2365,1.0071,0.7931,0.778,0.0245,YBR088C,YGL113W,26,temperature sensitive,temperature sensitive,YBR088C_YGL113W
1438981,YBR088C_tsq1484,pol30-k127r,YGL113W_tsa1119,sld3-5001,TSA26,-0.0393,0.05054,1.0469,0.7931,0.791,0.0187,YBR088C,YGL113W,26,temperature sensitive,temperature sensitive,YBR088C_YGL113W
1433213,YBR088C_tsq1472,pol30-k107r,YGL113W_tsa1119,sld3-5001,TSA26,-0.0024,0.4439,0.9999,0.7931,0.7906,0.0344,YBR088C,YGL113W,26,temperature sensitive,temperature sensitive,YBR088C_YGL113W
1433934,YBR088C_tsq1474,pol30-k164r,YGL113W_tsa1119,sld3-5001,TSA26,-0.0403,0.2203,0.9836,0.7931,0.7398,0.0498,YBR088C,YGL113W,26,temperature sensitive,temperature sensitive,YBR088C_YGL113W
1434655,YBR088C_tsq1476,pol30-k168r,YGL113W_tsa1119,sld3-5001,TSA26,-0.0305,0.2035,0.99,0.7931,0.7547,0.0322,YBR088C,YGL113W,26,temperature sensitive,temperature sensitive,YBR088C_YGL113W
1436097,YBR088C_tsq1479,pol30-k217r,YGL113W_tsa1119,sld3-5001,TSA26,0.0074,0.4801,1.0152,0.7931,0.8126,0.0823,YBR088C,YGL113W,26,temperature sensitive,temperature sensitive,YBR088C_YGL113W
