genes,n_triples,worst_triple,mean_triple,median_triple,n_above_zero,gene_names
"(98, 311, 348, 365, 391)",10,0.010833740234375,0.02695770263671875,0.029388427734375,10,"YDR423C, YHR204W, YJR082C, YKR028W, YLR258W"
"(12, 136, 199, 399, 488)",10,-0.0285186767578125,0.08171157836914063,0.0293426513671875,7,"YBR001C, YER059W, YGL096W, YLR386W, YPL181W"
"(14, 136, 246, 360, 492)",10,0.0089874267578125,0.04120025634765625,0.029327392578125,10,"YBR028C, YER059W, YGR121C, YKL166C, YPL256C"
"(136, 246, 275, 365, 488)",10,-0.026092529296875,0.10604019165039062,0.0290985107421875,9,"YER059W, YGR121C, YGR279C, YKR028W, YPL181W"
"(14, 136, 193, 360, 492)",10,0.0089874267578125,0.0396270751953125,0.0289764404296875,10,"YBR028C, YER059W, YGL060W, YKL166C, YPL256C"
"(136, 193, 365, 479, 488)",10,0.0010471343994140625,0.08596019744873047,0.02874755859375,10,"YER059W, YGL060W, YKR028W, YOR371C, YPL181W"
"(98, 174, 311, 365, 391)",10,0.0032596588134765625,0.023594093322753907,0.02850341796875,10,"YDR423C, YFR015C, YHR204W, YKR028W, YLR258W"
"(136, 199, 246, 360, 492)",10,0.010223388671875,0.03016815185546875,0.0284271240234375,10,"YER059W, YGL096W, YGR121C, YKL166C, YPL256C"
"(38, 136, 199, 360, 492)",10,-0.0037479400634765625,0.03114452362060547,0.0284271240234375,9,"YCR033W, YER059W, YGL096W, YKL166C, YPL256C"
"(14, 136, 199, 360, 492)",10,0.0089874267578125,0.03145751953125,0.0284271240234375,10,"YBR028C, YER059W, YGL096W, YKL166C, YPL256C"
"(136, 199, 246, 275, 492)",10,-0.0022487640380859375,0.034855079650878903,0.02825927734375,9,"YER059W, YGL096W, YGR121C, YGR279C, YPL256C"
"(136, 193, 246, 479, 492)",10,0.0033283233642578125,0.08627338409423828,0.0282135009765625,10,"YER059W, YGL060W, YGR121C, YOR371C, YPL256C"
"(136, 193, 348, 365, 502)",10,-0.01509857177734375,0.03485164642333984,0.02802276611328125,8,"YER059W, YGL060W, YJR082C, YKR028W, YPL177C"
"(136, 193, 246, 488, 515)",10,-0.0022525787353515625,0.205804443359375,0.02789306640625,9,"YER059W, YGL060W, YGR121C, YPL181W, YPR140W"
"(136, 193, 246, 292, 515)",10,-0.0029354095458984375,0.2029787063598633,0.02789306640625,9,"YER059W, YGL060W, YGR121C, YHR003C, YPR140W"
"(136, 193, 246, 492, 515)",10,0.0047607421875,0.08335952758789063,0.02789306640625,10,"YER059W, YGL060W, YGR121C, YPL256C, YPR140W"
"(14, 38, 136, 199, 357)",10,-0.00650787353515625,0.030310821533203126,0.02783203125,9,"YBR028C, YCR033W, YER059W, YGL096W, YKL127W"
"(38, 136, 199, 360, 399)",10,-0.032562255859375,0.029736328125,0.0278167724609375,8,"YCR033W, YER059W, YGL096W, YKL166C, YLR386W"
"(14, 136, 199, 360, 399)",10,-0.016143798828125,0.026348876953125,0.0278167724609375,8,"YBR028C, YER059W, YGL096W, YKL166C, YLR386W"
"(14, 38, 199, 360, 399)",10,-0.034912109375,0.0281646728515625,0.0277099609375,7,"YBR028C, YCR033W, YGL096W, YKL166C, YLR386W"
"(37, 211, 343, 362, 492)",10,-0.011688232421875,0.02789783477783203,0.0275726318359375,8,"YCR026C, YGL197W, YJL187C, YKL185W, YPL256C"
"(98, 311, 348, 362, 386)",10,0.014495849609375,0.0250946044921875,0.027496337890625,10,"YDR423C, YHR204W, YJR082C, YKL185W, YLR174W"
"(38, 136, 199, 246, 486)",10,-0.0181884765625,0.05792865753173828,0.02744293212890625,8,"YCR033W, YER059W, YGL096W, YGR121C, YPL089C"
"(136, 199, 246, 275, 486)",10,-0.0022487640380859375,0.06964530944824218,0.02744293212890625,9,"YER059W, YGL096W, YGR121C, YGR279C, YPL089C"
"(98, 135, 348, 365, 498)",10,-0.0189361572265625,0.02028045654296875,0.0273284912109375,8,"YDR423C, YER056C, YJR082C, YKR028W, YPR008W"
"(14, 136, 199, 399, 492)",10,-0.1444091796875,0.001373291015625,0.0272979736328125,6,"YBR028C, YER059W, YGL096W, YLR386W, YPL256C"
"(136, 193, 275, 292, 492)",10,0.00547027587890625,0.08953018188476562,0.0272064208984375,10,"YER059W, YGL060W, YGR279C, YHR003C, YPL256C"
"(98, 135, 311, 348, 362)",10,0.008514404296875,0.023223876953125,0.0270233154296875,10,"YDR423C, YER056C, YHR204W, YJR082C, YKL185W"
"(98, 311, 348, 365, 498)",10,0.008392333984375,0.0258819580078125,0.0269927978515625,10,"YDR423C, YHR204W, YJR082C, YKR028W, YPR008W"
"(98, 348, 365, 391, 498)",10,0.00463104248046875,0.025774383544921876,0.02691650390625,10,"YDR423C, YJR082C, YKR028W, YLR258W, YPR008W"
"(136, 193, 246, 360, 492)",10,0.0140380859375,0.0861572265625,0.02685546875,10,"YER059W, YGL060W, YGR121C, YKL166C, YPL256C"
"(50, 98, 135, 365, 498)",10,-0.0189361572265625,0.021265411376953126,0.02685546875,9,"YCR098C, YDR423C, YER056C, YKR028W, YPR008W"
"(14, 136, 193, 246, 515)",10,0.0008106231689453125,0.10167102813720703,0.0267791748046875,10,"YBR028C, YER059W, YGL060W, YGR121C, YPR140W"
"(136, 246, 275, 292, 492)",10,0.00547027587890625,0.09856338500976562,0.026763916015625,10,"YER059W, YGR121C, YGR279C, YHR003C, YPL256C"
"(14, 136, 246, 408, 492)",10,0.00020015239715576172,0.0368829607963562,0.026763916015625,10,"YBR028C, YER059W, YGR121C, YML100W, YPL256C"
"(14, 38, 136, 199, 408)",10,-0.0029010772705078125,0.029869651794433592,0.02669525146484375,9,"YBR028C, YCR033W, YER059W, YGL096W, YML100W"
"(12, 136, 365, 408, 498)",10,-0.0018138885498046875,0.022650909423828126,0.026641845703125,9,"YBR001C, YER059W, YKR028W, YML100W, YPR008W"
"(38, 83, 199, 362, 399)",10,-0.054931640625,0.021790313720703124,0.0264892578125,7,"YCR033W, YDR122W, YGL096W, YKL185W, YLR386W"
"(38, 136, 199, 486, 492)",10,-0.016845703125,0.027614593505859375,0.02642822265625,9,"YCR033W, YER059W, YGL096W, YPL089C, YPL256C"
"(38, 199, 360, 399, 486)",10,-0.0272064208984375,0.029773139953613283,0.02634429931640625,7,"YCR033W, YGL096W, YKL166C, YLR386W, YPL089C"
