rank,gene1,gene2,gene3,inferred_gene_interaction,constructible,gene1_in_sameith,gene2_in_sameith,gene3_in_sameith,pair_12_in_sameith,pair_13_in_sameith,pair_23_in_sameith,gene1_gene2_count,gene1_gene3_count,gene2_gene3_count
128,YDR213W,YJR153W,YGL240W,0.017959595,True,True,False,False,False,False,False,8,8,7
129,YPL046C,YJR149W,YDR363W-A,0.01751709,True,False,False,False,False,False,False,9,6,5
130,YPL046C,YIL124W,YOL016C,0.017471313,True,False,False,False,False,False,False,10,10,10
131,YJR149W,YAR035W,YMR182C,0.01586914,True,False,False,True,False,False,False,7,6,7
132,YOL016C,YDR213W,YDL036C,0.015548706,True,False,True,False,False,False,False,9,8,7
133,YPL046C,YIL124W,YDR213W,0.012573242,True,False,False,True,False,False,False,10,9,9
134,YPL046C,YDR213W,YJR149W,0.012298584,True,False,True,False,False,False,False,9,9,8
135,YPL046C,YGR288W,YIL124W,0.012069702,True,False,True,False,False,False,False,10,10,10
136,YJR149W,YAR035W,YGL240W,0.009613037,True,False,False,False,False,False,False,7,7,7
137,YGR288W,YDR213W,YDL036C,0.009307861,True,True,True,False,True,False,False,9,8,7
138,YIL124W,YOL016C,YDR213W,0.009307861,True,False,False,True,False,False,False,10,9,9
139,YGR288W,YOL016C,YDL036C,0.008605957,True,True,False,False,False,False,False,10,8,8
140,YGR288W,YIL124W,YDR213W,0.0061798096,True,True,False,True,False,True,False,10,9,9
141,YGR288W,YIL124W,YOL016C,0.0058135986,True,True,False,False,False,False,False,10,10,10
142,YGR288W,YGL240W,YDL036C,0.00554657,True,True,False,False,False,False,False,8,8,7
143,YDR213W,YJR149W,YGL240W,0.0047836304,True,True,False,False,False,False,False,8,8,7
144,YPL046C,YGR288W,YDL036C,-0.0008459091,True,False,True,False,False,False,False,10,8,8
145,YGR288W,YDR213W,YGL240W,-0.0010137558,True,True,True,False,True,False,False,9,8,8
146,YGR288W,YOL016C,YDR213W,-0.0014181137,True,True,False,True,False,True,False,10,9,9
147,YPL046C,YGR288W,YOL016C,-0.0020122528,True,False,True,False,False,False,False,10,10,10
148,YGR288W,YOL016C,YGL240W,-0.0029735565,True,True,False,False,False,False,False,10,8,8
149,YDR213W,YJR149W,YAR035W,-0.0035648346,True,True,False,False,False,False,False,8,8,7
150,YPL046C,YGR288W,YDR213W,-0.0046539307,True,False,True,True,False,False,True,10,9,9
151,YPL046C,YGR288W,YGL240W,-0.03466797,True,False,True,False,False,False,False,10,8,8
