query_gene,query_systematic,graph,gene_set,n_graph_nodes,set_size_in_graph,degree,neighbors_in_set,expected_in_set,fold_enrichment,hypergeom_p,shortest_path_to_set,set_neighbors,frac_genes_with_any_set_neighbor
VPS1,YKR001C,string12_0_database,mva_ggpp_plus_squalene_branch,4027,12,0,0,0.0,,1.0,,,0.09038986838837844
VPS1,YKR001C,string12_0_database,go_GO_0008299_isoprenoid_biosynthetic_process,4027,17,0,0,0.0,,1.0,,,0.07921529674695803
PCT1,YGR202C,string12_0_database,mva_ggpp_backbone,4027,10,47,0,0.11671219269927986,0.0,1.0,2.0,,0.0685373727340452
PCT1,YGR202C,string12_0_database,mva_ggpp_plus_squalene_branch,4027,12,47,0,0.14005463123913584,0.0,1.0,2.0,,0.09038986838837844
PCT1,YGR202C,string12_0_database,go_GO_0008299_isoprenoid_biosynthetic_process,4027,17,47,0,0.19841072758877576,0.0,1.0,2.0,,0.07921529674695803
HXK2,YGL253W,string12_0_database,mva_ggpp_backbone,4027,10,49,0,0.1216786689843556,0.0,1.0,2.0,,0.0685373727340452
HXK2,YGL253W,string12_0_database,mva_ggpp_plus_squalene_branch,4027,12,49,0,0.1460144027812267,0.0,1.0,2.0,,0.09038986838837844
HXK2,YGL253W,string12_0_database,go_GO_0008299_isoprenoid_biosynthetic_process,4027,17,49,0,0.20685373727340453,0.0,1.0,2.0,,0.07921529674695803
GEA1,YJR031C,union_of_9,mva_ggpp_backbone,6997,10,227,0,0.32442475346577104,0.0,1.0,2.0,,0.30398742318136346
GEA1,YJR031C,union_of_9,mva_ggpp_plus_squalene_branch,6997,12,227,0,0.38930970415892524,0.0,1.0,2.0,,0.3315706731456338
GEA1,YJR031C,union_of_9,go_GO_0008299_isoprenoid_biosynthetic_process,6997,18,227,1,0.5839645562383878,1.712432697014195,0.44809625055060065,1.0,YDL193W,0.3758753751607832
VPS1,YKR001C,union_of_9,mva_ggpp_backbone,6997,10,844,0,1.2062312419608403,0.0,1.0,2.0,,0.30398742318136346
VPS1,YKR001C,union_of_9,mva_ggpp_plus_squalene_branch,6997,12,844,0,1.4474774903530083,0.0,1.0,2.0,,0.3315706731456338
VPS1,YKR001C,union_of_9,go_GO_0008299_isoprenoid_biosynthetic_process,6997,18,844,1,2.1712162355295126,0.46057135334386523,0.9014070660598396,1.0,YNR041C,0.3758753751607832
PCT1,YGR202C,union_of_9,mva_ggpp_backbone,6997,10,416,2,0.5945405173645848,3.363942307692308,0.11568588821909742,1.0,YML126C;YPL069C,0.30398742318136346
PCT1,YGR202C,union_of_9,mva_ggpp_plus_squalene_branch,6997,12,416,2,0.7134486208375018,2.8032852564102564,0.15711455606526928,1.0,YML126C;YPL069C,0.3315706731456338
PCT1,YGR202C,union_of_9,go_GO_0008299_isoprenoid_biosynthetic_process,6997,18,416,3,1.0701729312562527,2.8032852564102564,0.08765433608360032,1.0,YDL193W;YML126C;YPL069C,0.3758753751607832
HXK2,YGL253W,union_of_9,mva_ggpp_backbone,6997,10,711,7,1.01614977847649,6.888748241912799,9.915297092794092e-06,1.0,YJL167W;YLR450W;YML075C;YML126C;YMR208W;YNR043W;YPL028W,0.30398742318136346
HXK2,YGL253W,union_of_9,mva_ggpp_plus_squalene_branch,6997,12,711,8,1.2193797341717878,6.560712611345523,3.736093785970573e-06,1.0,YHR190W;YJL167W;YLR450W;YML075C;YML126C;YMR208W;YNR043W;YPL028W,0.3315706731456338
HXK2,YGL253W,union_of_9,go_GO_0008299_isoprenoid_biosynthetic_process,6997,18,711,8,1.829069601257682,4.373808407563682,0.00018911937309369512,1.0,YBR003W;YHR190W;YJL167W;YLR450W;YML075C;YML126C;YMR208W;YNR043W,0.3758753751607832
