rank,direction,triple,gene1,gene2,gene3,M01_lzs9pcj3,M02_yv4r30bi,M03_c7671wgj,ensemble_mean,ensemble_sd,ensemble_min,ensemble_max,sign_agree,min_train_records,no_trigenic_labels
67,negative,YDL213C + YHL029C + YMR238W,YDL213C,YHL029C,YMR238W,-0.1241455078125,-0.1468505859375,-0.3798828125,-0.21695963541666666,0.11557638561102056,-0.3798828125,-0.1241455078125,True,292,False
68,negative,YDL095W + YKL101W + YPL256C,YDL095W,YKL101W,YPL256C,-0.306884765625,-0.210205078125,-0.1331787109375,-0.21675618489583334,0.07106633571866185,-0.306884765625,-0.1331787109375,True,315,False
69,negative,YFR007W + YHL029C + YOR113W,YFR007W,YHL029C,YOR113W,-0.26416015625,-0.1837158203125,-0.20166015625,-0.21651204427083334,0.034479527543590925,-0.26416015625,-0.1837158203125,True,11,False
70,negative,YDL056W + YHL029C + YLR014C,YDL056W,YHL029C,YLR014C,-0.12152099609375,-0.251220703125,-0.273681640625,-0.21547444661458334,0.06706495148696143,-0.273681640625,-0.12152099609375,True,10,False
71,negative,YKL101W + YKR067W + YPL256C,YKL101W,YKR067W,YPL256C,-0.2451171875,-0.2890625,-0.11224365234375,-0.21547444661458334,0.07516756963398954,-0.2890625,-0.11224365234375,True,7,False
72,negative,YHL029C + YLR014C + YMR080C,YHL029C,YLR014C,YMR080C,-0.2333984375,-0.1424560546875,-0.266357421875,-0.21407063802083334,0.052396310762387856,-0.266357421875,-0.1424560546875,True,314,False
73,negative,YGR052W + YKL101W + YPL256C,YGR052W,YKL101W,YPL256C,-0.366455078125,-0.151123046875,-0.12359619140625,-0.21372477213541666,0.10857974555982093,-0.366455078125,-0.12359619140625,True,10,False
74,negative,YGR282C + YKL101W + YPL256C,YGR282C,YKL101W,YPL256C,-0.1732177734375,-0.31396484375,-0.152587890625,-0.2132568359375,0.07170762462661039,-0.31396484375,-0.152587890625,True,10,False
75,negative,YDL213C + YKL101W + YOL090W,YDL213C,YKL101W,YOL090W,-0.12371826171875,-0.2318115234375,-0.283935546875,-0.21315511067708334,0.06672551195519877,-0.283935546875,-0.12371826171875,True,490,False
76,negative,YDL170W + YHL029C + YLR021W,YDL170W,YHL029C,YLR021W,-0.1365966796875,-0.317626953125,-0.1849365234375,-0.21305338541666666,0.07653281832382165,-0.317626953125,-0.1365966796875,True,506,False
77,negative,YGL096W + YKL101W + YPL256C,YGL096W,YKL101W,YPL256C,-0.1431884765625,-0.28271484375,-0.210693359375,-0.21219889322916666,0.05697134811625226,-0.28271484375,-0.1431884765625,True,797,False
78,negative,YCR033W + YKL101W + YPL256C,YCR033W,YKL101W,YPL256C,-0.111083984375,-0.30029296875,-0.2236328125,-0.211669921875,0.07770604011758689,-0.30029296875,-0.111083984375,True,294,False
79,negative,YKL101W + YLR386W + YOL090W,YKL101W,YLR386W,YOL090W,-0.152099609375,-0.30517578125,-0.177001953125,-0.21142578125,0.06706627844185577,-0.30517578125,-0.152099609375,True,301,False
80,negative,YGL156W + YKL101W + YPL256C,YGL156W,YKL101W,YPL256C,-0.146240234375,-0.30224609375,-0.1790771484375,-0.20918782552083334,0.06715378716372171,-0.30224609375,-0.146240234375,True,328,False
81,negative,YKL101W + YOR171C + YPL256C,YKL101W,YOR171C,YPL256C,-0.25341796875,-0.1690673828125,-0.2042236328125,-0.20890299479166666,0.03459458202665986,-0.25341796875,-0.1690673828125,True,289,False
82,negative,YDL213C + YHL029C + YPL046C,YDL213C,YHL029C,YPL046C,-0.1875,-0.220947265625,-0.217529296875,-0.20865885416666666,0.015026497924859153,-0.220947265625,-0.1875,True,490,False
83,negative,YDR363W-A + YHL029C + YPR145W,YDR363W-A,YHL029C,YPR145W,-0.29345703125,-0.1783447265625,-0.1541748046875,-0.20865885416666666,0.060767833642222095,-0.29345703125,-0.1541748046875,True,11,False
