gene1,gene2,gene3,triple,systematic,corrected_M01_lzs9pcj3,asrun_M01_lzs9pcj3,corrected_M02_yv4r30bi,asrun_M02_yv4r30bi,corrected_M03_c7671wgj,asrun_M03_c7671wgj,corrected_mean,corrected_sd,asrun_mean,stored_prediction,corrected_rank,asrun_rank,panel
YKL200C,YKR054C,YLL012W,YKL200C+YKR054C+YLL012W,YKL201C+YKR054C+YLL012W,0.007247197167089613,,0.0027423848057348734,,-0.007443162673041362,,0.0008488064332610416,0.00752601470551704,,,296,,panel_24
YBR158W,YLL005C,YMR244W,YBR158W+YLL005C+YMR244W,YBR158W+YLL005C+YMR244W,0.010602199807507904,0.2687755131900973,0.0005046555266718881,0.014906347088803503,-0.008654375180711243,0.06984080862791085,0.0008174933844895162,0.009632098458445582,0.1178408896356039,,297,749.0,panel_24
YBR158W,YBR246W,YLL012W,YBR158W+YBR246W+YLL012W,YBR158W+YBR246W+YLL012W,0.014064197051268042,0.13133960750570967,-0.0025371245556311452,0.009503933170434773,-0.009193144923045243,0.13491726842515064,0.0007779758575305514,0.011977829811345094,0.0919202697004317,,298,820.0,panel_24
YBR246W,YMR244W,YOR126C,YBR246W+YMR244W+YOR126C,YBR246W+YMR244W+YOR126C,0.002975765358440012,0.04997399094990296,-0.00021715786959068412,0.0040799163310438116,-0.00044034830295606574,0.32709997606249575,0.0007727530619644207,0.00191112555218213,0.12705129444781418,,299,716.0,panel_24
YBR246W,YLR351C,YOR126C,YBR246W+YLR351C+YOR126C,YBR246W+YLR351C+YOR126C,-0.006314295511538039,0.055476197241005665,0.0007470218990307167,0.0011863702212150558,0.007812970089351237,0.36196954161327266,0.0007485654922813051,0.007063632926938337,0.1395440363584978,,300,673.0,panel_24
YDR155C,YKL033W-A,YLL012W,YDR155C+YKL033W-A+YLL012W,YDR155C+YKL033W-A+YLL012W,0.002703824590972544,0.46014579413166956,-0.005396598647022709,0.17827183087547374,0.004744819850399793,0.1400609431516321,0.0006840152647832094,0.005363936480849384,0.2594928560529251,,301,371.0,panel_24
YER079W,YJL017W,YLL005C,YER079W+YJL017W+YLL005C,YER079W+YJL016W+YLL005C,-0.003208627920076876,,0.0022664361427978588,,0.0029550985388567316,,0.0006709689205259047,0.0033774276762275303,,0.55419921875,302,,panel_24
YBR246W,YJL017W,YLL005C,YBR246W+YJL017W+YLL005C,YBR246W+YJL016W+YLL005C,-0.002364290817749499,,0.003133062451995969,,0.0011312806986676013,,0.0006333507776380238,0.002782296515073059,,,303,,panel_24
YER079W,YLR104W,YLR351C,YER079W+YLR104W+YLR351C,YER079W+YLR104W+YLR351C,-0.012935081039643897,0.6395408847627259,0.0007371103476418259,0.6829230193126327,0.013297338604595036,0.6722540044286719,0.00036645597086432173,0.013120137140980325,0.6649059695013434,,304,35.0,panel_24
YBR158W,YER079W,YPR053C,YBR158W+YER079W+YPR053C,YBR158W+YER079W+YPR053C,-0.004371084673117708,0.07603976474130082,-0.00020169098509025506,0.02569847298114169,0.0055156866589241935,0.4948483584315768,0.0003143036669054101,0.004963542052172773,0.19886219871800645,,305,499.0,panel_24
YER079W,YLR104W,YMR244W,YER079W+YLR104W+YMR244W,YER079W+YLR104W+YMR244W,-0.00417487668027244,0.5473992719174214,-0.000710085037025473,0.5713430762608719,0.005777508480927677,0.5513359282100516,0.0002975155878765879,0.0050521220159153255,0.556692758796115,,306,105.0,panel_24
YDR155C,YMR244W,YOR126C,YDR155C+YMR244W+YOR126C,YDR155C+YMR244W+YOR126C,-0.0037533861663292638,0.4397102227129207,-0.00064129619311761,0.43992521872356893,0.005179194485583202,0.3614917358306632,0.0002615040420454427,0.0045342072597299825,0.4137090590890509,,307,215.0,panel_24
