triple,array_gene,array_allele,array_perturbation_type,f_triple,se_triple,tau,tau_p_value,n_paths,n_monotone,n_monotone_within_se,n_monotone_after_first,max_valley_depth,min_valley_depth,best_min_rung,endpoint_gain,positive_call
YER059W+YIL050W+YPL154C,YPL154C,pep4_delta,KanMX_deletion,1.0031,0.03175,0.088983,0.3411,6,0,2,1,0.10441999999999996,0.021199999999999997,0.9788,0.0031000000000001027,False
YER059W+YIL050W+YDR186C,YDR186C,ydr186c_delta,KanMX_deletion,1.0027,0.0141,0.077035,0.09046,6,0,1,1,0.10441999999999996,0.06169999999999998,0.9383,0.0026999999999999247,False
YER059W+YIL050W+YPL145C,YPL145C,kes1_delta,KanMX_deletion,1.0022,0.03205,0.302377,0.2166,6,0,0,3,0.1663,0.018650000000000055,0.98135,0.0021999999999999797,False
YER059W+YIL050W+YLR210W,YLR210W,clb4_delta,KanMX_deletion,1.0002,0.0795,0.072872,0.2658,6,0,2,1,0.10441999999999996,-0.023800000000000043,1.0,0.00019999999999997797,False
YER059W+YIL050W+YKR028W,YKR028W,sap190_delta,KanMX_deletion,0.9985,0.03805,0.206218,0.1489,6,0,0,3,0.10441999999999996,0.02959999999999996,0.9704,-0.0014999999999999458,False
YER059W+YIL050W+YLR014C,YLR014C,ppr1_delta,KanMX_deletion,0.9978,0.0388,0.080769,0.1026,6,0,2,2,0.10441999999999996,0.01200000000000001,0.988,-0.0021999999999999797,False
YER059W+YIL050W+YNR009W,YNR009W,nrm1_delta,KanMX_deletion,0.9971,0.01905,4.2e-05,0.1258,6,0,0,1,0.10441999999999996,-0.0047999999999999154,0.9971,-0.0029000000000000137,False
YER059W+YIL050W+YMR129W,YMR129W,pom152_delta,KanMX_deletion,0.9964,0.03415,0.070348,0.2429,6,0,2,1,0.10441999999999996,-0.014499999999999957,0.9964,-0.0036000000000000476,False
YER059W+YIL050W+YJL172W,YJL172W,cps1_delta,KanMX_deletion,0.996,0.02905,-0.010277,0.1639,6,0,0,1,0.10441999999999996,-0.016999999999999904,0.996,-0.0040000000000000036,False
YER059W+YIL050W+YGR276C,YGR276C,rnh70_delta,KanMX_deletion,0.9959,0.03225,0.072455,0.2137,6,0,1,2,0.10441999999999996,-0.014999999999999902,0.9959,-0.0040999999999999925,False
YER059W+YIL050W+YLR367W,YLR367W,rps22b_delta,KanMX_deletion,0.9951,0.0237,0.026411,0.2412,6,0,0,1,0.10441999999999996,0.03080000000000005,0.9692,-0.0049000000000000155,False
YER059W+YIL050W+YLR102C,YLR102C,apc9_delta,KanMX_deletion,0.995,0.0784,0.033348,0.2525,6,0,2,1,0.10441999999999996,-0.0041999999999999815,0.995,-0.0050000000000000044,False
YER059W+YIL050W+YBR188C,YBR188C,ntc20_delta,KanMX_deletion,0.9946,0.04475,-0.102209,0.4942,6,0,0,1,0.10441999999999996,-0.02519999999999989,0.9946,-0.00539999999999996,False
YER059W+YIL050W+YGL086W,YGL086W,mad1_delta,KanMX_deletion,0.9938,0.039,-0.01116,0.462,6,0,0,1,0.10441999999999996,0.019499999999999962,0.9805,-0.006199999999999983,False
YER059W+YIL050W+YGR096W,YGR096W,tpc1_delta,KanMX_deletion,0.9911,0.0159,0.065878,0.1604,6,0,1,1,0.10441999999999996,-0.019500000000000073,0.9911,-0.008900000000000019,False
YER059W+YIL050W+YNR032C-A,YNR032C-A,hub1_delta,KanMX_deletion,0.9904,0.0646,0.047222,0.3873,6,0,1,1,0.10441999999999996,-0.01849999999999996,0.9904,-0.009600000000000053,False
YER059W+YIL050W+YBR009C,YBR009C,hhf1_delta,KanMX_deletion,0.9901,0.0169,0.01444,0.02217,6,0,1,1,0.10441999999999996,0.04469999999999996,0.9553,-0.00990000000000002,False
YER059W+YIL050W+YCR017C,YCR017C,cwh43_delta,KanMX_deletion,0.9897,0.0289,-0.012554,0.3554,6,0,0,1,0.10441999999999996,-0.04150000000000009,0.9897,-0.010299999999999976,False
YER059W+YIL050W+YBR086C,YBR086C,ist2_delta,KanMX_deletion,0.9887,0.01605,0.070697,0.1138,6,0,2,1,0.10441999999999996,0.016000000000000014,0.984,-0.011299999999999977,False
YER059W+YIL050W+YPR120C,YPR120C,clb5_delta,KanMX_deletion,0.9878,0.01985,0.287262,0.1878,6,0,0,1,0.3062,0.04379999999999995,0.9562,-0.012199999999999989,False
YER059W+YIL050W+YJL139C,YJL139C,yur1_delta,KanMX_deletion,0.9877,0.01865,0.035287,0.0436,6,0,0,1,0.10441999999999996,0.07784999999999997,0.92215,-0.012299999999999978,False
YER059W+YIL050W+YGR287C,YGR287C,ima1_delta,KanMX_deletion,0.9871,0.02495,0.03854,0.4066,6,0,1,1,0.10441999999999996,-0.018799999999999928,0.9871,-0.012900000000000023,False
YER059W+YIL050W+YDL099W,YDL099W,bug1_delta,KanMX_deletion,0.986,0.0325,0.109797,0.2692,6,0,2,1,0.10441999999999996,-0.017900000000000027,0.986,-0.014000000000000012,False
YER059W+YIL050W+YBR240C,YBR240C,thi2_delta,KanMX_deletion,0.9846,0.0331,-0.003511,0.174,6,0,0,1,0.10441999999999996,-0.01079999999999992,0.9846,-0.01539999999999997,False
YER059W+YIL050W+YKL127W,YKL127W,pgm1_delta,KanMX_deletion,0.9845,0.0188,0.050614,0.2537,6,0,0,1,0.10441999999999996,0.024800000000000044,0.9752,-0.015499999999999958,False
YER059W+YIL050W+YDR479C,YDR479C,pex29_delta,KanMX_deletion,0.9839,0.0332,0.056285,0.3129,6,0,1,1,0.10441999999999996,-0.021700000000000053,0.9839,-0.016100000000000003,False
YER059W+YIL050W+YGL077C,YGL077C,hnm1_delta,KanMX_deletion,0.9835,0.0724,0.060976,0.4914,6,0,1,1,0.10441999999999996,-0.013500000000000068,0.9835,-0.01649999999999996,False
YER059W+YIL050W+YOR368W,YOR368W,rad17_delta,KanMX_deletion,0.9823,0.0654,-0.066307,0.4637,6,0,0,1,0.10441999999999996,0.006800000000000028,0.9823,-0.01770000000000005,False
YER059W+YIL050W+YOL020W,YOL020W,tat2_delta,KanMX_deletion,0.9822,0.016,0.137177,0.0287,6,0,1,2,0.10441999999999996,0.008499999999999952,0.9822,-0.017800000000000038,True
YER059W+YIL050W+YLL048C,YLL048C,ybt1_delta,KanMX_deletion,0.9815,0.03085,-0.03755,0.3031,6,0,1,1,0.10441999999999996,0.014800000000000035,0.9815,-0.01849999999999996,False
