gene,appearances_in_top_10000,trigenic_train_records
YDL048C,60,296
YHR204W,57,288
YEL018W,56,0
YFL030W,55,11
YGL197W,53,1082
YER081W,53,0
YMR008C,52,11
YIL009C-A,52,10
YGL222C,52,11
YDL052C,51,0
YBL047C,50,291
YLR180W,50,9
YAL040C,49,319
YPR119W,48,295
YFL054C,48,11
YBR229C,48,760
YNR057C,47,10
YGL196W,46,11
YNR031C,46,10
YPL038W,46,10
YPR015C,45,11
YPR125W,45,11
YGR007W,45,499
YKL185W,45,279
YGL256W,44,11
YOL089C,43,11
YMR300C,43,10
YGR124W,43,10
YHL003C,42,0
YFR014C,41,11
YEL013W,41,0
YGL006W,40,10
YGR055W,40,284
YGL156W,39,328
YGL035C,38,10
YGL240W,38,0
YDR335W,38,289
YPR052C,38,11
YGR072W,37,299
YNL106C,37,0
YKR023W,37,7
YBR093C,37,0
YNL229C,36,0
YGR012W,36,10
YBR281C,36,10
YHR108W,36,1303
YGR106C,35,10
YHR003C,35,1356
YPL140C,35,10
YBR249C,34,10
YEL031W,34,0
YER060W-A,33,0
YGR015C,33,293
YMR022W,32,10
YGL121C,32,297
YGL060W,32,1321
YER040W,32,0
YGR227W,32,10
YER183C,32,11
YIL107C,31,10
YAR035W,31,11
YGL125W,31,10
YJL155C,30,286
YFL011W,30,102
YDL106C,29,293
YLR228C,29,9
YDL025C,29,10
YNL154C,29,295
YCR034W,28,322
YGR287C,27,305
YIR026C,27,0
YPL026C,27,11
YGR061C,27,10
YER184C,27,313
YCL029C,27,10
YDR451C,27,9
YIL145C,26,10
YGR096W,26,271
YBR297W,26,10
YGL248W,26,11
YHR031C,26,284
YDL093W,26,10
YER170W,26,301
YNR033W,25,10
YDR466W,25,290
YKL160W,25,313
YPL274W,25,1123
YGR121C,25,1413
YOR377W,24,10
YGL009C,24,10
YDR523C,24,0
YLR345W,24,9
YCL009C,23,10
YDL185W,23,0
YLL028W,23,11
YMR136W,23,10
YIL023C,22,10
YGR177C,22,10
YKL168C,22,1400
YJL128C,21,283
YGR144W,21,301
YGL059W,21,302
YLR213C,21,9
YLR438W,21,9
YBR001C,20,1036
YGL027C,20,310
YER174C,20,11
YCR075C,20,10
YGR154C,20,10
YFR015C,20,1445
YCR037C,20,10
YCR083W,19,328
YGL028C,19,10
YPR184W,19,11
YGR244C,19,10
YIL130W,19,10
YDL085W,19,10
YDR305C,18,9
YCR026C,18,1124
YJR153W,18,316
YGR178C,18,287
YNL236W,17,0
YNR019W,17,3972
YGL251C,17,11
YOL086C,16,276
YIL124W,16,304
YJR059W,16,304
YGR193C,16,10
YER175C,16,11
YFL021W,15,277
YGL205W,15,11
YOR344C,15,298
YOL016C,15,9
YLR451W,15,9
YLL043W,14,323
YIR017C,14,11
YGL133W,14,10
YOR245C,14,291
YDR026C,14,10
YDR206W,14,9
YAR018C,14,11
YMR105C,13,10
YHR123W,13,10
YEL071W,13,0
YGR134W,13,278
YFR013W,13,1401
YFR044C,13,11
YBL088C,13,300
YBR085W,12,10
YPR121W,12,11
YJR127C,12,1114
YFL052W,12,11
YGL021W,12,1027
YGR247W,12,10
YDR043C,12,1285
YKL216W,12,0
YNR032W,12,303
YGR032W,11,10
YIL043C,11,297
YDL066W,11,10
YGR282C,11,10
YFR055W,11,11
YJL212C,11,10
YHR207C,10,10
YFL031W,10,314
