gene,resolves_to,status,in_gene_set,trigenic_train_records,distinct_screens,passes,reasons
YGL248W,YGL248W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YGL251C,YGL251C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YGL254W,YGL254W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YGL256W,YGL256W,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YGR007W,YGR007W,current,True,499,11,False,measured under only 11 distinct screens
YGR010W,YGR010W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR012W,YGR012W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR015C,YGR015C,current,True,293,293,True,
YGR019W,YGR019W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR032W,YGR032W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR038W,YGR038W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR040W,YGR040W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR043C,YGR043C,current,True,281,281,True,
YGR044C,YGR044C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR052W,YGR052W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR055W,YGR055W,current,True,284,284,True,
YGR061C,YGR061C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR067C,YGR067C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR071C,YGR071C,current,True,3622,11,False,measured under only 11 distinct screens
YGR072W,YGR072W,current,True,299,299,True,
YGR087C,YGR087C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR088W,YGR088W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR096W,YGR096W,current,True,271,271,True,
YGR106C,YGR106C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR108W,YGR108W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR110W,YGR110W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR121C,YGR121C,current,True,1413,315,True,
YGR123C,YGR123C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR124W,YGR124W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR134W,YGR134W,current,True,278,278,True,
YGR138C,YGR138C,current,True,1075,11,False,measured under only 11 distinct screens
YGR143W,YGR143W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR144W,YGR144W,current,True,301,301,True,
YGR154C,YGR154C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR170W,YGR170W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR177C,YGR177C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR178C,YGR178C,current,True,287,287,True,
YGR184C,YGR184C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR189C,YGR189C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR193C,YGR193C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR194C,YGR194C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR202C,YGR202C,current,True,826,306,True,
YGR205W,YGR205W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR208W,YGR208W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR209C,YGR209C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR227W,YGR227W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR234W,YGR234W,current,True,533,11,False,measured under only 11 distinct screens
YGR243W,YGR243W,current,True,1093,11,False,measured under only 11 distinct screens
YGR244C,YGR244C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR247W,YGR247W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR248W,YGR248W,current,True,1379,301,True,
YGR254W,YGR254W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR256W,YGR256W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR260W,YGR260W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR262C,YGR262C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YGR279C,YGR279C,current,True,340,340,True,
YGR282C,YGR282C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR286C,YGR286C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR287C,YGR287C,current,True,305,305,True,
YGR288W,YGR288W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR289C,YGR289C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YGR292W,YGR292W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHL002W,YHL002W,current,True,820,300,True,
YHL003C,YHL003C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YHL010C,YHL010C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHL012W,YHL012W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHL016C,YHL016C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHL029C,YHL029C,current,True,823,308,True,
YHL032C,YHL032C,current,True,286,286,True,
YHL034C,YHL034C,current,True,302,302,True,
YHL036W,YHL036W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHR001W-A,YHR001W-A,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHR003C,YHR003C,current,True,1356,297,True,
YHR006W,YHR006W,current,True,287,287,True,
YHR031C,YHR031C,current,True,284,284,True,
YHR033W,YHR033W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHR037W,YHR037W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHR044C,YHR044C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHR046C,YHR046C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHR079C,YHR079C,current,True,292,292,True,
YHR082C,YHR082C,current,True,761,273,True,
YHR092C,YHR092C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHR094C,YHR094C,current,True,1052,11,False,measured under only 11 distinct screens
YHR096C,YHR096C,current,True,1064,11,False,measured under only 11 distinct screens
YHR106W,YHR106W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHR108W,YHR108W,current,True,1303,307,True,
YHR109W,YHR109W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHR123W,YHR123W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YHR154W,YHR154W,current,True,779,281,True,
YHR162W,YHR162W,current,True,1093,11,False,measured under only 11 distinct screens
YHR167W,YHR167W,current,True,760,262,True,
YHR204W,YHR204W,current,True,288,288,True,
YHR207C,YHR207C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YIL006W,YIL006W,current,True,1111,11,False,measured under only 11 distinct screens
YIL009C-A,YIL009C-A,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YIL009W,YIL009W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YIL023C,YIL023C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YIL035C,YIL035C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YIL036W,YIL036W,current,True,1123,11,False,measured under only 11 distinct screens
YIL042C,YIL042C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YIL043C,YIL043C,current,True,297,297,True,
YIL053W,YIL053W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YIL066C,YIL066C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YIL107C,YIL107C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YIL111W,YIL111W,current,True,1104,11,False,measured under only 11 distinct screens
YIL119C,YIL119C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YIL124W,YIL124W,current,True,304,304,True,
YIL125W,YIL125W,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YIL130W,YIL130W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YIL131C,YIL131C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YIL145C,YIL145C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YIL146C,YIL146C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YIR013C,YIR013C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YIR017C,YIR017C,current,True,11,11,False,only 11 trigenic training records; measured under only 11 distinct screens
YIR026C,YIR026C,current,True,0,0,False,only 0 trigenic training records; measured under only 0 distinct screens
YJL068C,YJL068C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YJL089W,YJL089W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YJL095W,YJL095W,current,True,303,303,True,
YJL110C,YJL110C,current,True,1063,10,False,measured under only 10 distinct screens
YJL128C,YJL128C,current,True,283,283,True,
YJL137C,YJL137C,current,True,1074,10,False,measured under only 10 distinct screens
YJL155C,YJL155C,current,True,286,286,True,
YJL168C,YJL168C,current,True,307,307,True,
YJL187C,YJL187C,current,True,302,302,True,
YJL212C,YJL212C,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YJR010W,YJR010W,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YJR048W,YJR048W,current,True,1090,11,False,measured under only 11 distinct screens
YJR059W,YJR059W,current,True,304,304,True,
YJR082C,YJR082C,current,True,796,296,True,
YJR127C,YJR127C,current,True,1114,11,False,measured under only 11 distinct screens
YJR149W,YJR149W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YJR152W,YJR152W,current,True,10,10,False,only 10 trigenic training records; measured under only 10 distinct screens
YJR153W,YJR153W,current,True,316,316,True,
YKL010C,YKL010C,current,True,507,9,False,measured under only 9 distinct screens
YKL046C,YKL046C,current,True,9,9,False,only 9 trigenic training records; measured under only 9 distinct screens
YKL062W,YKL062W,current,True,1343,300,True,
YKL101W,YKL101W,current,True,797,307,True,
YKL127W,YKL127W,current,True,289,289,True,
YKL160W,YKL160W,current,True,313,313,True,
YKL161C,YKL161C,current,True,1060,12,False,measured under only 12 distinct screens
YKL166C,YKL166C,current,True,1085,12,False,measured under only 12 distinct screens
YKL168C,YKL168C,current,True,1400,309,True,
YKL185W,YKL185W,current,True,279,279,True,
