ffa_type,metabolite_id,metabolite_name,formula,compartment
C16:0,s_3058,"triglyceride (1-18:1, 2-18:1, 3-16:0)",C55H102O6,lp
C16:0,s_3059,"triglyceride (1-16:0, 2-16:1, 3-16:1)",C51H94O6,lp
C16:0,s_3060,"triglyceride (1-16:0, 2-18:1, 3-16:1)",C53H98O6,lp
C16:0,s_3067,"triglyceride (1-16:0, 2-16:1, 3-18:0)",C53H100O6,lp
C16:0,s_3068,"triglyceride (1-16:0, 2-18:1, 3-18:0)",C55H104O6,lp
C16:0,s_3075,"triglyceride (1-16:0, 2-16:1, 3-18:1)",C53H98O6,lp
C16:0,s_3076,"triglyceride (1-16:0, 2-18:1, 3-18:1)",C55H102O6,lp
C16:0,s_3084,"CDP-diacylglycerol (1-16:0, 2-16:1)",C44H79N3O15P2,erm
C16:0,s_3088,"CDP-diacylglycerol (1-16:0, 2-18:1)",C46H83N3O15P2,erm
C16:0,s_3092,"phosphatidate (1-16:0, 2-16:1)",C35H67O8P,mm
C16:0,s_3096,"CDP-diacylglycerol (1-16:0, 2-16:1)",C44H79N3O15P2,mm
C16:0,s_3103,"phosphatidate (1-16:0, 2-18:1)",C37H71O8P,mm
C16:0,s_3104,"CDP-diacylglycerol (1-16:0, 2-18:1)",C46H83N3O15P2,mm
C16:0,s_3109,"phosphatidyl-L-serine (1-16:0, 2-16:1)",C38H72NO10P,erm
C16:0,s_3113,"phosphatidyl-L-serine (1-16:0, 2-18:1)",C40H76NO10P,erm
C16:0,s_3118,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)",C41H77O13P,erm
C16:0,s_3122,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)",C43H81O13P,erm
C16:0,s_3128,"phosphatidyl-L-serine (1-16:0, 2-16:1)",C38H72NO10P,mm
C16:0,s_3130,"phosphatidylethanolamine (1-16:0, 2-16:1)",C37H72NO8P,mm
C16:0,s_3137,"phosphatidyl-L-serine (1-16:0, 2-18:1)",C40H76NO10P,mm
C16:0,s_3138,"phosphatidylethanolamine (1-16:0, 2-18:1)",C39H76NO8P,mm
C16:0,s_3145,"phosphatidyl-L-serine (1-16:0, 2-16:1)",C38H72NO10P,gm
C16:0,s_3148,"phosphatidylethanolamine (1-16:0, 2-16:1)",C37H72NO8P,gm
C16:0,s_3155,"phosphatidyl-L-serine (1-16:0, 2-18:1)",C40H76NO10P,gm
C16:0,s_3156,"phosphatidylethanolamine (1-16:0, 2-18:1)",C39H76NO8P,gm
C16:0,s_3163,"phosphatidyl-L-serine (1-16:0, 2-16:1)",C38H72NO10P,vm
C16:0,s_3166,"phosphatidylethanolamine (1-16:0, 2-16:1)",C37H72NO8P,vm
C16:0,s_3173,"phosphatidyl-L-serine (1-16:0, 2-18:1)",C40H76NO10P,vm
C16:0,s_3174,"phosphatidylethanolamine (1-16:0, 2-18:1)",C39H76NO8P,vm
C16:0,s_3181,"phosphatidylethanolamine (1-16:0, 2-16:1)",C37H72NO8P,erm
C16:0,s_3184,"phosphatidyl-N-methylethanolamine (1-16:0, 2-16:1)",C38H74NO8P,erm
C16:0,s_3191,"phosphatidylethanolamine (1-16:0, 2-18:1)",C39H76NO8P,erm
C16:0,s_3192,"phosphatidyl-N-methylethanolamine (1-16:0, 2-18:1)",C40H78NO8P,erm
C16:0,s_3199,"phosphatidyl-N,N-dimethylethanolamine (1-16:0, 2-16:1)",C39H76NO8P,erm
C16:0,s_3203,"phosphatidyl-N,N-dimethylethanolamine (1-16:0, 2-18:1)",C41H80NO8P,erm
C16:0,s_3207,"phosphatidylcholine (1-16:0, 2-16:1)",C40H78NO8P,erm
C16:0,s_3211,"phosphatidylcholine (1-16:0, 2-18:1)",C42H82NO8P,erm
C16:0,s_3220,"3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:0, 2-16:1)",C38H74O13P2,mm
C16:0,s_3224,"3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:0, 2-18:1)",C40H78O13P2,mm
C16:0,s_3227,"phosphatidylglycerol (1-16:0, 2-16:1)",C38H73O10P,mm
C16:0,s_3232,"phosphatidylglycerol (1-16:0, 2-18:1)",C40H77O10P,mm
C16:0,s_3234,"cardiolipin (1-16:0, 2-16:1, 3-16:0, 4-16:1)",C73H138O17P2,mm
C16:0,s_3235,"cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)",C73H136O17P2,mm
C16:0,s_3236,"cardiolipin (1-16:0, 2-16:1, 3-18:0, 4-16:1)",C75H142O17P2,mm
C16:0,s_3237,"cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-16:1)",C75H140O17P2,mm
C16:0,s_3238,"cardiolipin (1-16:0, 2-16:1, 3-16:0, 4-18:1)",C75H142O17P2,mm
C16:0,s_3239,"cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-18:1)",C75H140O17P2,mm
C16:0,s_3240,"cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-16:1)",C73H136O17P2,mm
C16:0,s_3244,"cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-18:1)",C75H140O17P2,mm
C16:0,s_3246,"cardiolipin (1-18:0, 2-16:1, 3-16:0, 4-16:1)",C75H142O17P2,mm
C16:0,s_3250,"cardiolipin (1-18:0, 2-16:1, 3-16:0, 4-18:1)",C77H146O17P2,mm
C16:0,s_3252,"cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-16:1)",C75H140O17P2,mm
C16:0,s_3256,"cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-18:1)",C77H144O17P2,mm
C16:0,s_3258,"cardiolipin (1-16:0, 2-18:1, 3-16:0, 4-16:1)",C75H142O17P2,mm
C16:0,s_3259,"cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-16:1)",C75H140O17P2,mm
C16:0,s_3260,"cardiolipin (1-16:0, 2-18:1, 3-18:0, 4-16:1)",C77H146O17P2,mm
C16:0,s_3261,"cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-16:1)",C77H144O17P2,mm
C16:0,s_3262,"cardiolipin (1-16:0, 2-18:1, 3-16:0, 4-18:1)",C77H146O17P2,mm
C16:0,s_3263,"cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-18:1)",C77H144O17P2,mm
C16:0,s_3264,"cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-16:1)",C75H140O17P2,mm
C16:0,s_3268,"cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-18:1)",C77H144O17P2,mm
C16:0,s_3270,"monolysocardiolipin (2-16:1, 3-16:0, 4-16:1)",C57H108O16P2,mm
C16:0,s_3271,palmitate,C16H31O2,mm
C16:0,s_3275,"monolysocardiolipin (2-16:1, 3-16:0, 4-18:1)",C59H112O16P2,mm
C16:0,s_3278,"monolysocardiolipin (2-18:1, 3-16:0, 4-16:1)",C59H112O16P2,mm
C16:0,s_3282,"monolysocardiolipin (2-18:1, 3-16:0, 4-18:1)",C61H116O16P2,mm
C16:0,s_3284,"monolysocardiolipin (1-16:0, 2-16:1, 4-16:1)",C57H108O16P2,mm
C16:0,s_3285,"monolysocardiolipin (1-16:0, 2-16:1, 4-18:1)",C59H112O16P2,mm
C16:0,s_3292,"monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)",C59H112O16P2,mm
C16:0,s_3293,"monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)",C61H116O16P2,mm
C16:0,s_3296,"phosphatidylcholine (1-16:0, 2-16:1)",C40H78NO8P,mm
C16:0,s_3297,1-acylglycerophosphocholine (16:0),C24H50NO7P,mm
C16:0,s_3304,"phosphatidylcholine (1-16:0, 2-18:1)",C42H82NO8P,mm
C16:0,s_3308,"cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-16:1)",C77H144O17P2,mm
C16:0,s_3312,"cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-18:1)",C79H148O17P2,mm
C16:0,s_3314,"cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-18:1)",C77H144O17P2,mm
C16:0,s_3318,"cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-18:1)",C79H148O17P2,mm
C16:0,s_3323,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)",C41H77O13P,ce
C16:0,s_3325,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-16:1)",C41H78O16P2,ce
C16:0,s_3332,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)",C43H81O13P,ce
C16:0,s_3333,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-18:1)",C43H82O16P2,ce
C16:0,s_3340,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)",C41H77O13P,vm
C16:0,s_3343,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-16:1)",C41H78O16P2,vm
C16:0,s_3350,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)",C43H81O13P,vm
C16:0,s_3351,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-18:1)",C43H82O16P2,vm
C16:0,s_3358,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)",C41H77O13P,gm
C16:0,s_3361,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-16:1)",C41H78O16P2,gm
C16:0,s_3368,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)",C43H81O13P,gm
C16:0,s_3369,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-18:1)",C43H82O16P2,gm
C16:0,s_3376,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)",C41H77O13P,n
C16:0,s_3377,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-16:1)",C41H78O16P2,n
C16:0,s_3384,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)",C43H81O13P,n
C16:0,s_3385,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-18:1)",C43H82O16P2,n
C16:0,s_3392,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)",C41H78O16P2,vm
C16:0,s_3396,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)",C43H82O16P2,vm
C16:0,s_3400,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-16:1)",C41H79O19P3,n
C16:0,s_3404,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-18:1)",C43H83O19P3,n
C16:0,s_3408,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-16:1)",C41H79O19P3,ce
C16:0,s_3412,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-18:1)",C43H83O19P3,ce
C16:0,s_3416,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-16:1)",C41H79O19P3,vm
C16:0,s_3420,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-18:1)",C43H83O19P3,vm
C16:0,s_3424,1-acylglycerophosphoethanolamine (16:0),C21H44NO7P,erm
C16:0,s_3428,1-acylglycerophosphocholine (16:0),C24H50NO7P,erm
C16:0,s_3448,"phosphatidylcholine (1-16:0, 2-16:1)",C40H78NO8P,ce
C16:0,s_3450,1-acylglycerophosphocholine (16:0),C24H50NO7P,ce
C16:0,s_3458,"phosphatidylcholine (1-16:0, 2-18:1)",C42H82NO8P,ce
C16:0,s_3463,palmitate,C16H31O2,ce
C16:0,s_3465,"phosphatidylethanolamine (1-16:0, 2-16:1)",C37H72NO8P,ce
C16:0,s_3466,1-acylglycerophosphoethanolamine (16:0),C21H44NO7P,ce
C16:0,s_3473,"phosphatidylethanolamine (1-16:0, 2-18:1)",C39H76NO8P,ce
C16:0,s_3478,"phosphatidyl-L-serine (1-16:0, 2-16:1)",C38H72NO10P,ce
C16:0,s_3479,1-acylglycerophosphoserine (16:0),C22H44NO9P,ce
C16:0,s_3486,"phosphatidyl-L-serine (1-16:0, 2-18:1)",C40H76NO10P,ce
C16:0,s_3491,1-acylglycerophosphoinositol (16:0),C25H49O12P,ce
C16:0,s_3496,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-16:1)",C41H79O19P3,c
C16:0,s_3497,"diglyceride (1-16:0, 2-16:1)",C35H66O5,c
C16:0,s_3505,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-18:1)",C43H83O19P3,c
C16:0,s_3506,"diglyceride (1-16:0, 2-18:1)",C37H70O5,c
C16:0,s_3513,"diglyceride (1-16:0, 2-16:1)",C35H66O5,n
C16:0,s_3517,"diglyceride (1-16:0, 2-18:1)",C37H70O5,n
C16:0,s_3521,"diglyceride (1-16:0, 2-16:1)",C35H66O5,mm
C16:0,s_3525,"diglyceride (1-16:0, 2-18:1)",C37H70O5,mm
C16:0,s_3527,"phosphatidate (1-16:0, 2-16:1)",C35H67O8P,ce
C16:0,s_3531,"phosphatidate (1-16:0, 2-18:1)",C37H71O8P,ce
C16:0,s_3535,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)",C41H78O16P2,ce
C16:0,s_3540,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)",C43H82O16P2,ce
C16:0,s_3544,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)",C41H78O16P2,c
C16:0,s_3545,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)",C41H77O13P,c
C16:0,s_3552,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)",C43H82O16P2,c
C16:0,s_3553,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)",C43H81O13P,c
C16:0,s_3560,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)",C41H78O16P2,erm
C16:0,s_3564,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)",C43H82O16P2,erm
C16:0,s_3568,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)",C41H78O16P2,gm
C16:0,s_3572,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)",C43H82O16P2,gm
C16:0,s_3576,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-16:1)",C41H78O16P2,c
C16:0,s_3580,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-18:1)",C43H82O16P2,c
C16:0,s_3584,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-16:1)",C41H78O16P2,erm
C16:0,s_3588,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-18:1)",C43H82O16P2,erm
C16:0,s_3592,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-16:1)",C41H79O19P3,ce
C16:0,s_3596,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-18:1)",C43H83O19P3,ce
C16:0,s_3600,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-16:1)",C41H79O19P3,c
C16:0,s_3604,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-18:1)",C43H83O19P3,c
C16:0,s_3608,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-16:1)",C41H79O19P3,erm
C16:0,s_3612,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-18:1)",C43H83O19P3,erm
C16:0,s_3616,"1,2-diacylglycerol 3-diphosphate (1-16:0, 2-16:1)",C35H68O11P2,vm
C16:0,s_3620,"1,2-diacylglycerol 3-diphosphate (1-16:0, 2-18:1)",C37H72O11P2,vm
C16:0,s_3624,"1,2-diacylglycerol 3-diphosphate (1-16:0, 2-16:1)",C35H68O11P2,gm
C16:0,s_3628,"1,2-diacylglycerol 3-diphosphate (1-16:0, 2-18:1)",C37H72O11P2,gm
C16:0,s_3632,1-acyl-sn-glycerol 3-phosphate (16:0),C19H39O7P,c
C16:0,s_3633,1-monoglyceride (16:0),C19H38O4,c
C16:0,s_3640,1-acyl-sn-glycerol 3-phosphate (16:0),C19H39O7P,vm
C16:0,s_3641,1-monoglyceride (16:0),C19H38O4,vm
C16:0,s_3648,1-acyl-sn-glycerol 3-phosphate (16:0),C19H39O7P,gm
C16:0,s_3649,1-monoglyceride (16:0),C19H38O4,gm
C16:0,s_3671,1-monoglyceride (16:0),C19H38O4,lp
C16:0,s_3675,"diglyceride (1-16:0, 2-18:1)",C37H70O5,m
C16:0,s_3676,1-monoglyceride (16:0),C19H38O4,m
C16:0,s_3685,1-acylglycerophosphoethanolamine (16:0),C21H44NO7P,lp
C16:0,s_3686,"phosphatidylethanolamine (1-16:0, 2-18:1)",C39H76NO8P,lp
C16:0,s_3693,"phosphatidylcholine (1-16:0, 2-16:1)",C40H78NO8P,lp
C16:0,s_3694,1-acylglycerophosphocholine (16:0),C24H50NO7P,lp
C16:0,s_3701,"phosphatidylcholine (1-16:0, 2-18:1)",C42H82NO8P,lp
C16:0,s_3705,"phosphatidylethanolamine (1-16:0, 2-16:1)",C37H72NO8P,lp
C16:0,s_3740,C16:0 chain,C16H32O2,c
C16:1,s_1293,palmitoleate,C16H29O2,c
C16:1,s_1295,palmitoleate,C16H29O2,e
C16:1,s_1298,palmitoleate,C16H29O2,p
C16:1,s_2837,palmitoleate,C16H29O2,erm
C16:1,s_2848,palmitoleate,C16H29O2,lp
C16:1,s_2936,1-acyl-sn-glycerol 3-phosphate (16:1),C19H37O7P,erm
C16:1,s_2941,acylglycerone phosphate (16:1),C19H35O7P,erm
C16:1,s_2945,1-acyl-sn-glycerol 3-phosphate (16:1),C19H37O7P,lp
C16:1,s_2949,acylglycerone phosphate (16:1),C19H35O7P,lp
C16:1,s_2954,"phosphatidate (1-16:0, 2-16:1)",C35H67O8P,erm
C16:1,s_2956,"phosphatidate (1-16:1, 2-16:1)",C35H65O8P,erm
C16:1,s_2957,"phosphatidate (1-16:1, 2-18:1)",C37H69O8P,erm
C16:1,s_2958,"phosphatidate (1-18:0, 2-16:1)",C37H71O8P,erm
C16:1,s_2960,"phosphatidate (1-18:1, 2-16:1)",C37H69O8P,erm
C16:1,s_2963,"phosphatidate (1-16:1, 2-18:1)",C37H69O8P,lp
C16:1,s_2967,"diglyceride (1-16:0, 2-16:1)",C35H66O5,erm
C16:1,s_2969,"diglyceride (1-16:1, 2-16:1)",C35H64O5,erm
C16:1,s_2970,"diglyceride (1-16:1, 2-18:1)",C37H68O5,erm
C16:1,s_2971,"diglyceride (1-18:0, 2-16:1)",C37H70O5,erm
C16:1,s_2973,"diglyceride (1-18:1, 2-16:1)",C37H68O5,erm
C16:1,s_2975,"phosphatidate (1-16:0, 2-16:1)",C35H67O8P,vm
C16:1,s_2978,"diglyceride (1-16:0, 2-16:1)",C35H66O5,vm
C16:1,s_2981,"phosphatidate (1-16:1, 2-16:1)",C35H65O8P,vm
C16:1,s_2982,"diglyceride (1-16:1, 2-16:1)",C35H64O5,vm
C16:1,s_2983,"phosphatidate (1-16:1, 2-18:1)",C37H69O8P,vm
C16:1,s_2984,"diglyceride (1-16:1, 2-18:1)",C37H68O5,vm
C16:1,s_2985,"phosphatidate (1-18:0, 2-16:1)",C37H71O8P,vm
C16:1,s_2986,"diglyceride (1-18:0, 2-16:1)",C37H70O5,vm
C16:1,s_2989,"phosphatidate (1-18:1, 2-16:1)",C37H69O8P,vm
C16:1,s_2990,"diglyceride (1-18:1, 2-16:1)",C37H68O5,vm
C16:1,s_2993,"phosphatidate (1-16:0, 2-16:1)",C35H67O8P,gm
C16:1,s_2996,"diglyceride (1-16:0, 2-16:1)",C35H66O5,gm
C16:1,s_2999,"phosphatidate (1-16:1, 2-16:1)",C35H65O8P,gm
C16:1,s_3000,"diglyceride (1-16:1, 2-16:1)",C35H64O5,gm
C16:1,s_3001,"phosphatidate (1-16:1, 2-18:1)",C37H69O8P,gm
C16:1,s_3002,"diglyceride (1-16:1, 2-18:1)",C37H68O5,gm
C16:1,s_3003,"phosphatidate (1-18:0, 2-16:1)",C37H71O8P,gm
C16:1,s_3004,"diglyceride (1-18:0, 2-16:1)",C37H70O5,gm
C16:1,s_3007,"phosphatidate (1-18:1, 2-16:1)",C37H69O8P,gm
C16:1,s_3008,"diglyceride (1-18:1, 2-16:1)",C37H68O5,gm
C16:1,s_3011,"triglyceride (1-16:0, 2-16:1, 3-16:0)",C51H96O6,erm
C16:1,s_3013,"triglyceride (1-16:1, 2-16:1, 3-16:0)",C51H94O6,erm
C16:1,s_3014,"triglyceride (1-16:1, 2-18:1, 3-16:0)",C53H98O6,erm
C16:1,s_3015,"triglyceride (1-18:0, 2-16:1, 3-16:0)",C53H100O6,erm
C16:1,s_3017,"triglyceride (1-18:1, 2-16:1, 3-16:0)",C53H98O6,erm
C16:1,s_3019,"triglyceride (1-16:0, 2-16:1, 3-16:1)",C51H94O6,erm
C16:1,s_3020,"triglyceride (1-16:0, 2-18:1, 3-16:1)",C53H98O6,erm
C16:1,s_3021,"triglyceride (1-16:1, 2-16:1, 3-16:1)",C51H92O6,erm
C16:1,s_3022,"triglyceride (1-16:1, 2-18:1, 3-16:1)",C53H96O6,erm
C16:1,s_3023,"triglyceride (1-18:0, 2-16:1, 3-16:1)",C53H98O6,erm
C16:1,s_3024,"triglyceride (1-18:0, 2-18:1, 3-16:1)",C55H102O6,erm
C16:1,s_3025,"triglyceride (1-18:1, 2-16:1, 3-16:1)",C53H96O6,erm
C16:1,s_3026,"triglyceride (1-18:1, 2-18:1, 3-16:1)",C55H100O6,erm
C16:1,s_3027,"triglyceride (1-16:0, 2-16:1, 3-18:0)",C53H100O6,erm
C16:1,s_3029,"triglyceride (1-16:1, 2-16:1, 3-18:0)",C53H98O6,erm
C16:1,s_3030,"triglyceride (1-16:1, 2-18:1, 3-18:0)",C55H102O6,erm
C16:1,s_3031,"triglyceride (1-18:0, 2-16:1, 3-18:0)",C55H104O6,erm
C16:1,s_3033,"triglyceride (1-18:1, 2-16:1, 3-18:0)",C55H102O6,erm
C16:1,s_3035,"triglyceride (1-16:0, 2-16:1, 3-18:1)",C53H98O6,erm
C16:1,s_3037,"triglyceride (1-16:1, 2-16:1, 3-18:1)",C53H96O6,erm
C16:1,s_3038,"triglyceride (1-16:1, 2-18:1, 3-18:1)",C55H100O6,erm
C16:1,s_3039,"triglyceride (1-18:0, 2-16:1, 3-18:1)",C55H102O6,erm
C16:1,s_3041,"triglyceride (1-18:1, 2-16:1, 3-18:1)",C55H100O6,erm
C16:1,s_3043,"diglyceride (1-16:0, 2-16:1)",C35H66O5,lp
C16:1,s_3044,"triglyceride (1-16:0, 2-16:1, 3-16:0)",C51H96O6,lp
C16:1,s_3047,"diglyceride (1-16:1, 2-16:1)",C35H64O5,lp
C16:1,s_3048,"triglyceride (1-16:1, 2-16:1, 3-16:0)",C51H94O6,lp
C16:1,s_3049,"diglyceride (1-16:1, 2-18:1)",C37H68O5,lp
C16:1,s_3050,"triglyceride (1-16:1, 2-18:1, 3-16:0)",C53H98O6,lp
C16:1,s_3051,"diglyceride (1-18:0, 2-16:1)",C37H70O5,lp
C16:1,s_3052,"triglyceride (1-18:0, 2-16:1, 3-16:0)",C53H100O6,lp
C16:1,s_3055,"diglyceride (1-18:1, 2-16:1)",C37H68O5,lp
C16:1,s_3056,"triglyceride (1-18:1, 2-16:1, 3-16:0)",C53H98O6,lp
