gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
FKH1:OPI1:RFX1,trigenic,C160,-1.4633769984810603,0.23145333591839815,0.2623155354907011,2.4233697629204763e-08,8.661141029932388e-08,1.4633769984810603,True,True
FKH1:OPI1:RGR1,trigenic,C160,-0.9534882413641314,0.3853943275849293,0.26231553549070097,0.0002780987561176635,0.0005959259059664218,0.9534882413641314,True,True
FKH1:OPI1:RPD3,trigenic,C160,-1.6994856603930188,0.18277750959286881,0.27043537991208444,3.294235493025622e-10,1.5383458198563046e-09,1.6994856603930188,True,True
FKH1:OPI1:SPT3,trigenic,C160,-1.510660650277089,0.22076408191966362,0.2623155354907011,8.464144766531045e-09,3.2478695034363314e-08,1.510660650277089,True,True
FKH1:OPI1:YAP6,trigenic,C160,-1.5343479361142531,0.2155962278594029,0.2623155354907009,4.9380813491469894e-09,1.9633335484560317e-08,1.5343479361142531,True,True
FKH1:OPI1:TFC7,trigenic,C160,-1.4571493037877974,0.23289925432620565,0.262315535490701,2.776935402489232e-08,9.818450173086928e-08,1.4571493037877974,True,True
FKH1:RFX1:RGR1,trigenic,C160,-1.4250785228206784,0.24048957854686215,0.2623155354907009,5.5511346521465846e-08,1.8885303455756422e-07,1.4250785228206784,True,True
FKH1:RFX1:RPD3,trigenic,C160,-1.9074096047354236,0.14846447057756854,0.2623155354907011,3.5569616052181977e-13,2.7087630685892424e-12,1.9074096047354236,True,True
FKH1:RFX1:SPT3,trigenic,C160,-1.3720965179355393,0.25357477781376164,0.2623155354907011,1.6886014990617935e-07,5.410082472722251e-07,1.3720965179355393,True,True
FKH1:RFX1:YAP6,trigenic,C160,-1.4081902175715693,0.24458552944138015,0.2704349671501182,1.91783022866318e-07,6.104990116966392e-07,1.4081902175715693,True,True
FKH1:RFX1:TFC7,trigenic,C160,-1.5201763155365695,0.2186733280478795,0.2623155354907009,6.823155640029935e-09,2.6386422201678265e-08,1.5201763155365695,True,True
FKH1:RGR1:RPD3,trigenic,C160,-1.5706750162331953,0.20790479586860128,0.26231553549070075,2.12787846691939e-09,8.888606254220236e-09,1.5706750162331953,True,True
FKH1:RGR1:SPT3,trigenic,C160,-1.4280890796754653,0.2397666597377628,0.2623155354907007,5.204893263234789e-08,1.7768428726215315e-07,1.4280890796754653,True,True
FKH1:RGR1:YAP6,trigenic,C160,-1.3254022597809425,0.26569605875112434,0.26231553549070097,4.356030126785688e-07,1.3518714186576273e-06,1.3254022597809425,True,True
FKH1:RGR1:TFC7,trigenic,C160,-1.7165976082590788,0.1796764387297048,0.26231553549070086,5.988755023157646e-11,3.0561172540856025e-10,1.7165976082590788,True,True
