run_id,dist,seed,dropout,n_epochs,rows_short_by,epoch_loss_min,loss_min,loss_final,loss_final_rel_excess,epoch_pearson_peak,pearson_roll_max,pearson_final,pearson_roll_at_loss_min,loss_at_pearson_peak_rel_excess,loss_rel_excess_at_50,pearson_roll_at_50,loss_rel_excess_at_100,pearson_roll_at_100,loss_rel_excess_at_200,pearson_roll_at_200,loss_rel_excess_at_500,pearson_roll_at_500,loss_rel_excess_at_1000,pearson_roll_at_1000,loss_rel_excess_at_2000,pearson_roll_at_2000,first_epoch_within_0.01_of_loss_min,first_epoch_within_0.001_of_loss_min,collapsed
gyuaddjz,quantile,0,0.1,38,0,37,0.2607609033584595,0.2620963752269745,0.005121442100080414,13,0.055368130654096605,0.05472641438245773,0.0545783257111907,0.010658556354720924,,,,,,,,,,,,,15,37,False
tcb99kg0,quantile,0,0.1,38,0,30,0.26128342747688293,0.2623823583126068,0.004205895667918337,11,0.000865779013838619,-9.077585127670318e-05,-0.006371225096518174,0.010788714366257845,,,,,,,,,,,,,8,30,False
syysynyj,quantile,0,0.1,38,0,38,0.25963711738586426,0.25963711738586426,0.0,18,0.016313773347064853,0.01594492979347706,0.009792359390606483,0.008625023760396033,,,,,,,,,,,,,18,38,False
e1fvm8n2,quantile,0,0.1,38,0,27,0.2608868181705475,0.2617493271827698,0.0033060658958186566,27,0.055454494804143904,0.055341511964797974,0.055454494804143904,0.0,,,,,,,,,,,,,6,27,False
nrkorko0,quantile,0,0.1,4079,0,481,0.23377318680286407,0.2910374701023102,0.24495659268116088,2488,0.21360017359256744,0.1825341284275055,0.18728812038898468,0.1859343420838509,0.12212022587856022,0.055209710448980334,0.05022286420291667,0.055348818004131314,0.03768246215815107,0.07969813346862793,0.007318469430598805,0.182486629486084,0.09328145077721528,0.2030700147151947,0.16931592064457401,0.19849265217781067,243,481,False
i63dbvha,quantile,0,0.1,4139,0,605,0.2405603528022766,0.26830944418907166,0.11535189013296306,3864,0.18807230591773988,0.17642565071582794,0.16634900271892547,0.10242526325387463,0.06927592702852103,0.002189827663823962,0.04336023417633544,0.07894201576709747,0.007432172436955717,0.11547777205705642,0.0068258690121961885,0.13570456802845002,0.037488977146052725,0.16037066280841827,0.07885636357194235,0.1740594357252121,154,605,False
h9l8aguy,quantile,0,0.1,8499,0,473,0.2404526025056839,0.2771749794483185,0.15272189429418434,3163,0.1745653808116913,0.15760472416877747,0.11948693990707397,0.09454980357885517,0.0829543529913951,0.05585304200649262,0.03380038832458164,0.10092582553625107,0.014287917808203897,0.09652626514434814,0.0012770426500763703,0.1302192285656929,0.044973256593855135,0.142344930768013,0.0681639098835615,0.15581242442131044,212,473,False
4u0txt3s,quantile,0,0.1,8499,0,289,0.23444528877735138,0.3071441948413849,0.31008900389154076,1198,0.18878067135810853,0.14325058460235596,0.1561698853969574,0.1696049355518978,0.09048958845845805,0.02536390218883753,0.0424547030872051,0.055983110517263415,0.02143604826357147,0.11998048275709153,0.06737767407171909,0.16696954071521758,0.16140465127690168,0.17848532497882844,0.2263555705244596,0.17268950045108794,210,232,False
8r5ewoaq,quantile,0,0.1,9999,0,533,0.23995491862297058,0.2816161811351776,0.17362120664701744,3742,0.18904999792575836,0.1656346321105957,0.15810899138450624,0.10165643861660939,0.08619196475312645,0.005473666248144582,0.0411600820761118,0.06882195547223091,0.01059187229888999,0.10356848090887069,0.00980506737149153,0.14638109803199767,0.04485980403030422,0.13937386274337768,0.08076158245783949,0.1534542739391327,185,533,False
f2wf23oy,quantile,0,0.1,9999,0,306,0.24822001159191132,0.2866017520427704,0.15462790531957982,8789,0.18576061427593232,0.1637883484363556,0.11891053169965744,0.1458739087595375,0.06277499565818051,0.013414299767464399,0.038576908556088835,0.09635833799839019,0.014372097862119902,0.10150786638259887,0.042294694671787564,0.10797091871500016,0.09391447098869157,0.15598128437995912,0.12848105715035085,0.16762752532958985,162,306,False
hx8pxdic,quantile,0,0.1,9999,0,663,0.23521079123020172,0.2625608444213867,0.11627890475661634,9188,0.24272912740707397,0.23285293579101562,0.15538841784000396,0.09939765199643276,0.11576942499297897,0.005058696924243123,0.048121193591603634,0.08580662757158279,0.01559355247720756,0.11206010431051254,0.009860669765062169,0.1268346980214119,0.03316629636150231,0.16571388840675355,0.05795424172312366,0.18717685341835022,331,663,False
rb3bhryq,quantile,0,0.1,9999,0,366,0.25849610567092896,0.2798364460468292,0.08255575193487431,4444,0.210892453789711,0.20535972714424133,0.13650695979595184,0.07061700383573773,0.02000705582053313,0.05340830758213997,0.011642334462034037,0.1023415520787239,0.00467309760897611,0.1340263694524765,0.015464237250812515,0.12933036535978318,0.025145468652903204,0.1804611623287201,0.054843094461526756,0.20169783234596253,135,366,False
tow1z48n,quantile,0,0.1,9999,0,227,0.25933656096458435,0.2825939655303955,0.08968039245722567,5906,0.20445095896720886,0.1762957125902176,0.11428544521331788,0.07096089803928825,0.01612787381501331,0.013336571399122477,0.008721207838618066,0.1214517444372177,0.002046451742500567,0.09740830063819886,0.01749838052441705,0.1113145262002945,0.028170773456022376,0.17025437951087952,0.05406100811881004,0.18951661586761476,89,227,False
da5g4o9v,quantile,0,0.1,9999,0,3097,0.21195346117019653,0.21811415255069733,0.029066245705484467,3376,0.1925201267004013,0.18096952140331268,0.1836174637079239,0.010725286270570579,0.19269350945686278,0.010275691282004118,0.16011382487403644,0.09617843627929687,0.13578311125259387,0.12574727535247804,0.09132016437621152,0.13701282292604447,0.028419730769695856,0.16277478337287904,0.01599182393421352,0.16931959986686707,1940,2178,False
ebkzn1ao,quantile,0,0.1,9999,0,766,0.234573632478714,0.2612118721008301,0.11356024690683568,9682,0.2128741055727005,0.20964255928993225,0.1526872009038925,0.11154143985790851,0.09517677901812797,0.004668866097927093,0.058374523646023975,0.08533939123153686,0.029262093626147172,0.12522250413894653,0.02594471975235628,0.09575921893119813,0.012405499438761477,0.1578022748231888,0.050581216963315266,0.15975675582885743,531,766,False
u1vuznme,quantile,0,0.1,9999,0,404,0.24158382415771484,0.279540091753006,0.15711427587350338,2201,0.16881383061408997,0.15660861134529114,0.1148926392197609,0.06515894978268508,0.08889951997284057,0.0654100351035595,0.07017350159285328,0.1442906975746155,0.021940406661166357,0.09176760092377663,0.008915636016248289,0.09974724799394608,0.03412125620265357,0.14827890694141388,0.06204331297691843,0.15977602005004882,247,404,False
94f0m9gy,quantile,1,0.1,3,0,3,0.26368269324302673,0.26368269324302673,0.0,0,0.05524221186836561,0.05523359403014183,0.0551614115635554,0.0023798213393434672,,,,,,,,,,,,,0,1,False
0j88tkwj,quantile,1,0.1,3,0,2,0.2639744281768799,0.2641109228134155,0.0005170752238326067,1,-0.008607730735093355,-0.0026023038662970066,-0.008607730735093355,8.422229628365166e-05,,,,,,,,,,,,,0,1,False
qfcygkvo,quantile,1,0.1,1593,0,484,0.24146811664104462,0.2550659775733948,0.0563132769721483,1580,0.17620067298412323,0.1698572188615799,0.11290670931339264,0.049648153483836215,0.08101532084831695,0.06743025407195091,0.03966756210917471,0.1211534783244133,0.012135096275754412,0.12162214368581772,0.009999598263486205,0.10328249633312225,0.038100727994697325,0.1461590498685837,,,171,279,False
ty8eav1r,quantile,1,0.1,1595,0,266,0.24132011830806732,0.25638458132743835,0.06242522639633327,1583,0.14692146480083465,0.1373632252216339,0.0971994936466217,0.06329674506856217,0.07929788716926796,0.010942840529605747,0.030139084228630333,0.0866465151309967,0.004996814084887796,0.09257007390260696,0.008961563334319045,0.11468431502580642,0.04042953755480413,0.13694477081298828,,,130,266,False
3qy1rh0o,quantile,1,0.1,6589,0,203,0.23490898311138153,0.300538033246994,0.2793807595876171,2585,0.198469677567482,0.1617753952741623,0.1314876362681389,0.2105995283699584,0.10829824653215536,0.0779285654425621,0.0415052198059244,0.07619376480579376,0.005797972974044489,0.13472949713468552,0.043531928592610916,0.145680770277977,0.12221929369674538,0.17413632273674012,0.18979135048899504,0.1757811963558197,163,203,False
4gtnrja7,quantile,1,0.1,7018,0,503,0.2405533790588379,0.269269734621048,0.11937623023448046,2449,0.19956699907779693,0.18216870725154877,0.1209610104560852,0.0660975376479007,0.07730134376790221,0.10112801641225815,0.03693280367588612,0.10196198374032975,0.01566529544458915,0.11004453450441361,0.005415137855640594,0.12238384634256363,0.020042972722245016,0.17654479444026946,0.05482732612190447,0.18954559564590454,189,424,False
vqek7ali,quantile,1,0.1,8499,0,308,0.2339145839214325,0.2945273518562317,0.25912350961049047,1762,0.22367955446243287,0.16994547843933105,0.1995053321123123,0.16390204400097796,0.06357863443035311,0.06574855893850326,0.045816971638341364,0.07113759815692902,0.015715572341550778,0.15048843622207642,0.060138712943555835,0.17438627779483795,0.1401988897511502,0.19301262199878694,0.19292914866354663,0.20091709196567537,202,308,False
r2s57bvt,quantile,1,0.1,8499,0,675,0.2401740849018097,0.2758924961090088,0.14871883959421286,8420,0.1930028349161148,0.18127253651618958,0.14176969677209855,0.14288876714640514,0.073033371158985,0.02248715776950121,0.03886315820821811,0.08496750146150589,0.007521989649958648,0.11702638566493988,0.007803169289127989,0.11195085048675538,0.03942619996140915,0.15425919592380524,0.10642438395787021,0.15350347459316255,184,675,False
