arm,wave,source_hash,seed,run_id,state,epochs,smoothed,smoothed_argmax,raw_peak,last,train_pf_last,train_pf_best,train_loss_last,train_loss_best
A2_prop_sparse,wave3,96a5f8e6,0,qs8s0ug7,crashed,51,0.13047638684511184,41,0.15409915149211884,0.13253231346607208,0.14885804057121277,0.15719084441661835,0.2501719892024994,0.21292667090892792
A2_prop_sparse,wave3,96a5f8e6,1,6mx11gei,crashed,50,0.04425176978111267,39,0.05246836692094803,0.04319731518626213,0.13857311010360718,0.14778491854667664,0.2568110525608063,0.1861865073442459
A2_prop_sparse,wave3,96a5f8e6,2,6wr3hya7,crashed,50,0.08803566992282867,35,0.09225152432918549,0.06919024139642715,0.16991311311721802,0.16991311311721802,0.2468380331993103,0.1984710693359375
A2_prop_sparse,wave3,96a5f8e6,42,7mb1a27i,crashed,51,0.05368477627635002,19,0.0627385750412941,0.04344107210636139,0.17847760021686554,0.17847760021686554,0.26188090443611145,0.201649472117424
A4_nullsink,wave3,96a5f8e6,0,vrhntd2e,crashed,189,0.14933408200740814,164,0.1705038994550705,0.13834597170352936,0.24087722599506378,0.2420613318681717,0.2331739366054535,0.20310825109481812
A4_nullsink,wave3,96a5f8e6,1,7c6pv7ke,crashed,187,0.03972143121063709,184,0.053629908710718155,0.04184386506676674,0.09380553662776947,0.23313556611537933,0.24157670140266418,0.17163923382759094
A4_nullsink,wave3,96a5f8e6,2,tktns234,crashed,187,0.06903075724840164,38,0.07435771822929382,0.034312084317207336,0.23361065983772278,0.2525532841682434,0.2715090811252594,0.20442870259284973
A4_nullsink,wave3,96a5f8e6,42,l4k69zx4,crashed,186,0.045373348891735076,33,0.054834526032209396,0.013116520829498768,0.2469957023859024,0.25048956274986267,0.23451708257198334,0.2051294893026352
D1_bilinear32,wave3,,0,0w8ffwfs,finished,175,0.14792230278253554,86,0.16857022047042847,0.1262231469154358,0.21547076106071472,0.23184610903263092,0.2521057426929474,0.20069238543510437
D2_mask,wave3,,0,au8fu60o,finished,235,0.14940030574798585,86,0.16170519590377808,0.11646539717912674,0.27851906418800354,0.2870308458805084,0.26868170499801636,0.19706836342811584
E0_perceiver_on,wave3,,0,njncg8a3,finished,181,0.12737221717834474,61,0.14746502041816711,0.11255965381860733,0.22100158035755157,0.22100158035755157,0.2512175440788269,0.2060200721025467
F1_attn4,wave3,,0,tpkyahaq,finished,222,0.15500957667827606,122,0.16919434070587158,0.16331708431243896,0.20541107654571533,0.21901868283748627,0.23761211335659027,0.20282085239887238
F1_deep2,wave3,,0,00shiab3,finished,202,0.1677793800830841,148,0.17280875146389008,0.1503852754831314,0.24036040902137756,0.24164056777954102,0.2307937890291214,0.19627614319324493
GEARS_crossgene,wave3,,0,t0z68gy5,finished,168,0.13331326246261596,66,0.16016456484794617,0.08633903414011002,0.2171814888715744,0.22048865258693695,0.20754621922969818,0.2059403359889984
H0_factor,wave3,,0,qeyzyz0c,finished,276,0.15487976372241974,232,0.16874729096889496,0.13435564935207367,0.252254456281662,0.2574569582939148,0.26960495114326477,0.20157843828201294
L0_lr3e4,wave3,96a5f8e6,0,yc1jmnmj,finished,19,0.028260938078165054,11,0.0338045097887516,-0.009368645958602428,-0.000568073766771704,0.007420532405376434,0.2799168527126312,0.22241155803203583
L0_lr3e4,wave3,96a5f8e6,0,gzykil2h,crashed,58,0.11187569797039032,51,0.1237940713763237,0.10491281002759933,0.09703239798545837,0.10189493000507355,0.26694050431251526,0.20852220058441162
L0_lr3e4,wave3,96a5f8e6,1,nwu46mdo,crashed,18,-0.009493653383105993,2,-0.0043016760610044,-0.02814425900578499,0.0004500662616919726,0.0060278731398284435,0.19257505238056183,0.19257505238056183
L0_lr3e4,wave3,96a5f8e6,1,acpwpzhg,crashed,56,0.019969657249748706,50,0.02765778638422489,0.011929827742278576,0.10718417167663574,0.10718417167663574,0.27025869488716125,0.18518495559692383
L1_lr1e3,wave3,96a5f8e6,0,1ys0ln07,finished,19,0.021340005844831467,12,0.03182048350572586,0.01876791939139366,-0.00022108221310190856,0.0071075125597417355,0.2797375023365021,0.21601630747318268
L1_lr1e3,wave3,96a5f8e6,0,kh4zfrj0,crashed,56,0.1020792618393898,51,0.1474219709634781,0.0185590460896492,-0.0021802817936986685,0.061438169330358505,0.27974599599838257,0.20865470170974731
L1_lr1e3,wave3,96a5f8e6,1,x904ibg7,finished,19,0.004843721073120833,7,0.009926900267601013,0.006554873194545507,-0.0006425455794669688,0.008236984722316265,0.2411244958639145,0.19083178043365479
L1_lr1e3,wave3,96a5f8e6,1,iouimkqt,crashed,56,0.004921235679648817,19,0.009997306391596794,-0.016149384900927544,-0.01539977453649044,0.008236984722316265,0.20212244987487793,0.1886579841375351
L2_lr3e3,wave3,96a5f8e6,0,6v78p223,crashed,56,0.004525936915243512,33,0.021454090252518654,-0.0004301201261114329,-0.0027426593005657196,0.012063262984156609,0.23986545205116272,0.20764130353927612
L2_lr3e3,wave3,96a5f8e6,1,rdue7fca,crashed,56,0.003610994226993036,19,0.020566219463944435,4.859474938712083e-05,0.00968774314969778,0.011840890161693096,0.20198218524456024,0.1881573349237442
L3_lr1e3_cosine,wave3,96a5f8e6,0,1ahs0mi7,crashed,55,0.012762475851923227,10,0.022944822907447815,-0.002005144255235791,-0.0014436416095122695,0.007087524980306625,0.25673648715019226,0.20797884464263916
L3_lr1e3_cosine,wave3,96a5f8e6,1,ojrt0zuk,crashed,56,0.011352797597646713,23,0.02404165454208851,-0.01280298549681902,0.00023107140441425145,0.008059702813625336,0.2014097273349762,0.18982909619808197
S1_warmup,wave3,,0,etaxogte,finished,122,0.1330019012093544,87,0.164346843957901,0.11794906854629517,0.21250343322753906,0.21339142322540283,0.2478768229484558,0.20591554045677185
S1_warmup,wave3,,1,3d8opzhr,finished,41,0.010017868923023343,37,0.023725569248199463,-0.0019650410395115614,0.0738207995891571,0.0738207995891571,0.21321843564510345,0.1929537057876587
S2_rezero,wave3,,1,p7ayltm8,finished,74,0.03208246901631355,35,0.040307898074388504,0.011318717151880264,0.1073339655995369,0.1073339655995369,0.18358857929706573,0.18358857929706573
S3_both,wave3,,1,3m8d668j,finished,77,0.033033177629113196,37,0.04050624743103981,0.021812599152326584,0.10682167112827301,0.1134621873497963,0.21193796396255493,0.17599880695343018
N_sink0,wave4a,96a5f8e6,0,3eugl3dq,crashed,79,0.12882413119077682,76,0.13859325647354126,0.13785810768604279,0.11308687925338745,0.11308687925338745,0.23094816505908966,0.20671911537647247
N_sink0,wave4a,96a5f8e6,1,z6xfnvj5,crashed,80,0.041003162413835524,4,0.044090211391448975,0.01690112054347992,0.11349371075630188,0.11349371075630188,0.19771622121334076,0.17584307491779327
N_sink0,wave4a,96a5f8e6,2,5h2ixvcz,crashed,79,0.06195209994912147,62,0.07112950086593628,0.06383524090051651,0.12811143696308136,0.12811143696308136,0.2508070468902588,0.20789514482021332
N_sink0,wave4a,96a5f8e6,42,q7ix2psh,crashed,78,0.04246199354529381,50,0.045186109840869904,0.03411751240491867,0.11879775673151016,0.12144710123538971,0.2686774730682373,0.20801138877868652
R_ref,wave4a,96a5f8e6,0,zf9mwt5n,crashed,81,0.14231164753437042,78,0.15458860993385315,0.13599497079849243,0.1303349733352661,0.14448516070842743,0.26655077934265137,0.20857711136341095
R_ref,wave4a,96a5f8e6,1,il8vst4o,crashed,79,0.032445332407951354,35,0.03998914361000061,0.007856653071939945,0.13905715942382812,0.13905715942382812,0.21596656739711761,0.1763399988412857
R_ref,wave4a,96a5f8e6,2,z0k03rxn,crashed,79,0.0660442940890789,74,0.07204660028219223,0.059908609837293625,0.14295455813407898,0.16702207922935486,0.24866439402103424,0.20793239772319794
R_ref,wave4a,96a5f8e6,42,rejjpfnf,crashed,77,0.029294828698039056,50,0.033860549330711365,0.014127425849437714,0.13885590434074402,0.1474563181400299,0.2794787585735321,0.20786316692829132
N_sink_mm,wave4b,96a5f8e6,0,v1grwe46,finished,300,0.15196892917156218,86,0.1688740998506546,0.14152230322360992,0.3036562204360962,0.3036562204360962,0.23080284893512726,0.19857874512672424
N_sink_mm,wave4b,96a5f8e6,1,kyvkrjcb,finished,300,0.0473805271089077,297,0.0640023946762085,0.053915224969387054,0.3058648407459259,0.3062758445739746,0.2933093011379242,0.16958977282047272
N_sink_mm,wave4b,96a5f8e6,2,047tg3h4,finished,300,0.086261086165905,241,0.0967181995511055,0.07946816831827164,0.3107675313949585,0.3138871490955353,0.22029107809066772,0.20022191107273102
N_sink_mm,wave4b,96a5f8e6,42,y42h0pwu,finished,300,0.07421408072113991,296,0.08242054283618927,0.06682295352220535,0.30430495738983154,0.3089962303638458,0.25948378443717957,0.19704802334308624
R_ref,wave4b,96a5f8e6,0,q3s1u8j5,finished,300,0.15307513177394866,89,0.1598864495754242,0.07902995496988297,0.2940558195114136,0.30040445923805237,0.2325131595134735,0.19805492460727692
R_ref,wave4b,96a5f8e6,1,7zrt6udr,finished,300,0.05549661740660668,292,0.0631721019744873,0.06136574596166611,0.3010914623737335,0.3027435541152954,0.2951524257659912,0.16999921202659607
R_ref,wave4b,96a5f8e6,2,wwh2eio6,finished,300,0.07981738448143005,252,0.08611493557691574,0.05809571593999863,0.30707934498786926,0.308179646730423,0.22056320309638977,0.20035803318023682
R_ref,wave4b,96a5f8e6,42,bdloc0mw,finished,300,0.06170811876654625,296,0.07006564736366272,0.039620984345674515,0.2710570991039276,0.27711591124534607,0.26061445474624634,0.20147167146205902
