strand,project,n_runs,states,metric_keys,n_train_observed,n_train_sampled_from
morphology,torchcell_019_morph_v3,89,{'finished': 89},"['val/morphology/pearson_per_feature', 'val/morphology/pearson_per_instance']",{1161: 30},30
morphology,torchcell_019_morph_v5,23,{'finished': 23},"['val/mean/pearson_per_feature', 'val/morphology/pearson_per_feature', 'val/morphology/pearson_per_instance']",{1161: 23},23
beta_carotene,torchcell_020_beta_carotene,47,"{'finished': 45, 'crashed': 2}","['val/mean/pearson_per_feature', 'val/beta_carotene/pearson_per_feature', 'val/beta_carotene/spearman_per_feature']",{3846: 30},30
beta_carotene,torchcell_020_beta_carotene_v3,50,"{'finished': 48, 'crashed': 2}","['val/mean/pearson_per_feature', 'val/beta_carotene/pearson_per_feature', 'val/beta_carotene/spearman_per_feature']",{3846: 30},30
betaxanthin,torchcell_020_betaxanthin,42,"{'failed': 1, 'finished': 39, 'crashed': 2}","['val/mean/pearson_per_feature', 'val/betaxanthin/pearson_per_feature', 'val/betaxanthin/spearman_per_feature']",{4235: 30},30
betaxanthin,torchcell_020_betaxanthin_v3,53,"{'finished': 51, 'crashed': 2}","['val/mean/pearson_per_feature', 'val/betaxanthin/pearson_per_feature', 'val/betaxanthin/spearman_per_feature']","{4235: 29, 3694: 1}",30
betaxanthin,torchcell_020_betaxanthin_v4,44,"{'finished': 37, 'crashed': 7}","['val/mean/pearson_per_feature', 'val/betaxanthin/pearson_per_feature', 'val/betaxanthin/spearman_per_feature']",{3698: 30},30
betaxanthin,torchcell_020_metabolism,3,{'crashed': 3},"['val/mean/pearson_per_feature', 'val/betaxanthin/pearson_per_feature', 'val/betaxanthin/spearman_per_feature', 'val/beta_carotene/pearson_per_feature', 'val/beta_carotene/spearman_per_feature', 'val/mulleder19/pearson_per_feature', 'val/mulleder19/pearson_per_instance', 'val/mulleder19/spearman_per_feature']","{4235: 2, 3846: 1}",3
amino_acid,torchcell_020_mulleder19,36,"{'failed': 1, 'finished': 33, 'crashed': 2}","['val/mean/pearson_per_feature', 'val/mulleder19/pearson_per_feature', 'val/mulleder19/pearson_per_instance', 'val/mulleder19/spearman_per_feature']",{4235: 30},30
amino_acid,torchcell_020_mulleder19_v3,30,"{'finished': 28, 'crashed': 2}","['val/mean/pearson_per_feature', 'val/mulleder19/pearson_per_feature', 'val/mulleder19/pearson_per_instance', 'val/mulleder19/spearman_per_feature']",{4235: 30},30
beta_carotene,torchcell_021_beta_carotene_v4,39,{'finished': 39},"['val/mean/pearson_per_feature', 'val/beta_carotene/pearson_per_feature', 'val/beta_carotene/spearman_per_feature']",{3849: 30},30
amino_acid,torchcell_022_mulleder19_v4,31,{'finished': 31},"['val/mean/pearson_per_feature', 'val/mulleder19/pearson_per_feature', 'val/mulleder19/pearson_per_instance', 'val/mulleder19/spearman_per_feature']",{4234: 30},30
betaxanthin_amino_acid_joint,torchcell_023_bx_m19_v1,46,{'finished': 46},"['val/mean/pearson_per_feature', 'val/betaxanthin/pearson_per_feature', 'val/betaxanthin/spearman_per_feature', 'val/mulleder19/pearson_per_feature', 'val/mulleder19/pearson_per_instance', 'val/mulleder19/spearman_per_feature']",{3832: 30},30
