feature,description,mean,std,variance,min,max,range,median,iqr,cv,robust_cv,n
D183_C,Nuclear_axis_ratio_in_bud,2.526818444918186,0.12063672684403871,0.01455321986364321,2.24389821,3.849534438,1.6056362280000003,2.5116981845,0.13236330649999983,0.04774253848219979,0.05269873080962918,4718
C104_C,Short_axis_length_in_mother,30.173314699542175,1.6044587576880782,2.574287905121971,22.59765354,45.80616302,23.20850948,29.967810915,1.6107222199999995,0.05317475967307042,0.05374841107242082,4718
C104_A,Short_axis_length_in_whole_cell,28.099270352977957,1.4984521067013326,2.2453587160776616,21.26046764,41.94863709,20.688169449999997,27.909979545,1.5072314874999968,0.05332708244299755,0.05400331752554127,4718
C113_C,Distance_between_bud_tip_and_mother_long_axis_through_middle_point_of_neck,39.52547674668291,2.625526096859662,6.893387285291131,33.25860352,94.97885936,61.72025584,39.15783913,2.1255967225000063,0.06642617149659057,0.05428278908453665,4718
D102_A,Distance_between_nuclear_gravity_center_and_mother_tip,20.176171462634592,1.3559224759077733,1.838525760671866,16.51968473,35.18774246,18.66805773,19.955125315,1.0897780300000015,0.0672041511155317,0.054611435047257254,4718
C108_C,Short_axis_length_in_bud,26.227646810050867,1.423749349532624,2.02706221029457,21.05980719,37.53192911,16.47212192,26.066153550000003,1.4238000150000012,0.05428429625592716,0.054622559184609766,4718
C12-2_C,Bud_cell_outline_length,73.3979052953921,4.87722238425989,23.787298185525728,58.96201544,122.8614464,63.899430960000004,72.687080275,4.011008890000014,0.06644906778512766,0.05518186828835331,4718
D127_A,Distance_between_nuclear_brightest_point_and_cell_tip,20.42235907844214,1.3820460567781152,1.9100513030559372,16.78983956,35.24443463,18.45459507,20.189697255,1.1192697000000003,0.06767318366451623,0.05543766634355114,4718
D114_A1B,Ratio_of_D110_to_C128,0.35411336424374734,0.0174471093609981,0.00030440162505462746,0.254451998,0.454153775,0.19970177699999997,0.353987435,0.020019490249999994,0.04926984158945412,0.05655423970062664,4718
C108_A1B,Short_axis_length_in_bud,18.313303204080118,1.1712109964773212,1.3717351982693997,14.27477757,28.76465672,14.489879150000002,18.138254215,1.0265510675000016,0.06395410939389574,0.05659591354999661,4718
D104_A1B,Distance_between_nuclear_gravity_center_and_mother_tip,22.558159233437898,1.7582645169351185,3.091494111513086,17.8042698,45.13253584,27.328266040000003,22.277366800000003,1.290775515,0.07794361670826615,0.057941116945652654,4718
D132_A1B,Distance_between_nuclear_brightest_point_and_middle_point_of_neck,11.923158641322594,0.7324103093267739,0.5364248612081406,10.2626583,20.39913393,10.136475630000001,11.8300718,0.6895673575000014,0.06142754041604618,0.05828936367909461,4718
C113_A1B,Distance_between_bud_tip_and_mother_long_axis_through_middle_point_of_neck,29.054150828456972,1.9129087364801274,3.6592198341019975,23.38225027,53.51716821,30.13491794,28.820992285000003,1.702561857500001,0.06583943023406269,0.05907367243514742,4718
C127_C,Thickness_difference_of_cell_wall,3.485834543365409,0.2038116944072173,0.04153920677714093,2.953488372,4.696969697,1.7434813250000003,3.474358974,0.21153846099999996,0.058468550894112924,0.060885608707397766,4718
D113_C,Ratio_of_D109_to_C107,0.5358390284186096,0.025221823950480126,0.0006361404033890129,0.393700353,0.682287801,0.28858744799999997,0.535189353,0.03280030425000002,0.04706977769968682,0.061287288444992705,4718
D126_A1B,Distance_between_nuclear_gravity_center_and_mother_hip,22.75419462740568,1.7982978297959755,3.2338750846489153,17.92222588,45.08450405,27.16227817,22.469050755,1.4033186099999995,0.07903148668817589,0.06245562508632997,4718
C109_C,Neck_width,13.165080013042179,0.7537926322389367,0.5682033324177048,9.711655471,20.3215252,10.609869729,13.131192315,0.8209520925000007,0.05725697310553229,0.06251923456807591,4718
D110_A1B,Distance_between_nuclear_gravity_center_and_middle_point_of_neck,11.885085620882364,0.7379530686057946,0.5445747314647086,9.750054639,20.75368156,11.003626921,11.807658035,0.7486863549999985,0.062090681728804234,0.06340684602998824,4718
D112_C,Ratio_of_D108_to_C128,0.5898270170750317,0.03174121656060624,0.0010075048287473036,0.386825193,0.70360117,0.316775977,0.5907764019999999,0.038116872000000024,0.053814450070483036,0.06451996367993051,4718
D129_A1B,Distance_between_nuclear_brightest_point_and_mother_tip,22.958251229838915,1.825897691136542,3.3339023784977555,18.00741718,46.00356746,27.99615028,22.680235025,1.4838398975000011,0.07953121833440942,0.065424361602267,4718
C118_C,Cell_size_ratio,0.6209651332144976,0.03520420555262945,0.0012393360885917862,0.468695776,0.79848381,0.329788034,0.6196964035,0.040557281,0.05669272503335384,0.06544701691172555,4718
D123_C,Ratio_of_D121_to_C107,0.4886724166627809,0.025208309439146245,0.0006354588647797496,0.336024154,0.628950076,0.29292592199999995,0.4895799775,0.032295857499999914,0.05158529227267966,0.06596645897349819,4718
D196_A1B,Maximal_intensity_of_nuclear_brightness_divided_by_average,1.3525637823083936,0.06612126729602076,0.004372021988831825,1.113647173,1.558082098,0.44443492500000015,1.348638361,0.08975038200000007,0.048885877443186385,0.06654888708152361,4718
D142_A1B,Distance_between_nuclear_brightest_point_and_mother_hip,23.1725935400763,1.8602315470703539,3.460461408715762,18.20544646,45.92939604,27.72394958,22.8717632,1.5448168100000004,0.08027722679609167,0.06754253253199126,4718
D179_A,Nuclear_minimum_radius,4.821066374954006,0.33891407584454475,0.11486275080556183,3.906427356,8.169192694,4.2627653379999995,4.751446258,0.3292225845000001,0.0702985707903219,0.06928892101971873,4718
D106_C,Ratio_of_D103_to_C103,0.46289670966172103,0.027108076617943323,0.0007348478179242855,0.328350106,0.613385633,0.28503552700000007,0.4621855025,0.03203673499999998,0.05856182610965966,0.06931575055191175,4718
C12-2_A1B,Bud_cell_outline_length,43.55947611238872,3.7665900101967353,14.187200304913842,33.45178127,82.03660745,48.58482618000001,43.082924555000005,2.9937621475,0.08647004845692995,0.06948836873128562,4718
D194_A,Maximal_intensity_of_nuclear_brightness_divided_by_average,1.3440515361011023,0.06978828372985196,0.00487040454595832,1.140136242,1.55277283,0.412636588,1.3374673495,0.09364519025000018,0.05192381531164914,0.07001680473546407,4718
D182_C,Nuclear_axis_ratio_in_mother,2.6597997151653243,0.1458427380554279,0.02127010424350416,2.290660666,4.722405275,2.431744609,2.6426591465,0.18572258625000027,0.05483222560852211,0.07027867611908091,4718
C117_A1B,Cell_outline_ratio,0.451781529782747,0.02869706693601462,0.0008235216507301035,0.326888679,0.670802507,0.343913828,0.4505990715,0.03200739075000003,0.06351978787139546,0.07103297093678106,4718
D116_C,Distance_between_two_nuclear_gravity_centers_through_middle_point_of_neck,33.99649059089233,2.6739880705443952,7.150212201413738,24.3448215,58.00627231,33.661450810000005,33.645179825,2.413890282500006,0.07865482654438331,0.07174550099168643,4718
D134_C,Distance_between_two_nuclear_brightest_points_through_middle_point_of_neck,34.97076636334675,2.7402027048306694,7.5087108635613165,24.48501268,58.79232702,34.307314340000005,34.60635394,2.519104132499997,0.07835695324374436,0.0727931100995957,4718
D196_C,Maximal_intensity_of_nuclear_brightness_divided_by_average_in_whole_cell,1.480197834842942,0.08322919287233424,0.006927098546180213,1.273374868,1.796273415,0.5228985469999998,1.471408558,0.10840343099999994,0.05622842495318564,0.07367323671635186,4718
C107_A1B,Long_axis_length_in_bud,16.121706667138618,1.4685175534896397,2.156543804907197,11.79954881,33.37948307,21.57993426,15.931681055,1.1776027649999996,0.09108945993186722,0.07391578835495333,4718
D173_A,Maximal_distance_between_nuclear_gravity_center_and_nuclear_outline,6.440467094076728,0.5442232408642059,0.2961789358967395,5.174640602,11.77149505,6.596854448,6.305290171499999,0.47028912224999964,0.08450058558093183,0.07458643606533973,4718
D174_C,Maximal_distance_between_nuclear_gravity_center_and_nuclear_outline_in_bud,5.894258090400382,0.4559583599975937,0.20789802605169527,4.364354546,11.35047596,6.986121414,5.8017789435000005,0.44342759250000086,0.07735636156485669,0.07642959113373203,4718
D180_C,Nuclear_minimum_radius_in_bud,4.1665195032910125,0.28494881675868233,0.08119582817217312,3.17849118,7.020989378,3.8424981980000004,4.125007733,0.31711777549999987,0.06839013150751114,0.0768768923663009,4718
D194_C,Maximal_intensity_of_nuclear_brightness_divided_by_average_in_mother,1.3272663511564222,0.07387165378845,0.005457021233440619,1.11003751,1.552062412,0.442024902,1.321524597,0.10161300499999992,0.055656992828972886,0.07689074061176927,4718
D179_C,Nuclear_minimum_radius_in_mother,4.572672249274269,0.34322484062228575,0.11780329122019345,3.746587105,8.144634707,4.398047602,4.516634396000001,0.35040096575000046,0.07506001346953287,0.07758010390664359,4718
D145_A1B,Distance_between_nuclear_outline_point_D7_and_mother_hip,17.78847521643281,1.5942372138097476,2.541592293895867,12.33561505,36.96377854,24.62816349,17.62596387,1.377746505000001,0.0896219149990443,0.07816573976671842,4718
D155_A,Angle_between_C1D2-1_and_C1C1-2,43.547213632488344,2.780552310003655,7.731471148666661,26.84928809,54.81244262,27.963154529999997,43.605991195,3.453763115000001,0.06385144026595602,0.0792038667245344,4718
A112_A1B,Actin_cd_ratio,0.8760155979957609,0.06261211447973122,0.0039202768796229685,0.082474227,1.0,0.917525773,0.885496183,0.07038658399999997,0.07147374387280511,0.07948829746677742,4718
D147_A,Relative_distance_of_nuclear_gravity_center_to_cell_center,0.281624420013777,0.01874128511950739,0.0003512357679306691,0.188582133,0.398357426,0.209775293,0.2810537145,0.02241424074999998,0.06654708820559868,0.07975073658028448,4718
D154_A,Angle_between_C1D1-1_and_C1C1-2,43.25537215997668,2.9143381652531657,8.493366941451189,22.96682087,55.73091681,32.76409594,43.350663325,3.4695925099999982,0.0673751726022541,0.0800355114289361,4718
D181_A1B,Nuclear_minimum_radius,5.14709137465727,0.3883396733529609,0.15080770189988435,4.197179896,8.863563038,4.666383142000001,5.06519546,0.4071610917499999,0.07544837367081311,0.08038408289776046,4718
D176_A,Nuclear_long_axis_length,11.40049222737325,1.033809292361234,1.0687616529724355,9.00960276,21.33589732,12.326294560000001,11.14702542,0.9027654225000017,0.09068111023127556,0.0809871143632865,4718
D109_C,Distance_between_nuclear_gravity_center_in_bud_and_middle_point_of_neck,14.235835165977113,1.3545968832077862,1.8349327159962487,10.91017795,31.41317809,20.503000139999997,14.061005609999999,1.140176555,0.09515401572260407,0.08108783870970948,4718
D131_C,Distance_between_nuclear_brightest_point_in_bud_and_middle_point_of_neck,14.646776656504874,1.374235005652521,1.8885218507607844,11.20086139,31.15187582,19.95101443,14.45761519,1.1729930750000008,0.09382508096361261,0.08113323391061986,4718
D103_C,Distance_between_nuclear_gravity_center_in_mother_and_mother_tip,16.945762532244594,1.5071908337283442,2.271624209274741,11.24559461,38.89661601,27.651021400000005,16.778759485000002,1.3736370850000021,0.08894204854225025,0.08186761877289059,4718
C106_A1B,Bud_direction,51.039860889080124,4.4602495366543495,19.89382592922534,16.52601743,65.94882293,49.42280550000001,51.70899859,4.253474394999998,0.08738757235932457,0.08225791469538489,4718
D130_C,Distance_between_nuclear_brightest_point_in_mother_and_middle_point_of_neck,20.353171261047052,1.6269515603291849,2.646971379657569,13.26419781,33.86851521,20.6043174,20.18809516,1.6756882800000028,0.07993602271911938,0.08300378350306938,4718
D177_C,Nuclear_long_axis_length_in_bud,10.329431209154516,0.8538556607091153,0.7290694893249999,7.316211328,19.94054818,12.624336852,10.155901665,0.8445735212500018,0.08266240835723665,0.08316086046408189,4718
D108_C,Distance_between_nuclear_gravity_center_in_mother_and_middle_point_of_neck,19.784577543976262,1.6007038547213148,2.562252830519676,13.41763154,33.53935311,20.12172157,19.615104505,1.631800969999997,0.08090664817903455,0.08319104135203774,4718
C125_C,Large_bud_ratio,0.8996339248870284,0.07175255880737284,0.005148429695405498,0.310344828,1.0,0.6896551719999999,0.913043478,0.07640067899999992,0.07975750671739416,0.08367693416676475,4718
D148_A,Relative_distance_of_nuclear_brightest_point_to_cell_center,0.30229737918143285,0.020841619931242734,0.0004343731213583744,0.226068946,0.431651775,0.20558282900000002,0.3007145565,0.02529564125,0.0689440973245554,0.08411844622493357,4718
D139_C,Distance_between_nuclear_brightest_point_in_bud_and_bud_tip,12.629531304275753,0.9917212565695902,0.983511050731967,9.468624686,24.39871968,14.930094994,12.519919860000002,1.058325195,0.07852399528348618,0.08453130745519005,4718
D128_C,Distance_between_nuclear_brightest_point_in_mother_and_mother_tip,16.78184626860958,1.539451765793572,2.3699117392049467,11.30057692,39.04368551,27.743108590000006,16.623896515,1.4090465049999992,0.09173315862588459,0.08476030296077666,4718
D121_C,Distance_between_nuclear_gravity_center_in_bud_and_bud_tip,12.932721431641585,1.0110260425033781,1.0221736586200425,9.412468842,24.72579209,15.313323248,12.839849095,1.1028436574999994,0.07817581534152367,0.0858922600522977,4718
D195_C,Maximal_intensity_of_nuclear_brightness_divided_by_average_in_bud,1.3085105155487495,0.08450950855924479,0.007141857036925068,1.057916062,1.595653535,0.537737473,1.3012685959999999,0.11388955574999993,0.06458450853473201,0.08752194289487021,4718
D173_C,Maximal_distance_between_nuclear_gravity_center_and_nuclear_outline_in_mother,6.7535710873912675,0.5956259548443137,0.3547702780842004,5.535210731,13.07758364,7.542372909,6.635781876499999,0.5825630134999997,0.08819422304687531,0.08779116377575522,4718
C101_A1B,Whole_cell_size,1166.7451538503815,131.20013887714774,17213.476441382852,815.0,2725.180952,1910.1809520000002,1143.1161285,100.55029074999993,0.1124496968718263,0.0879615712201894,4718
C11-1_A1B,Mother_cell_size,921.2820743738661,100.07062455033932,10014.129897894974,651.1780822,2009.619048,1358.4409658,903.90972375,81.10219897499996,0.10862104813919303,0.0897237819707656,4718
A102_C,Bud_actin_region_ratio_to_total_region,0.6062540813236541,0.04473452655676603,0.0020011778662580052,0.405708394,0.860554012,0.454845618,0.608521775,0.05492785449999993,0.07378841303483796,0.09026440261730967,4718
C101_C,Whole_cell_size,1479.84039349025,168.17018230197294,28281.210215478815,1045.178571,3436.122807,2390.9442360000003,1451.1227880000001,131.13920474999986,0.11364075682874035,0.09037085340706527,4718
C111_A1B,Distance_between_bud_tip_and_mother_short_axis_extension,21.42936133302035,2.3972368782203586,5.74674465029969,13.27785236,40.758561,27.48070864,21.008417389999998,1.9109812125000012,0.11186693065492687,0.09096264497342041,4718
C11-1_C,Mother_cell_size,914.082038944044,103.0578748174604,10620.92556189134,638.0,2085.157895,1447.1578949999998,896.80064105,81.8465005999999,0.11274466670028196,0.09126498895470421,4718
D176_C,Nuclear_long_axis_length_in_mother,11.93427001482323,1.1101241451251995,1.232375617589955,9.426549398,23.95352248,14.526973082,11.718040385,1.0738620850000018,0.09301986160413202,0.09164178051260419,4718
C110_A1B,Distance_between_bud_tip_and_mother_long_axis_extension,21.55994549191225,2.032603005059318,4.131474976176169,7.48055438,36.70710509,29.226550709999998,21.665055549999998,1.9931136850000009,0.09427681558016023,0.09199670318869785,4718
C110_C,Distance_between_bud_tip_and_mother_long_axis_extension,29.424045301396777,2.6559759501566362,7.054208247810447,12.24676392,51.72263019,39.47586627,29.528882375000002,2.718264717500002,0.09026549282910992,0.09205443954768038,4718
D147_A1B,Relative_distance_of_nuclear_gravity_center_to_mother_center,0.3272348269993641,0.02499024843576997,0.0006245125168815033,0.212372169,0.463046939,0.25067477,0.3268775575,0.030792723250000043,0.07636793633771301,0.09420262279706994,4718
C106_C,Bud_direction,51.662564972376,4.649351399118651,21.61646843248656,18.38570737,66.72313357,48.3374262,52.28649899,4.998075700000001,0.08999459089196717,0.09559017713073317,4718
C11-1_A,Whole_cell_size,803.831858824841,91.86414238099194,8439.02065539516,546.1990291,1865.268293,1319.0692639000001,788.8877949,76.59249392499987,0.11428278361011018,0.09708921144445996,4718
D125_C,Distance_between_nuclear_gravity_center_in_mother_and_mother_hip,15.34093321190335,1.6366895247592088,2.6787526004565247,10.59850225,39.03736093,28.43885868,15.12694836,1.507900209999999,0.10668774201358672,0.09968304076368242,4718
C11-2_C,Bud_cell_size,564.4835720442985,70.2094823050656,4929.37140554532,377.5352113,1339.929825,962.3946136999999,554.077961,55.365011749999894,0.12437825613028794,0.09992278279770796,4718
D148_A1B,Relative_distance_of_nuclear_brightest_point_to_mother_center,0.3488855418601102,0.027022877258042085,0.0007302358953032081,0.244680295,0.484052894,0.23937259900000002,0.3477933085,0.03504391174999999,0.07745484984550385,0.10076074177833122,4718
C105_A1B,Neck_position,39.226292570014834,4.107875135720388,16.874638130669794,11.67049057,59.4501407,47.77965013,39.771863745000005,4.027282670000005,0.10472249265943907,0.10125959134882892,4718
D141_C,Distance_between_nuclear_brightest_point_in_mother_and_mother_hip,14.97613587102586,1.6591613047294915,2.7528162351116685,10.55010758,39.17953411,28.629426529999996,14.7415148,1.4929348499999993,0.11078700934728095,0.10127418180932121,4718
A102_A1B,Bud_actin_region_ratio_to_total_region,0.6301728651642645,0.05804200434679414,0.00336887426859327,0.151279476,0.844055416,0.69277594,0.6326342635,0.06489367525,0.09210489304655252,0.10257692160235012,4718
D150_C,Relative_distance_of_nuclear_brightest_point_in_bud_to_bud_center,0.3322246113851208,0.02759466979863795,0.0007614658012958614,0.227464084,0.502719774,0.27525569,0.330979766,0.034200688749999986,0.0830602816678434,0.10333166031061845,4718
D161_A1B,Angle_between_D3-1D4-1_and_C1-1C1-2_or_between_D3-3D4-3_and_C1-1C1-2,43.11859374572912,3.44728212196811,11.883754028440954,24.34413434,55.76237115,31.41823681,43.169301239999996,4.497532934999995,0.07994885320928542,0.10418359356793692,4718
D143_A1B,Distance_between_nuclear_outline_point_D6-1_and_middle_point_of_neck,7.176458811381518,0.6543056411965676,0.42811587210165153,5.157651276,14.26957021,9.111918933999998,7.1302842915,0.7431010992500005,0.09117388650776766,0.10421759762592496,4718
D197_C,Ratio_of_nuclear_size,0.8423096380226791,0.06531439445065892,0.004265970122456266,0.593424323,1.468143708,0.8747193849999999,0.843202635,0.08824597499999998,0.07754202433677998,0.10465571540819482,4718
D175_A1B,Maximal_distance_between_nuclear_gravity_center_and_nuclear_outline,7.612498981988553,0.7684962487924686,0.5905864844080958,6.098604602,16.86528299,10.766678388,7.4475132760000005,0.7802186732500003,0.10095190168310805,0.10476230714006185,4718
D149_C,Relative_distance_of_nuclear_gravity_center_in_bud_to_bud_center,0.30299701735523527,0.02620189908480795,0.0006865395156504596,0.186183981,0.457222033,0.27103805200000003,0.302202756,0.03178941399999996,0.08647576571385424,0.10519233649874443,4718
D159_C,Angle_between_D2-1D2-2_and_C1-1C1-2,45.22894290522255,4.504546032511761,20.290934959017445,13.58206939,59.33801932,45.75594993,45.74338491,4.967621972499998,0.09959432485413282,0.10859760339716402,4718
D158_C,Angle_between_D1-1D1-2_and_C1-1C1-2,45.21440586631412,4.502926858807105,20.27635029576642,12.94690562,58.76044162,45.813536,45.761427985,4.9735889149999934,0.09959053475392231,0.10868517732073989,4718
