,noise_var,total_var,reliability,ceiling,robust_cv,label,description,score,rank
C112_A1B,0.14998165501739671,0.9526781988775463,0.8425683980234812,0.9179152455556456,0.049545231542558375,Distance_between_middle_point_of_neck_and_mother_center,Distance from neck to mother cell's center on stage A1B,0.04547832337749879,203.0
C112_C,0.14955975123322435,1.0130187316466885,0.8523623043079263,0.9232346962218904,0.048558226085040714,Distance_between_middle_point_of_neck_and_mother_center,Distance from neck to mother cell's center on stage C,0.04483063910869643,208.0
C113_A1B,1.0176241458549797,3.659995585603821,0.7219602805375807,0.8496824586500422,0.05907367243514742,Distance_between_bud_tip_and_mother_long_axis_through_middle_point_of_neck,Distance from bud tip to mother cell's long axis along bud direction on stage A1B,0.050193863236183286,188.0
C113_C,1.3550764200044927,6.894848677550043,0.8034653864969239,0.8963623076060951,0.05428278908453665,Distance_between_bud_tip_and_mother_long_axis_through_middle_point_of_neck,Distance from bud tip to mother cell's long axis along bud direction on stage C,0.048657046087110224,195.0
C114_A1B,0.000519631188804338,0.0019043361253508258,0.7271326306911239,0.8527207225646178,0.039545077613894454,Bud_axis_ratio,Roundness of bud on stage A1B,0.033720907156793975,231.0
C114_C,0.00028640658622620377,0.0023181263335415574,0.876449103708407,0.9361886047738495,0.0312994104871656,Bud_axis_ratio,Roundness of bud on stage C,0.029302151434223555,237.0
C115_A,0.00014558998377331092,0.002620367732318338,0.9444391022001702,0.9718225672416597,0.024119897132804543,Whole_cell_axis_ratio,Roundness of mother cell on stage A,0.023440260353206857,245.0
C115_A1B,0.00021873178776891556,0.0027374654422852094,0.9200969683890072,0.9592168515977016,0.025852631243759704,Mother_axis_ratio,Roundness of mother cell on stage A1B,0.024798279547155556,243.0
C115_C,0.0002459155130237713,0.002880835055720257,0.9146374199607592,0.956366781083889,0.028144077649713998,Mother_axis_ratio,Roundness of mother cell on stage C,0.026916060948431998,241.0
C116_A1B,0.0005036314734520487,0.0006979562572161654,0.2784197172172238,0.5276549224798569,0.03998918942298731,Axis_ratio_ratio,Ratio of roundness of mother cell to that of bud on stage A1B,0.021100492645018683,247.0
C116_C,0.00025232466789631205,0.0004955358143951896,0.4908043766639171,0.7005743191581583,0.030869905485965226,Axis_ratio_ratio,Ratio of roundness of mother cell to that of bud on stage C,0.021626663018306784,246.0
C117_A1B,0.00042096324940271924,0.0008236962366217148,0.4889338682312713,0.6992380626305116,0.07103297093678106,Cell_outline_ratio,Ratio of the countour length on stage A1B,0.049668956980724224,190.0
C117_C,0.00020529280019061251,0.0006102796962508776,0.6636086675473807,0.814621794176525,0.03717152349104558,Cell_outline_ratio,Ratio of the countour length on stage C,0.030280733158550396,235.0
C118_A1B,0.00041317966441648646,0.0008944533181146128,0.5380645853185344,0.7335288578635024,0.11663465919318067,Cell_size_ratio,Ratio of the cell sizes on stage A1B,0.08555488834527267,110.0
C118_C,0.0004049013860096056,0.001239598826791615,0.6733609477046785,0.8205857345242351,0.06544701691172555,Cell_size_ratio,Ratio of the cell sizes on stage C,0.05370488844492835,179.0
C119,0.004123132436901975,0.00786244318652066,0.4755914492367136,0.6896313864933307,0.2639893189233657,no_bud_ratio,Ratio of no bud,0.18205532002855074,33.0
C12-1_A,5.218734201879224,34.48418846670103,0.8486629834157591,0.9212290613174114,0.04909941319458844,Whole_cell_outline_length,Contour length of mother cell on stage A,0.04523180632848643,206.0
C12-1_A1B,4.868812618330393,30.704803993172863,0.8414315681867579,0.9172957910002411,0.047330460305901954,Mother_cell_outline_length,Contour length of mother cell on stage A1B,0.04341603202470785,212.0
C12-1_C,4.999509496971932,31.938160953907566,0.8434628247948556,0.9184023218583758,0.04636008680546452,Mother_cell_outline_length,Contour length of mother cell on stage C,0.04257721136369447,216.0
C12-2_A1B,4.0389341335972855,14.190207979347788,0.7153717451163867,0.8457965151952251,0.06948836873128562,Bud_cell_outline_length,Contour length of daughter cell on stage A1B,0.05877302011952223,165.0
C12-2_C,4.0416518734258595,23.792341072569513,0.8301280289695607,0.9111136202305181,0.05518186828835331,Bud_cell_outline_length,Contour length of daughter cell on stage C,0.05027695178728521,187.0
C120,0.000822720436840925,0.0011655253164976895,0.2941204921115449,0.542328767549302,0.24797108048488753,small_bud_ratio,Ratio of small bud,0.13448185046723785,56.0
C121,0.0010682407199176297,0.0012830519113018718,0.16742205790121156,0.4091724060847842,0.27792411094415176,medium_bud_ratio,Ratio of medium bud,0.11371887718399308,70.0
C122,0.001809212527682312,0.003484811912192346,0.48082921739552076,0.6934185009036901,0.34238242582587985,large_bud_ratio,Ratio of large bud,0.23741430845195047,20.0
C123,0.0024885215736369926,0.003256380288572185,0.23580130294667545,0.48559376329054665,0.22654623372186286,small_bud_ratio_to_budded_cells,Ratio of small bud to budded cells,0.11000943819229914,77.0
C123_A1B,0.0035600499389591973,0.004836872277772063,0.2639768564244557,0.5137867810915883,0.1745655690000001,Small_bud_ratio,Ratio of small bud on stage A1B,0.08968948178593159,102.0
C123_C,3.2786885245901655e-06,1.5053566810150334e-05,0.7821985602522182,0.8844199004162097,,Small_bud_ratio,Ratio of small bud on stage C,,
C124,0.0017250847223081163,0.002085059174194714,0.17264471739782927,0.41550537589522146,0.1964430914700499,medium_bud_ratio_to_buded_cells,Ratio of medium bud to budded cells,0.08162316056328246,117.0
C124_A1B,0.002908084969952958,0.0033759683105481033,0.13859233782890057,0.3722799186484554,0.18048196883024284,Medium_bud_ratio,Ratio of medium bud on stage A1B,0.06718981267363587,146.0
C124_C,0.002593337994524526,0.005051121784862734,0.4865817723309951,0.697554135770834,0.8856107453581544,Medium_bud_ratio,Ratio of medium bud on stage C,0.6177614381076716,2.0
C125,0.0025781965527448616,0.004064824732457768,0.36572995825431986,0.6047561146894836,0.21410105275477184,large_bud_ratio_to_buded_cells,Ratio of large bud to budded cells,0.129478920814904,58.0
C125_A1B,0.0011134379993980655,0.0028843669045754555,0.6139749081048513,0.783565509772381,0.6303784885215139,Large_bud_ratio,Ratio of large bud on stage A1B,0.4939428417079031,4.0
C125_C,0.002618274496823969,0.0051495211581350725,0.4915499099003233,0.7011062044371903,0.08367693416676475,Large_bud_ratio,Ratio of large bud on stage C,0.05866641771260108,166.0
C126_A,132.3798521769215,168.44245989515252,0.21409452070860457,0.4627034911350946,0.15410973289315544,Brightness_difference_of_cell_wall,Unevenness of brightness on stage A,0.07130711142755995,132.0
C126_A1B,136.56863233051448,141.62045148083016,0.03567153682601765,0.18886909971199006,0.13674299946531512,Brightness_difference_of_cell_wall,Unevenness of brightness on stage A1B,0.025826527200931208,242.0
C126_C,133.08655727005532,146.6583164605876,0.09253999035356097,0.3042038631470037,0.13353958711396752,Brightness_difference_of_cell_wall,Unevenness of brightness on stage C,0.040623258283124755,225.0
C127_A,0.01967933351275593,0.03054103085980871,0.35564278746551814,0.5963579356942592,0.04749201666635131,Thickness_difference_of_cell_wall,Unevenness of cell wall thickness on stage A,0.02832224102110262,239.0
C127_A1B,0.07686698982486258,0.18123717766535705,0.5758762588612332,0.7588651124285746,0.11644619118000214,Thickness_difference_of_cell_wall,Unevenness of cell wall thickness on stage A1B,0.08836695196169161,107.0
C127_C,0.03050519984743983,0.04154801305375259,0.26578438761984013,0.5155428087170261,0.060885608707397766,Thickness_difference_of_cell_wall,Unevenness of cell wall thickness on stage C,0.031389137723457666,234.0
C128_A1B,0.4558096787837934,4.32510073628862,0.8946129335302084,0.9458398033124893,0.04651337000356111,Distance_between_middle_point_of_neck_and_mother_hip,Length from bud neck to the farthest point on mother cell on stage A1B,0.04399419673556928,210.0
C128_C,0.46163860653323835,4.527170204448768,0.8980293239075494,0.9476440913695128,0.044996940037104936,Distance_between_middle_point_of_neck_and_mother_hip,Length from bud neck to the farthest point on mother cell on stage C,0.04264108435587076,215.0
C13_A,3.537148278952671e-11,1.7085820590738113e-10,0.7929775593646295,0.8904928744041861,0.15227272727272728,Whole_cell_fitness_for_ellipse,Fitness on stage A,0.13559777860245562,55.0
C13_A1B,2.690455311536419e-11,1.454796434910897e-10,0.8150631080078772,0.9028084558796939,0.16289592760181004,Mother_cell_fitness_for_ellipse,Fitness on stage A1B,0.14706382086728054,48.0
C13_C,4.3340546307700416e-11,2.0756881776260523e-10,0.7911991465053838,0.8894937585533604,0.18156424581005592,Mother_cell_fitness_for_ellipse,Fitness on stage C,0.16150026342449286,38.0
A101_A,0.0027851120685889698,0.003266379833022034,0.14733980401409663,0.3838486733259562,0.29435702192794044,Actin_region_ratio_in_whole_cell,Actin region ratio on stage A,0.11298855235121934,72.0
A101_A1B,0.0010176147513520143,0.0011276566176211865,0.097584552380234,0.3123852627449541,0.1651078379439367,Actin_region_ratio_in_whole_cell,Actin region ratio on stage A1B,0.05157725533736797,182.0
A101_C,0.002166030871514886,0.0016720213653497143,0.0,0.0,0.19117545106608572,Actin_region_ratio_in_whole_cell,Actin region ratio on stage C,0.0,252.0
