dataset,model,size,embedding,is_pert,aggregation,num_params,test_spearman,val_spearman,cv_spearman_mean,cv_spearman_std,test_pearson,val_pearson,cv_pearson_mean,cv_pearson_std,test_r2,val_r2,cv_r2_mean,cv_r2_std,test_mse,val_mse,cv_mse_mean,cv_mse_std
interaction,random_forest,1e3,random_1000,True,sum,13280.0,0.3223762376237624,0.5317987752762467,0.3976288462235655,0.0753491183659541,0.2126288499772649,0.5556508391332886,0.2854151042387541,0.105849965403699,0.0260031173434908,0.297753377653676,0.0753939821422225,0.0633325960621463,0.0042326495199349,0.0011969033209789,0.0032061655946531,0.0011611705000899
interaction,random_forest,1e4,calm,False,sum,198526.0,0.5140802312720641,0.4258766172089117,0.4580739958027831,0.020681466886873,0.4405587198273366,0.3299286372981612,0.3674600283979186,0.0310896570260819,0.1928868458845173,0.0938214717180586,0.1232006981038609,0.0267808180526859,0.0029391692627186,0.0032204083234073,0.0030960687080643,0.0003889476821042
interaction,random_forest,1e4,codon_frequency,True,sum,61076.0,0.4874370692391148,0.429035415323565,0.443215204991289,0.0146212678743671,0.4139479078779754,0.3274501601035685,0.3531674254965343,0.0354637650045928,0.1652057389789289,0.1045864226714496,0.1235795253327646,0.0249931719255884,0.0030399723014995,0.0031821514716177,0.0030962564224514,0.0004007466995643
interaction,random_forest,1e4,esm2_t33_650M_UR50D_all,False,sum,2114.0,0.5014574070497527,0.4263634298310896,0.4574302185625969,0.0186983404797675,0.3890683346732614,0.3230452414885649,0.3579974765691829,0.0368902304004741,0.1475161247652058,0.1018402057746169,0.1269661132459407,0.0274092688674545,0.0031043904937954,0.0031919110713836,0.0030844587467533,0.0004017496551617
interaction,random_forest,1e4,esm2_t33_650M_UR50D_no_dubious,True,sum,5552.0,0.4903422911251198,0.4169754292918912,0.4521029505491958,0.016133728788339,0.3883803105979486,0.3224638148617431,0.3568779893631035,0.0384655780211293,0.1465942618274671,0.1014263456801557,0.1260316007447459,0.0284963140162877,0.0031077475363606,0.0031933818316261,0.0030876061285227,0.0004018581077397
interaction,random_forest,1e4,fudt_downstream,False,sum,2890.0,0.4849286555033147,0.4028313731748413,0.4394581587204306,0.0143412722052625,0.3997134779868642,0.3183599105995894,0.3516740326151971,0.0388712680494336,0.1569020866307462,0.0986364335616565,0.1225508762977117,0.0285776603154287,0.0030702107378645,0.0032032967469198,0.0031020195048163,0.0004211497827925
interaction,random_forest,1e4,fudt_upstream,True,sum,2092.0,0.4846248965940788,0.3964935034785846,0.4419354850665618,0.0091048044611601,0.3809288630265531,0.2516339303624462,0.3599065367246317,0.0381490942058989,0.1420189464120047,0.0316295898797553,0.1277864311075622,0.0283543533820793,0.0031244089256324,0.0034414279331426,0.0030816137795877,0.0004038836666299
interaction,random_forest,1e4,normalized_chrom_pathways,False,mean,45578.0,0.4874542698463165,0.4015942082554805,0.4453446213225822,0.0190165167367932,0.3954124158105008,0.3181536756084354,0.349456180383881,0.0375435258900598,0.1533570555242518,0.0934536854709049,0.1193353215036771,0.0276885057344273,0.0030831202616537,0.0032217153747825,0.0031119876023202,0.0004110366154917
interaction,random_forest,1e4,nt_window_5979,False,sum,375710.0,0.4527604423393793,0.4132670616099112,0.4286663262626793,0.014280933780916,0.3756198680482837,0.3001189421649982,0.3236259518203795,0.02293380705078,0.1240444160113557,0.0397258727745682,0.0718188383068161,0.0180002316450146,0.0031898646612786,0.003412655117676,0.0032769945991576,0.0003963467232472
interaction,random_forest,1e4,nt_window_five_prime_1003,True,sum,1011250.0,0.5017320799724816,0.4202981629360603,0.4430579921992857,0.0127979304343182,0.4303397466998919,0.3408806335356069,0.345547410727793,0.0391341997362512,0.1808842651011183,0.0873448315174969,0.0949173649982575,0.0356658256247296,0.0029828776550968,0.0032434251989924,0.0031965831932361,0.0004197788569677
