target,partner,epsilon,p_value
YLR313C,YDR243C,0.0321,5.348e-05
YLR313C,YDR267C,0.0471,0.07554
YLR313C,YDR280W,0.0031,0.4643
YLR313C,YDR288W,0.0358,0.3389
YLR313C,YDR288W,0.0523,0.2125
YLR313C,YDR292C,-0.0111,0.4028
YLR313C,YDR299W,-0.0139,0.1555
YLR313C,YDR301W,0.026,0.2993
YLR313C,YDR302W,0.0034,0.4853
YLR313C,YDR303C,0.0088,0.43
YLR313C,YDR308C,-0.1024,0.1496
YLR313C,YDR311W,-0.1012,0.1787
YLR313C,YDR311W,-0.0134,0.3675
YLR313C,YDR324C,-0.0272,0.3341
YLR313C,YDR324C,0.0453,0.003944
YLR313C,YDR324C,0.0072,0.3728
YLR313C,YDR325W,-0.002,0.4689
YLR313C,YDR331W,0.0692,0.2434
YLR313C,YDR339C,0.0463,4.453e-06
YLR313C,YDR341C,0.0006,0.4887
YLR313C,YDR361C,-0.0106,0.4303
YLR313C,YDR362C,0.0076,0.46
YLR313C,YDR364C,-0.0142,0.1308
YLR313C,YDR365C,-0.0414,0.2661
YLR313C,YDR365C,-0.0037,0.4608
YLR313C,YDR373W,0.0016,0.4901
YLR313C,YDR376W,-0.0425,0.1965
YLR313C,YDR381W,-0.0255,0.382
YLR313C,YDR394W,0.1286,8.914e-07
YLR313C,YDR397C,-0.0883,0.0474
YLR313C,YDR412W,0.1242,0.07534
YLR313C,YDR429C,0.0069,0.252
YLR313C,YDR434W,0.0397,0.1423
YLR313C,YDR437W,0.0148,0.3997
YLR313C,YDR437W,0.0618,0.2322
YLR313C,YDR449C,0.0062,0.454
YLR313C,YDR454C,0.01,0.2174
YLR313C,YDR460W,-0.0063,0.3841
YLR313C,YDR464W,0.0319,0.01774
YLR313C,YDR468C,-0.0182,0.4352
YLR313C,YDR472W,0.0375,0.04408
YLR313C,YDR472W,-0.0152,0.382
YLR313C,YDR473C,0.0916,0.1532
YLR313C,YDR478W,-0.0296,0.3268
YLR313C,YDR478W,0.051,0.2112
YLR313C,YDR489W,-0.0313,0.2799
YLR313C,YDR498C,0.0488,0.1834
YLR313C,YDR510W,0.0011,0.4915
YLR313C,YDR527W,0.0344,0.001876
YLR313C,YDR531W,-0.0387,0.1637
YLR313C,YEL002C,-0.0036,0.4707
YLR313C,YEL002C,-0.298,0.0003211
YLR313C,YEL019C,0.0438,0.3938
YLR313C,YEL026W,0.0009,0.4829
YLR313C,YEL032W,0.0341,0.3785
YLR313C,YEL034W,-0.0195,0.3974
YLR313C,YEL034W,0.1028,0.2205
YLR313C,YEL034W,-0.0342,0.3942
YLR313C,YEL034W,-0.0032,0.4852
YLR313C,YEL035C,-0.0212,0.3938
YLR313C,YEL035C,0.006,0.4402
YLR313C,YEL055C,0.0038,0.4776
YLR313C,YER003C,-0.0931,2.607e-09
YLR313C,YER006W,-0.0215,0.3378
YLR313C,YER008C,-0.0023,0.4821
YLR313C,YER009W,-0.208,7.485e-16
YLR313C,YER009W,-0.0371,0.236
YLR313C,YER012W,0.0073,0.4329
YLR313C,YER013W,-0.0489,0.3014
YLR313C,YER018C,0.0245,0.258
YLR313C,YER022W,0.0021,0.4538
YLR313C,YER025W,0.1153,0.1443
YLR313C,YER025W,-0.0217,0.2646
YLR313C,YER038C,0.059,0.2533
YLR313C,YER048W-A,0.0371,0.2813
YLR313C,YER082C,-0.0309,0.0008948
YLR313C,YER082C,0.0571,0.008166
YLR313C,YER093C,-0.0937,0.05125
YLR313C,YER093C,-0.0326,1.918e-32
YLR313C,YER093C,-0.1374,0.002157
YLR313C,YER094C,-0.0547,0.009897
YLR313C,YER125W,-0.0526,0.002958
YLR313C,YER125W,-0.0176,0.3671
YLR313C,YER125W,-0.0057,0.4712
YLR313C,YER127W,0.0583,0.003807
YLR313C,YER127W,-0.0361,0.1364
YLR313C,YER136W,-0.0038,0.4546
YLR313C,YER147C,-0.0174,0.4405
YLR313C,YER148W,-0.0456,0.2147
YLR313C,YER157W,-0.0552,0.04396
YLR313C,YER157W,-0.0389,0.2193
YLR313C,YER159C,0.0193,0.1942
YLR313C,YER165W,-0.0726,0.2438
YLR313C,YER165W,-0.007,0.3531
YLR313C,YER165W,-0.0057,0.4347
YLR313C,YER165W,-0.0404,0.2553
YLR313C,YER168C,0.0541,0.1295
YLR313C,YER171W,-0.0049,0.4319
YLR313C,YER172C,-0.0234,0.3872
YLR313C,YER172C,-0.0423,0.1406
YLR313C,YER172C,-0.0043,0.4519
YLR313C,YER172C,0.0117,0.4205
YLR313C,YFL002C,0.1085,0.1086
YLR313C,YFL002C,0.0181,0.4181
YLR313C,YFL005W,-0.0547,0.1589
YLR313C,YFL008W,0.1083,0.175
YLR313C,YFL008W,0.0321,0.3456
YLR313C,YFL009W,-0.0071,0.07439
YLR313C,YFL009W,-0.0024,0.4811
YLR313C,YFL009W,0.0027,0.4807
YLR313C,YFL017C,0.0229,0.4029
YLR313C,YFL022C,-0.0277,0.09135
YLR313C,YFL034C-B,0.052,0.1022
YLR313C,YFL034C-B,-0.0092,0.447
YLR313C,YFL034C-B,0.128,0.08322
YLR313C,YFL034C-B,-0.007,0.4474
YLR313C,YFL034C-B,0.0492,0.2243
YLR313C,YFL034C-B,-0.02,0.3624
YLR313C,YFL034C-B,-0.0222,0.1671
YLR313C,YFL034C-B,-0.0793,5.374e-14
YLR313C,YFL037W,0.0451,0.2031
YLR313C,YFL038C,0.0353,0.2951
YLR313C,YFL039C,-0.0721,0.1092
YLR313C,YFL039C,-0.0023,0.4643
YLR313C,YFL039C,-0.0101,0.4299
YLR313C,YFL039C,0.0178,0.3222
YLR313C,YFL039C,-0.018,0.4289
YLR313C,YFL039C,-0.0034,0.4415
YLR313C,YFL039C,0.0187,0.3883
YLR313C,YFL039C,0.0348,0.2434
YLR313C,YFL039C,0.0082,0.3774
YLR313C,YFL039C,0.0195,0.3779
YLR313C,YFL039C,0.0136,0.354
YLR313C,YFL039C,0.0364,0.2159
YLR313C,YFL039C,-0.0225,0.3437
YLR313C,YFL039C,0.0108,0.3633
YLR313C,YFL039C,-0.0252,0.2803
YLR313C,YFL045C,-0.0131,0.3322
YLR313C,YFR003C,0.0593,0.002679
YLR313C,YFR004W,0.0291,0.3273
YLR313C,YFR004W,0.0095,0.4402
YLR313C,YFR005C,-0.0371,0.2915
YLR313C,YFR027W,0.0001,0.4995
YLR313C,YFR028C,-0.0003,0.4867
YLR313C,YFR028C,0.048,7.656e-19
YLR313C,YFR036W,0.0055,0.4596
YLR313C,YFR037C,-0.0497,0.07489
YLR313C,YFR037C,-0.0251,0.3641
YLR313C,YFR042W,-0.0149,0.3898
YLR313C,YFR050C,-0.0655,0.1243
YLR313C,YFR051C,0.0303,0.007247
YLR313C,YFR052W,0.0528,0.1887
YLR313C,YGL001C,0.0371,0.06915
YLR313C,YGL008C,-0.0021,0.4847
YLR313C,YGL011C,-0.0157,0.3877
YLR313C,YGL022W,-0.002,0.4875
YLR313C,YGL022W,-0.0104,0.3999
YLR313C,YGL044C,-0.019,0.4054
YLR313C,YGL047W,0.0235,0.3811
YLR313C,YGL048C,0.0079,0.2485
YLR313C,YGL048C,-0.029,0.3618
YLR313C,YGL055W,0.043,0.3014
YLR313C,YGL061C,-0.0433,0.1844
YLR313C,YGL065C,-0.0114,0.4051
YLR313C,YGL073W,0.0698,0.09557
YLR313C,YGL091C,0.0386,0.1109
YLR313C,YGL092W,0.1111,3.319e-23
YLR313C,YGL093W,0.0169,0.09433
YLR313C,YGL093W,-0.051,0.3025
YLR313C,YGL097W,-0.0068,0.4215
YLR313C,YGL097W,0.0008,0.4967
YLR313C,YGL098W,-0.1,0.09108
YLR313C,YGL099W,-0.0956,1.073e-29
YLR313C,YGL103W,0.0647,0.249
YLR313C,YGL111W,0.0206,0.1185
YLR313C,YGL111W,0.0163,0.3021
YLR313C,YGL112C,0.0896,0.05843
YLR313C,YGL113W,0.0003,0.4974
YLR313C,YGL116W,0.0589,0.003542
YLR313C,YGL116W,0.0398,0.1593
YLR313C,YGL116W,0.0652,0.03677
YLR313C,YGL120C,-0.0393,0.1903
YLR313C,YGL122C,-0.0323,0.05375
YLR313C,YGL123W,-0.0263,0.3107
YLR313C,YGL123W,0.0186,0.3726
YLR313C,YGL130W,0.0139,0.1919
YLR313C,YGL130W,0.0098,0.3868
YLR313C,YGL130W,0.0609,0.182
YLR313C,YGL130W,-0.0254,0.2914
YLR313C,YGL137W,0.0015,0.4579
YLR313C,YGL142C,-0.0044,0.4432
