index,gene1,gene2,gene3,prediction,mutant_type
184,YLR104W,YLR312C-B,YPL046C,0.37963867,triple
185,YDR057W,YLR104W,YLR312C-B,0.37939453,triple
186,YDR057W,YJL017W,YLR104W,0.37939453,triple
187,YDR057W,YKL200C,YLR104W,0.37939453,triple
188,YDR057W,YIL174W,YLR104W,0.37939453,triple
189,YDR057W,YKL033W-A,YLR351C,0.3791504,triple
190,YIL174W,YLR351C,YPL046C,0.37719727,triple
191,YDR057W,YIL174W,YLR351C,0.37695312,triple
192,YBR203W,YDR057W,YGL087C,0.37695312,triple
193,YBR203W,YDR057W,YPL046C,0.37548828,triple
194,YBR158W,YDR057W,YGL087C,0.3720703,triple
195,YDR057W,YKL033W-A,YLL017W,0.37060547,triple
196,YDR057W,YIL174W,YKL033W-A,0.37060547,triple
197,YDR057W,YKL033W-A,YLR312C-B,0.37060547,triple
198,YDR057W,YKL033W-A,YKL200C,0.37060547,triple
199,YDR057W,YJL017W,YKL033W-A,0.37060547,triple
200,YDR057W,YGL087C,YLR104W,0.37036133,triple
201,YDR057W,YLL012W,YPL046C,0.36938477,triple
202,YDR057W,YJR060W,YPL046C,0.36743164,triple
203,YDR057W,YER079W,YLL005C,0.36669922,triple
204,YDR057W,YGL087C,YKR054C,0.3647461,triple
205,YDR057W,YGL087C,YLR351C,0.3630371,triple
206,YJL017W,YKL033W-A,YPL046C,0.35864258,triple
207,YIL174W,YKL033W-A,YPL046C,0.35864258,triple
208,YKL033W-A,YLR312C-B,YPL046C,0.35864258,triple
209,YKL033W-A,YLL017W,YPL046C,0.35864258,triple
210,YKL033W-A,YKL200C,YPL046C,0.35864258,triple
211,YDR155C,YOR126C,YPR053C,0.35668945,triple
212,YBR158W,YOR126C,YPL046C,0.35375977,triple
213,YGL087C,YKL200C,YPL046C,0.35351562,triple
214,YGL087C,YLR312C-B,YPL046C,0.35351562,triple
215,YGL087C,YJL017W,YPL046C,0.35351562,triple
216,YGL087C,YLL017W,YPL046C,0.35351562,triple
217,YGL087C,YIL174W,YPL046C,0.35351562,triple
218,YIL174W,YKR054C,YPL046C,0.35131836,triple
219,YJL017W,YKR054C,YPL046C,0.35131836,triple
220,YKR054C,YLL017W,YPL046C,0.35131836,triple
221,YKR054C,YLR312C-B,YPL046C,0.35131836,triple
222,YDR057W,YGL087C,YKL033W-A,0.34887695,triple
223,YDR057W,YJR060W,YLL012W,0.34814453,triple
224,YER079W,YLL005C,YPL046C,0.34570312,triple
225,YBR246W,YDR057W,YOR126C,0.34277344,triple
226,YBR203W,YDR057W,YJR060W,0.34228516,triple
227,YBR246W,YDR057W,YKL033W-A,0.3413086,triple
228,YBR203W,YLL005C,YPL046C,0.34057617,triple
229,YLR104W,YMR244W,YPL046C,0.34033203,triple
230,YKL033W-A,YMR244W,YPL046C,0.3395996,triple
231,YDR057W,YLR104W,YPL046C,0.3388672,triple
232,YLR351C,YMR244W,YPL046C,0.33813477,triple
233,YER079W,YLL005C,YPR053C,0.33789062,triple
234,YBR203W,YMR244W,YPL046C,0.33544922,triple
235,YIL174W,YLR104W,YOR126C,0.32910156,triple
236,YLR104W,YLR312C-B,YOR126C,0.32910156,triple
237,YJL017W,YLR104W,YOR126C,0.32910156,triple
238,YKL200C,YLR104W,YOR126C,0.32910156,triple
239,YDR057W,YKL200C,YPL081W,0.32592773,triple
240,YDR057W,YIL174W,YPL081W,0.32592773,triple
241,YDR057W,YJL017W,YPL081W,0.32592773,triple
242,YDR057W,YLR312C-B,YPL081W,0.32592773,triple
243,YDR057W,YLR104W,YOR126C,0.32470703,triple
244,YGL087C,YMR244W,YPL046C,0.3239746,triple
245,YDR057W,YGL087C,YLL017W,0.32299805,triple
246,YDR057W,YGL087C,YIL174W,0.32299805,triple
247,YDR057W,YGL087C,YJL017W,0.32299805,triple
248,YDR057W,YGL087C,YLR312C-B,0.32299805,triple
249,YDR057W,YGL087C,YKL200C,0.32299805,triple
250,YKL033W-A,YLR104W,YPR053C,0.32202148,triple
251,YDR057W,YLL012W,YOR126C,0.3161621,triple
252,YBR246W,YDR057W,YGL087C,0.31347656,triple
253,YBR246W,YDR057W,YJL017W,0.31201172,triple
254,YBR246W,YDR057W,YIL174W,0.31201172,triple
255,YBR246W,YDR057W,YLR312C-B,0.31201172,triple
256,YBR246W,YDR057W,YKL200C,0.31201172,triple
257,YDR057W,YJR060W,YLR312C-B,0.31030273,triple
258,YDR057W,YIL174W,YJR060W,0.31030273,triple
259,YDR057W,YLR351C,YPL046C,0.30908203,triple
260,YLL012W,YLR312C-B,YOR126C,0.30664062,triple
261,YIL174W,YLL012W,YOR126C,0.30664062,triple
262,YDR057W,YKR054C,YPL046C,0.30029297,triple
263,YKL033W-A,YLL017W,YLR312C-B,0.2993164,triple
264,YIL174W,YKL033W-A,YKL200C,0.2993164,triple
265,YIL174W,YKL033W-A,YLL017W,0.2993164,triple
266,YIL174W,YJL017W,YKL033W-A,0.2993164,triple
267,YKL033W-A,YKL200C,YLR312C-B,0.2993164,triple
268,YJL017W,YKL033W-A,YLR312C-B,0.2993164,triple
269,YGL087C,YLL005C,YPL046C,0.29663086,triple
270,YDR155C,YKL033W-A,YPR053C,0.29663086,triple
271,YDR155C,YLR312C-B,YPR053C,0.29492188,triple
272,YDR155C,YIL174W,YPR053C,0.29492188,triple
273,YJL017W,YMR244W,YPL046C,0.29418945,triple
274,YLL017W,YMR244W,YPL046C,0.29418945,triple
275,YKL200C,YMR244W,YPL046C,0.29418945,triple
276,YIL174W,YMR244W,YPL046C,0.29418945,triple
277,YLR312C-B,YMR244W,YPL046C,0.29418945,triple
278,YDR057W,YGL087C,YPL046C,0.28833008,triple
279,YBR246W,YLR312C-B,YOR126C,0.2866211,triple
280,YBR246W,YIL174W,YOR126C,0.2866211,triple
281,YBR246W,YLL017W,YOR126C,0.2866211,triple
282,YDR057W,YJR060W,YOR126C,0.27563477,triple
283,YIL174W,YLR104W,YPR053C,0.27539062,triple
284,YLR104W,YLR312C-B,YPR053C,0.27539062,triple
285,YDR057W,YLR104W,YMR244W,0.27246094,triple
286,YDR057W,YKL033W-A,YPL046C,0.27124023,triple
287,YBR246W,YOR126C,YPL046C,0.27124023,triple
288,YDR057W,YMR244W,YPL046C,0.26904297,triple
289,YDR057W,YLR351C,YMR244W,0.2685547,triple
290,YIL174W,YKL033W-A,YLL012W,0.265625,triple
291,YKL033W-A,YLL012W,YLR312C-B,0.265625,triple
292,YBR246W,YKL033W-A,YPR053C,0.26367188,triple
293,YBR203W,YKL033W-A,YLR312C-B,0.2578125,triple
294,YBR203W,YIL174W,YKL033W-A,0.2578125,triple
295,YBR203W,YJL017W,YKL033W-A,0.2578125,triple
296,YIL174W,YLR351C,YOR126C,0.25756836,triple
297,YDR057W,YMR244W,YOR126C,0.25732422,triple
298,YBR203W,YOR126C,YPL046C,0.25708008,triple
299,YBR203W,YDR057W,YLL005C,0.25195312,triple
300,YBR203W,YDR057W,YMR244W,0.25097656,triple
301,YGL087C,YKL033W-A,YPR053C,0.24707031,triple
302,YDR057W,YKL033W-A,YMR244W,0.24609375,triple
303,YDR057W,YGL087C,YMR244W,0.24438477,triple
304,YJR060W,YLR312C-B,YOR126C,0.24365234,triple
305,YIL174W,YJR060W,YOR126C,0.24365234,triple
306,YKL033W-A,YKL200C,YLR104W,0.24291992,triple
307,YKL033W-A,YLR104W,YLR312C-B,0.24291992,triple
308,YJL017W,YKL033W-A,YLR104W,0.24291992,triple
309,YIL174W,YKL033W-A,YLR104W,0.24291992,triple
310,YDR057W,YLR351C,YOR126C,0.23999023,triple
311,YLL005C,YLR312C-B,YPL046C,0.23840332,triple
312,YIL174W,YLL005C,YPL046C,0.23840332,triple
313,YJL017W,YLL005C,YPL046C,0.23840332,triple
314,YKL200C,YLL005C,YPL046C,0.23840332,triple
315,YDR057W,YGL087C,YLL005C,0.23791504,triple
316,YIL174W,YKL033W-A,YLR351C,0.23742676,triple
317,YER079W,YIL174W,YPL046C,0.23449707,triple
318,YER079W,YLR312C-B,YPL046C,0.23449707,triple
319,YER079W,YJL017W,YPL046C,0.23449707,triple
320,YER079W,YKL200C,YPL046C,0.23449707,triple
321,YER079W,YLL017W,YPL046C,0.23449707,triple
322,YDR057W,YER079W,YPL081W,0.234375,triple
323,YIL174W,YKR054C,YLR351C,0.23278809,triple
324,YIL174W,YJL017W,YLR104W,0.22839355,triple
325,YKL200C,YLR104W,YLR312C-B,0.22839355,triple
326,YJL017W,YLR104W,YLR312C-B,0.22839355,triple
327,YIL174W,YKL200C,YLR104W,0.22839355,triple
328,YBR203W,YLR104W,YLR312C-B,0.22521973,triple
329,YBR203W,YIL174W,YLR104W,0.22521973,triple
330,YBR203W,YKL200C,YLR104W,0.22521973,triple
331,YBR203W,YJL017W,YLR104W,0.22521973,triple
332,YBR203W,YIL174W,YLR351C,0.22497559,triple
333,YLL012W,YOR126C,YPL046C,0.22314453,triple
334,YKR054C,YLR312C-B,YPR053C,0.2211914,triple
335,YIL174W,YKR054C,YPR053C,0.2211914,triple
336,YBR203W,YLL017W,YLR312C-B,0.22094727,triple
337,YBR203W,YKL200C,YLR312C-B,0.22094727,triple
338,YBR203W,YIL174W,YKL200C,0.22094727,triple
339,YBR203W,YIL174W,YJL017W,0.22094727,triple
340,YBR203W,YJL017W,YLR312C-B,0.22094727,triple
341,YBR203W,YIL174W,YLL017W,0.22094727,triple
342,YJL017W,YKR054C,YLR104W,0.21911621,triple
343,YKR054C,YLR104W,YLR312C-B,0.21911621,triple
344,YIL174W,YKR054C,YLR104W,0.21911621,triple
345,YIL174W,YKL033W-A,YPR053C,0.2142334,triple
346,YKL033W-A,YLR312C-B,YPR053C,0.2142334,triple
347,YDR057W,YLL005C,YPL046C,0.21276855,triple
348,YBR203W,YJL017W,YKR054C,0.2121582,triple
349,YBR203W,YKR054C,YLR312C-B,0.2121582,triple
350,YDR057W,YGL087C,YPR053C,0.21179199,triple
351,YKR054C,YLL017W,YLR312C-B,0.21179199,triple
352,YIL174W,YKR054C,YLL017W,0.21179199,triple
353,YJL017W,YKR054C,YLR312C-B,0.21179199,triple
354,YIL174W,YJL017W,YKR054C,0.21179199,triple
355,YIL174W,YKR054C,YLL012W,0.21142578,triple
356,YLR104W,YOR126C,YPL046C,0.20874023,triple
357,YDR057W,YLL005C,YOR126C,0.20861816,triple
358,YBR203W,YGL087C,YLR312C-B,0.20812988,triple
359,YBR203W,YGL087C,YJL017W,0.20812988,triple
360,YLL017W,YMR244W,YOR126C,0.20581055,triple
361,YJL017W,YMR244W,YOR126C,0.20581055,triple
362,YIL174W,YMR244W,YOR126C,0.20581055,triple
363,YKL200C,YMR244W,YOR126C,0.20581055,triple
364,YLR312C-B,YMR244W,YOR126C,0.20581055,triple
365,YDR057W,YER079W,YPL046C,0.20495605,triple
366,YDR057W,YKL033W-A,YPR053C,0.20397949,triple
367,YBR158W,YIL174W,YKL033W-A,0.203125,triple
368,YBR158W,YKL033W-A,YLR312C-B,0.203125,triple
369,YGL087C,YLL012W,YLR312C-B,0.20227051,triple
370,YGL087C,YIL174W,YLL012W,0.20227051,triple
371,YDR057W,YKR054C,YOR126C,0.19921875,triple
372,YDR057W,YJL017W,YMR244W,0.19897461,triple
373,YDR057W,YIL174W,YMR244W,0.19897461,triple
374,YDR057W,YKL200C,YMR244W,0.19897461,triple
375,YDR057W,YLR312C-B,YMR244W,0.19897461,triple
376,YGL087C,YLR104W,YLR312C-B,0.1965332,triple
377,YGL087C,YKL200C,YLR104W,0.1965332,triple
378,YGL087C,YJL017W,YLR104W,0.1965332,triple
379,YGL087C,YIL174W,YLR104W,0.1965332,triple
380,YJR060W,YOR126C,YPL046C,0.19604492,triple
381,YBR203W,YJR060W,YLR312C-B,0.18884277,triple
382,YBR203W,YIL174W,YJR060W,0.18884277,triple
383,YBR246W,YLR312C-B,YPR053C,0.18859863,triple
384,YBR246W,YIL174W,YPR053C,0.18859863,triple
385,YBR158W,YLR104W,YLR312C-B,0.18640137,triple
386,YBR158W,YIL174W,YLR104W,0.18640137,triple
387,YBR203W,YIL174W,YLL012W,0.18383789,triple
388,YBR203W,YLL012W,YLR312C-B,0.18383789,triple
389,YLR104W,YMR244W,YPR053C,0.17932129,triple
390,YIL174W,YJR060W,YLR104W,0.1784668,triple
391,YJR060W,YLR104W,YLR312C-B,0.1784668,triple
392,YGL087C,YKL033W-A,YLR312C-B,0.17822266,triple
393,YGL087C,YJL017W,YKL033W-A,0.17822266,triple
394,YGL087C,YIL174W,YKL033W-A,0.17822266,triple
395,YKR054C,YMR244W,YPR053C,0.1776123,triple
396,YKL200C,YLL005C,YOR126C,0.17687988,triple
397,YIL174W,YLL005C,YOR126C,0.17687988,triple
398,YJL017W,YLL005C,YOR126C,0.17687988,triple
399,YLL005C,YLR312C-B,YOR126C,0.17687988,triple
400,YKR054C,YLL017W,YOR126C,0.17260742,triple
401,YKR054C,YLR312C-B,YOR126C,0.17260742,triple
402,YIL174W,YKR054C,YOR126C,0.17260742,triple
403,YBR246W,YMR244W,YPR053C,0.17211914,triple
404,YGL087C,YIL174W,YPR053C,0.17175293,triple
405,YGL087C,YLR312C-B,YPR053C,0.17175293,triple
406,YGL087C,YIL174W,YLR351C,0.17138672,triple
407,YDR057W,YIL174W,YLL017W,0.17089844,triple
408,YDR057W,YJL017W,YLR312C-B,0.17089844,triple
409,YDR057W,YIL174W,YKL200C,0.17089844,triple
410,YDR057W,YIL174W,YJL017W,0.17089844,triple
411,YDR057W,YLL017W,YLR312C-B,0.17089844,triple
412,YDR057W,YKL200C,YLR312C-B,0.17089844,triple
413,YDR155C,YIL174W,YLR351C,0.17077637,triple
414,YDR057W,YMR244W,YPR053C,0.17004395,triple
415,YGL087C,YKR054C,YLR312C-B,0.16870117,triple
416,YDR155C,YMR244W,YPR053C,0.16674805,triple
417,YBR246W,YOR126C,YPR053C,0.16625977,triple
418,YBR158W,YGL087C,YIL174W,0.16540527,triple
419,YBR158W,YGL087C,YLR312C-B,0.16540527,triple
420,YLL017W,YLR312C-B,YPL046C,0.16479492,triple
421,YIL174W,YJL017W,YPL046C,0.16479492,triple
422,YJL017W,YLR312C-B,YPL046C,0.16479492,triple
423,YKL200C,YLR312C-B,YPL046C,0.16479492,triple
424,YIL174W,YLL017W,YPL046C,0.16479492,triple
425,YIL174W,YKL200C,YPL046C,0.16479492,triple
426,YIL174W,YKL033W-A,YOR126C,0.1628418,triple
427,YJL017W,YKL033W-A,YOR126C,0.1628418,triple
428,YKL033W-A,YLR312C-B,YOR126C,0.1628418,triple
429,YKL033W-A,YLL017W,YOR126C,0.1628418,triple
430,YDR057W,YLL005C,YLR312C-B,0.16113281,triple
431,YDR057W,YIL174W,YLL005C,0.16113281,triple
432,YDR057W,YKL200C,YLL005C,0.16113281,triple
433,YDR057W,YJL017W,YLL005C,0.16113281,triple
434,YKL033W-A,YMR244W,YPR053C,0.16027832,triple
435,YDR057W,YER079W,YIL174W,0.15783691,triple
436,YDR057W,YER079W,YJL017W,0.15783691,triple
437,YDR057W,YER079W,YLL017W,0.15783691,triple
438,YDR057W,YER079W,YLR312C-B,0.15783691,triple
439,YDR057W,YER079W,YKL200C,0.15783691,triple
440,YGL087C,YIL174W,YJL017W,0.1550293,triple
441,YGL087C,YIL174W,YKL200C,0.1550293,triple
442,YGL087C,YKL200C,YLR312C-B,0.1550293,triple
443,YGL087C,YIL174W,YLL017W,0.1550293,triple
444,YGL087C,YJL017W,YLR312C-B,0.1550293,triple
445,YGL087C,YLL017W,YLR312C-B,0.1550293,triple
446,YLR104W,YOR126C,YPR053C,0.15393066,triple
447,YLR351C,YOR126C,YPL046C,0.15283203,triple
448,YDR057W,YLL017W,YPL046C,0.15222168,triple
449,YDR057W,YIL174W,YPL046C,0.15222168,triple
450,YDR057W,YJL017W,YPL046C,0.15222168,triple
451,YDR057W,YKL200C,YPL046C,0.15222168,triple
452,YDR057W,YLR312C-B,YPL046C,0.15222168,triple
453,YDR057W,YGL087C,YOR126C,0.15185547,triple
454,YDR155C,YLL005C,YLR312C-B,0.14916992,triple
455,YDR155C,YIL174W,YLL005C,0.14916992,triple
456,YDR155C,YJL017W,YLL005C,0.14916992,triple
457,YDR155C,YKL200C,YLL005C,0.14916992,triple
458,YMR244W,YOR126C,YPL046C,0.14086914,triple
459,YGL087C,YIL174W,YLL005C,0.14025879,triple
460,YGL087C,YJL017W,YLL005C,0.14025879,triple
461,YGL087C,YLL005C,YLR312C-B,0.14025879,triple
462,YGL087C,YKL200C,YLL005C,0.14025879,triple
463,YGL087C,YLR312C-B,YOR126C,0.13916016,triple
464,YGL087C,YLL017W,YOR126C,0.13916016,triple
465,YGL087C,YIL174W,YOR126C,0.13916016,triple
466,YDR155C,YJR060W,YLR312C-B,0.13623047,triple
467,YDR155C,YIL174W,YJR060W,0.13623047,triple
468,YGL087C,YMR244W,YPR053C,0.13305664,triple
469,YIL174W,YJR060W,YLL012W,0.13110352,triple
470,YJR060W,YLL012W,YLR312C-B,0.13110352,triple
471,YDR057W,YKL033W-A,YOR126C,0.12658691,triple
472,YDR155C,YIL174W,YKL033W-A,0.12609863,triple
