dataset,model,size,embedding,is_pert,aggregation,num_params,test_spearman,val_spearman,cv_spearman_mean,cv_spearman_std,test_pearson,val_pearson,cv_pearson_mean,cv_pearson_std,test_r2,val_r2,cv_r2_mean,cv_r2_std,test_mse,val_mse,cv_mse_mean,cv_mse_std
fitness,random_forest,1e4,codon_frequency,False,sum,2018162.0,0.45184948778889,0.4842385467732754,0.4586850213863743,0.013955512183399,0.5117809127209793,0.4956089704121673,0.5056887180772431,0.0092737816180861,0.2454428895228566,0.2376083644548561,0.2409060469730082,0.0087779990547622,0.0150668127613571,0.0155753111891326,0.0151496449111848,0.0004267674079921
fitness,random_forest,1e4,esm2_t33_650M_UR50D_all,False,sum,5036782.0,0.5095538793978702,0.533404268190967,0.5265625260387974,0.0169541289678834,0.4963197181787976,0.5001531723090076,0.5389502931230163,0.0095754800160721,0.2290587378777735,0.2357342362262708,0.2653479908848252,0.0100123460833685,0.0153939675143407,0.015613598768649,0.0146648914064262,0.0005436413084137
fitness,random_forest,1e4,esm2_t33_650M_UR50D_no_dubious,True,sum,1862616.0,0.5057668514421192,0.542110646215037,0.5285294578866006,0.0139694142387004,0.4957661616340765,0.5030064753164287,0.5413065210665625,0.0098028010310244,0.2275476517149264,0.2377769656406749,0.2673315352023581,0.0108180464084459,0.0154241405151193,0.0155718667442915,0.0146262481485791,0.0005798601560706
fitness,random_forest,1e4,fudt_downstream,True,sum,747474.0,0.3908206987252757,0.4150887405782966,0.4032376640037802,0.0077729372328941,0.3684081974233844,0.3872727729359854,0.4155264342852517,0.0208171298314508,0.1307887842677768,0.1456024564113566,0.1609259360644201,0.0129774271719046,0.017356198034139,0.0174549496612829,0.0167520332216856,0.0007230357554733
fitness,random_forest,1e4,fudt_upstream,True,sum,2016586.0,0.4531377409434494,0.4549334044070591,0.4530709758508052,0.0272185519399262,0.4689480023096944,0.4619966300459763,0.4822160196541307,0.0336804678836283,0.2066409003196304,0.203837195523304,0.2186688970415692,0.025082988129815,0.0158416014393454,0.0162652406700005,0.015600843496262,0.0008436306446359
fitness,random_forest,1e4,normalized_chrom_pathways,True,mean,2019314.0,0.3527715416374679,0.3485997671886263,0.334559441856288,0.0203921256177713,0.3935251096058766,0.3953613884076808,0.4099675329330534,0.0174251447017078,0.1531964597624716,0.1561006757025014,0.1672729434782273,0.0134490862788974,0.0169087670227444,0.0172404758596725,0.0166203321498849,0.0005565904505266
fitness,random_forest,1e4,nt_window_5979,True,sum,5035390.0,0.4269766332054288,0.4355343254666565,0.4315428119242165,0.0309568088711719,0.4442004457843617,0.4259053973979812,0.4542609401334794,0.0274175477729827,0.1855315554475542,0.1764665009094164,0.1922343481237989,0.0185330157589005,0.0162631077008149,0.0168244113982696,0.0161215908823199,0.0005769182659219
fitness,random_forest,1e4,nt_window_five_prime_1003,True,sum,924952.0,0.4318736746687764,0.4803111238467618,0.4557505170325379,0.033232545956469,0.4410369174143357,0.4564008207219351,0.4642169012010175,0.0304566219938699,0.1839999926397111,0.1973483675143305,0.199326647202325,0.0207850443308374,0.0162936895742578,0.01639780444796,0.0159855469365971,0.0007777366132394
fitness,random_forest,1e4,nt_window_three_prime_300,False,sum,1859438.0,0.4771143185680702,0.4807889940046751,0.4948520257575365,0.0236566242015608,0.4815139213095926,0.4488927430814659,0.4976699702311807,0.016742667856456,0.2049457124914978,0.1816440446908054,0.2147292736751823,0.013280319496532,0.0158754505373754,0.0167186365552221,0.0156749477090329,0.0005919302566798
fitness,random_forest,1e4,one_hot_gene,True,mean,619274.0,0.8724892761689825,0.8759296155266837,0.8784847682033498,0.0018877691968693,0.8732007796783998,0.8459936065803241,0.8767300478960813,0.0096038723389388,0.7587357384438393,0.7039378522457147,0.7610678956734692,0.0172983983326572,0.0048175060633583,0.0060484137910284,0.0047659960422016,0.0003203098252948
