group,plate,volume_nl,hours,strain,fitness,fitness_sd,fitness_se,n_used,n_total,pvalue
P2_t44,P2,5.0,43.71,YKL033W-A,0.7888427750207738,0.1345904300388039,0.0254352004808509,28,29,7.991429589605876e-06
P2_t44,P2,5.0,43.71,YLR312C-B,0.9111937028296372,0.1789017997047321,0.0332212301966534,29,29,0.0861694245966923
P2_t44,P2,5.0,43.71,YOS9,0.8707814362372233,0.1511721214679998,0.0285688456121697,28,29,0.0149558882755815
P2_t44,P2,5.0,43.71,YPL081W,0.7326035421853364,0.1952711285166109,0.0369027745918489,28,29,7.322346980378352e-08
P1_t50,P1,2.5,50.3,BY4741,1.0,0.1659379171018292,0.0313593186948208,28,30,
P1_t50,P1,2.5,50.3,COS111,0.9418893651466784,0.1819588684105673,0.0525270008291403,12,29,0.3525300057887011
P1_t50,P1,2.5,50.3,ELC1,0.955124968821648,0.239714550144667,0.0536018029319257,20,29,0.2373897975210255
P1_t50,P1,2.5,50.3,LCL1,0.936408898329996,0.1379380652379467,0.0308438890556849,20,29,0.0458132574375683
P1_t50,P1,2.5,50.3,MMS2,1.0192517355823825,0.1501560454964233,0.0313096998438141,23,29,0.3995774752346782
P1_t50,P1,2.5,50.3,SPH1,0.858001094817415,0.1204499751720261,0.0256800209916914,22,29,0.0003613751057145
P1_t50,P1,2.5,50.3,YEH1,0.8237989947414492,0.1403020397963852,0.0321874954234244,19,29,2.732999079034978e-05
P1_t50,P1,2.5,50.3,YER079W,0.8366951436344899,0.2155897335615607,0.0576187799352314,14,29,0.0052995793644188
P1_t50,P1,2.5,50.3,YJR060W,0.7153757188530886,0.1820673886156548,0.0364134777231309,25,29,1.0144248322250888e-08
P1_t50,P1,2.5,50.3,YKL033W-A,0.8760844884355014,0.2009958210427435,0.0449440319044957,20,29,0.0098044777798125
P1_t50,P1,2.5,50.3,YLR312C-B,1.0909456253769971,0.1672417473977771,0.0334483494795554,25,29,0.095727674667515
P1_t50,P1,2.5,50.3,YOS9,0.9942674774669168,0.2423228263186307,0.0466350496686174,27,29,0.484746507754465
P1_t50,P1,2.5,50.3,YPL081W,0.9088964783275284,0.1178285429343564,0.0257122960487163,21,29,0.0002873470579511
P2_t50,P2,5.0,50.3,BY4741,1.0,0.1150886136686924,0.0210122099394467,30,30,
P2_t50,P2,5.0,50.3,COS111,0.724231165832191,0.2089537566964286,0.0435698701425803,23,29,6.378602121586264e-06
P2_t50,P2,5.0,50.3,ELC1,0.8571335078766533,0.1188648049403545,0.0237729609880709,25,29,0.0060188750831339
P2_t50,P2,5.0,50.3,LCL1,0.8045937280541569,0.1306429931679597,0.0251422557577533,27,29,1.445645845545638e-06
P2_t50,P2,5.0,50.3,MMS2,0.8350480567879276,0.1694975079113861,0.0338995015822772,25,29,0.0005468720066282
P2_t50,P2,5.0,50.3,SPH1,0.8258762972768625,0.1326056382022235,0.0260061052617524,26,29,1.1962195813437717e-05
P2_t50,P2,5.0,50.3,YEH1,0.7850261969273834,0.1228269011468674,0.0232121024816661,28,29,1.3547342497732703e-06
P2_t50,P2,5.0,50.3,YER079W,0.6756610793247978,0.1666987217030719,0.0347590862799794,23,29,5.793439534593508e-07
P2_t50,P2,5.0,50.3,YJR060W,0.76380109358429,0.0917071042271656,0.017649040437385,27,29,3.518141867646714e-09
