group,plate,volume_nl,hours,strain,fitness,fitness_sd,fitness_se,n_used,n_total,pvalue
P1_t50,P1,2.5,50.3,YLR312C-B,1.0886045403439994,0.16848357408635445,0.03369671481727089,25,29,0.06780732044118264
P1_t50,P1,2.5,50.3,YOS9,0.994267477466917,0.23861213571473117,0.045920926928937185,27,29,0.5168677495508638
P1_t50,P1,2.5,50.3,YPL081W,0.8959538732921217,0.11709615513383664,0.024964984157021662,22,29,0.00012282837060995756
P2_t50,P2,5.0,50.3,BY4741,1.0,0.11677652635454824,0.021320379223827533,30,30,
P2_t50,P2,5.0,50.3,COS111,0.7396234097285566,0.21780724134080312,0.04445971696401645,24,29,3.057245052828239e-05
P2_t50,P2,5.0,50.3,ELC1,0.8733785118015822,0.11830116453280262,0.02414812409020043,24,29,0.007938267359358753
P2_t50,P2,5.0,50.3,LCL1,0.81277441526568,0.13365237141082384,0.02572141087062366,27,29,1.445645845545638e-06
P2_t50,P2,5.0,50.3,MMS2,0.838853329734433,0.1692461355998988,0.03384922711997976,25,29,0.00045252513347693
P2_t50,P2,5.0,50.3,SPH1,0.8296397749661302,0.1316700817398488,0.025822627544147925,26,29,2.168015434307221e-05
P2_t50,P2,5.0,50.3,YEH1,0.7872966066150757,0.1261664856179778,0.023843224624012612,28,29,1.0704055958467583e-06
P2_t50,P2,5.0,50.3,YER079W,0.6840510918833789,0.16421117449447153,0.03351946563121556,24,29,2.6895707646659834e-07
P2_t50,P2,5.0,50.3,YJR060W,0.7783205856964909,0.09024947537211893,0.01705554769919108,28,29,2.650298222492634e-09
P2_t50,P2,5.0,50.3,YKL033W-A,0.8254208004850576,0.12576835930894256,0.023767985823719806,28,29,6.1740365086721236e-06
P2_t50,P2,5.0,50.3,YLR312C-B,0.9317032287125512,0.15045459030268907,0.02895499940402413,27,29,0.1619825902628833
P2_t50,P2,5.0,50.3,YOS9,0.8905802788286936,0.14102142023774095,0.02618702032125545,29,29,0.020766717563054666
P2_t50,P2,5.0,50.3,YPL081W,0.7777897147609224,0.17967329509413033,0.03336449329388977,29,29,1.6192427055073313e-07
P1_t72,P1,2.5,72.18,BY4741,1.0,0.15091056381610587,0.028519415862139904,28,30,
P1_t72,P1,2.5,72.18,COS111,0.9853129346387709,0.16494982054853927,0.045748848912795535,13,29,0.3199362137328319
P1_t72,P1,2.5,72.18,ELC1,0.9781140851616479,0.2059924485363109,0.04606131177788182,20,29,0.31046872117647717
P1_t72,P1,2.5,72.18,LCL1,0.9488500745589039,0.11755449941853148,0.026285985176079586,20,29,0.02593769273047113
P1_t72,P1,2.5,72.18,MMS2,1.0427397800771958,0.1499255743576443,0.0312616432893546,23,29,0.7261876360412519
P1_t72,P1,2.5,72.18,SPH1,0.9338998387441728,0.1097414141373772,0.023396948107966532,22,29,0.0025314215264912203
P1_t72,P1,2.5,72.18,YEH1,0.845928647307155,0.1444245050257637,0.03313325380937821,19,29,7.615484344193789e-05
P1_t72,P1,2.5,72.18,YER079W,0.8832309758459458,0.19314697150119903,0.049870333599636156,15,29,0.03552747166298082
P1_t72,P1,2.5,72.18,YJR060W,0.738146576491084,0.1536375657975921,0.030130805616262215,26,29,4.16824403116084e-09
P1_t72,P1,2.5,72.18,YKL033W-A,0.8994629942727652,0.18400750348014644,0.04114532861516365,20,29,0.0035313923507052977
P1_t72,P1,2.5,72.18,YLR312C-B,1.091216532454389,0.1429373874920087,0.028587477498401744,25,29,0.12326653725004758
P1_t72,P1,2.5,72.18,YOS9,1.0203400064829329,0.19789582912574788,0.03808507007241824,27,29,0.6313536418525714
P1_t72,P1,2.5,72.18,YPL081W,0.9480329885538736,0.11006876918297089,0.02346674043818973,22,29,0.006033726291844047
P2_t72,P2,5.0,72.26,BY4741,1.0,0.10653014928847561,0.019449655273230337,30,30,
P2_t72,P2,5.0,72.26,COS111,0.8478131676546391,0.18747360263420207,0.03826788889125728,24,29,6.467180962499411e-05
P2_t72,P2,5.0,72.26,ELC1,0.9426672495277855,0.09319708488296881,0.018639416976593763,25,29,0.02299817627617226
P2_t72,P2,5.0,72.26,LCL1,0.8458557788742549,0.12453232216417269,0.023966256574764765,27,29,8.546431683998315e-06
P2_t72,P2,5.0,72.26,MMS2,0.8927009847233615,0.14464185765286314,0.02892837153057263,25,29,0.002155615687743668
P2_t72,P2,5.0,72.26,SPH1,0.8673452542242627,0.12120169864127665,0.02376960870971007,26,29,3.117604675341138e-05
P2_t72,P2,5.0,72.26,YEH1,0.8582804623924151,0.1240239116564245,0.023030662217080552,29,29,1.8417975624484995e-05
P2_t72,P2,5.0,72.26,YER079W,0.7672244513702959,0.146602290439827,0.029925067225073054,24,29,1.0487234735384607e-07
P2_t72,P2,5.0,72.26,YJR060W,0.8041091266413514,0.088131590440351,0.016655305068126156,28,29,3.414543514163561e-10
P2_t72,P2,5.0,72.26,YKL033W-A,0.8552658975146794,0.10179421443746002,0.019590305702471344,27,29,4.674845022859651e-06
P2_t72,P2,5.0,72.26,YLR312C-B,0.977603145303085,0.12227492378097722,0.02270588332208181,29,29,0.35109854270850005
P2_t72,P2,5.0,72.26,YOS9,0.9398344641851046,0.12582264847627408,0.023364679259134036,29,29,0.08255596300538805
P2_t72,P2,5.0,72.26,YPL081W,0.7848002912434382,0.1607825874672775,0.02985657695271752,29,29,2.51801608828393e-08
