group,plate,volume_nl,hours,strain,fitness,fitness_sd,n_used,n_total,pvalue
P1_t50,P1,2.5,50.3,YEH1,0.8471137617254394,0.12052205738365679,20,29,1.3817098949122403e-05
P1_t50,P1,2.5,50.3,YER079W,0.8403677767536417,0.1801079498791169,15,29,0.004668384464788553
P1_t50,P1,2.5,50.3,YJR060W,0.6989527511884106,0.17994129146399201,26,29,4.277231999545499e-08
P1_t50,P1,2.5,50.3,YKL033W-A,0.8616740075420644,0.15080393101197415,20,29,0.0006832689732756642
P1_t50,P1,2.5,50.3,YLR312C-B,0.9774687960992318,0.16212233819665794,26,29,0.19152203690808967
P1_t50,P1,2.5,50.3,YOS9,0.9254999003063376,0.16216044175184693,27,29,0.10822952089994567
P1_t50,P1,2.5,50.3,YPL081W,0.8714561090273384,0.15591903261318213,23,29,0.00022609823384206443
P2_t50,P2,5.0,50.3,BY4741,1.0,0.11947985209907225,30,30,
P2_t50,P2,5.0,50.3,COS111,0.7976378494234071,0.17562512653229861,24,29,1.3608465939826716e-06
P2_t50,P2,5.0,50.3,ELC1,0.8965788856408559,0.09339994981122421,25,29,0.0002698825112856039
P2_t50,P2,5.0,50.3,LCL1,0.8507239217227597,0.08310779760824982,25,29,1.5341928864507678e-07
P2_t50,P2,5.0,50.3,MMS2,0.9267421578620075,0.17969702434092444,27,29,0.0027296781893087225
P2_t50,P2,5.0,50.3,SPH1,0.8866200682015801,0.1198172812125578,26,29,2.1680154343072207e-05
P2_t50,P2,5.0,50.3,YEH1,0.8910691612988821,0.11129077154801893,29,29,7.344126278759326e-05
P2_t50,P2,5.0,50.3,YER079W,0.6995358346873561,0.1647768452411005,24,29,6.122108046721122e-07
P2_t50,P2,5.0,50.3,YJR060W,0.7784468988038116,0.09335648857369798,29,29,3.204850577051669e-09
P2_t50,P2,5.0,50.3,YKL033W-A,0.8623175783070172,0.11460840118603545,29,29,1.371621723410203e-06
P2_t50,P2,5.0,50.3,YLR312C-B,0.9453254001745608,0.13429737637885378,29,29,0.030727842249861137
P2_t50,P2,5.0,50.3,YOS9,0.923600276565983,0.14360733889325225,29,29,0.03573486021053451
P2_t50,P2,5.0,50.3,YPL081W,0.8445799792164902,0.1102069121535403,25,29,5.887796178174062e-07
