row,col,size,circularity,flags,cx,cy,strain,volume_nl,well,is_missing,is_flagged,is_blank,is_reference,size_rc,size_spatial,norm,is_capped,is_jackknife,status,group,plate,hours,agar
1,24,2595,0.7610383379836647,E,2366.6770712909442,362.0578034682081,LCL1,2.5,A24,False,False,False,True,1949.4356202258903,1869.0873239669515,1.111436276623,False,False,OK,P1_t44,P1,43.71,up
2,1,0,,,273.2720015870725,467.13191095788216,SPH1,2.5,B1,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
2,2,1486,1.0,,378.9434724091521,425.14535666218035,LCL1,2.5,B2,False,False,False,True,1936.3258494639772,1912.9732889016022,1.1375326782397273,False,False,OK,P1_t44,P1,43.71,up
2,3,1868,1.0,,467.9743040685225,432.14721627408994,BY4741,2.5,B3,False,False,False,True,2658.939181791578,2499.760000116468,1.4864602158254656,False,False,OK,P1_t44,P1,43.71,up
2,4,1673,1.0,,559.9605499103407,428.1309025702331,LCL1,2.5,B4,False,False,False,True,1941.5380321004886,1872.3939612338368,1.11340253928228,False,False,OK,P1_t44,P1,43.71,up
2,5,0,,,632.5350312176794,460.0147139368005,SPH1,2.5,B5,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
2,6,795,1.0,,732.0553459119496,440.14716981132074,YER079W,2.5,B6,False,False,False,True,967.1195084711079,951.9605299061296,0.5660749250630703,False,False,OK,P1_t44,P1,43.71,up
2,7,1608,1.0,,836.6449004975125,447.03793532338307,YLR312C-B,2.5,B7,False,False,False,True,1941.5380321004886,1948.93490588934,1.1589169363071157,False,False,OK,P1_t44,P1,43.71,up
2,8,1433,1.0,,926.5191905094208,442.9413817166783,BY4741,2.5,B8,False,False,False,True,1826.8049901510178,1860.8359588341089,1.106529675191003,False,False,OK,P1_t44,P1,43.71,up
2,9,0,,,991.7980608482864,452.8975169157188,YER079W,2.5,B9,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
2,10,1093,1.0,,1108.4629460201281,441.3430924062214,SPH1,2.5,B10,False,False,False,True,1338.0208506215852,1368.0966601209113,0.8135266011851854,False,False,OK,P1_t44,P1,43.71,up
2,11,524,1.0,,1193.1507633587787,447.0,YJR060W,2.5,B11,False,False,False,True,623.3859857969707,748.6949726949638,0.4452048559252668,False,False,OK,P1_t44,P1,43.71,up
2,12,1123,1.0,,1277.6233303650936,449.67675868210154,YJR060W,2.5,B12,False,False,False,True,1361.865840130449,1379.10113707798,0.8200703162585877,False,False,OK,P1_t44,P1,43.71,up
2,13,1034,1.0,,1364.760154738878,439.1499032882012,MMS2,2.5,B13,False,False,False,True,1261.0240736130058,1264.08154731077,0.7516749326131348,False,False,OK,P1_t44,P1,43.71,up
2,14,1905,1.0,,1461.5700787401574,447.8724409448819,YKL033W-A,2.5,B14,False,False,False,True,1969.4515181850002,2047.4521085230401,1.2174993211290936,False,False,OK,P1_t44,P1,43.71,up
2,15,1126,1.0,,1544.6740674955595,456.18561278863234,YPL081W,2.5,B15,False,False,False,True,1339.566068716391,1342.813975007175,0.7984924756815127,False,False,OK,P1_t44,P1,43.71,up
2,16,1137,1.0,,1639.976253298153,454.4072119613017,YJR060W,2.5,B16,False,False,False,True,1463.878476457729,1402.6453628535148,0.8340706822641701,False,False,OK,P1_t44,P1,43.71,up
2,17,1729,1.0,,1730.1145170618854,452.44476576055524,COS111,2.5,B17,False,False,False,True,1954.5381411946114,1939.0734804858291,1.1530529267490115,False,False,OK,P1_t44,P1,43.71,up
2,18,711,1.0,,1822.759493670886,458.43037974683546,YJR060W,2.5,B18,False,False,False,True,940.3498234492148,872.8591824180004,0.519038007097421,False,False,OK,P1_t44,P1,43.71,up
2,19,1260,1.0,,1909.386507936508,459.17063492063494,YER079W,2.5,B19,False,False,False,True,1880.351975746822,1745.3956466841228,1.0378841126948304,False,False,OK,P1_t44,P1,43.71,up
2,20,1791,1.0,,2004.857063093244,454.61976549413737,SPH1,2.5,B20,False,False,False,True,1834.9839659588258,1723.0826553436445,1.0246158893765382,False,False,OK,P1_t44,P1,43.71,up
2,21,2237,1.0,,2095.4523915958875,464.0482789450156,YLR312C-B,2.5,B21,False,False,False,True,2219.3257934638696,2066.640047145999,1.2289092594373314,False,False,OK,P1_t44,P1,43.71,up
2,22,1300,1.0,,2175.0,462.2523076923077,YPL081W,2.5,B22,False,False,False,True,1436.5392383213632,1282.4684818258913,0.7626085609000274,False,False,OK,P1_t44,P1,43.71,up
2,23,1519,1.0,,2271.892034233048,454.3785385121791,LCL1,2.5,B23,False,False,False,True,1774.4863241640444,1537.666853983182,0.9143600199751223,False,False,OK,P1_t44,P1,43.71,up
2,24,1656,1.0,E,2357.282608695652,463.3641304347826,COS111,2.5,B24,False,False,False,True,1749.285626310342,1587.042830070303,0.9437210082570515,False,False,OK,P1_t44,P1,43.71,up
3,1,0,,,275.0640725049195,557.592358427801,COS111,2.5,C1,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
3,2,0,,,364.87982991257115,555.8130591725305,COS111,2.5,C2,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
3,3,1299,1.0,,461.80985373364126,528.1747498075442,YPL081W,2.5,C3,False,False,False,True,1596.1686817651837,1486.562645038247,0.8839713532813844,False,False,OK,P1_t44,P1,43.71,up
3,4,1620,1.0,,558.587037037037,519.1716049382716,LCL1,2.5,C4,False,False,False,True,1622.9422939816648,1545.2134602917592,0.918847542793983,False,False,OK,P1_t44,P1,43.71,up
3,5,1875,1.0,,651.8885333333334,527.9093333333333,BY4741,2.5,C5,False,False,False,True,1830.8023822642742,1860.2583327895081,1.1061861949629477,False,False,OK,P1_t44,P1,43.71,up
3,6,1668,1.0,,743.5551558752998,533.9214628297362,BY4741,2.5,C6,False,False,False,True,1751.6493160612372,1784.2802336140242,1.061006489033924,False,False,OK,P1_t44,P1,43.71,up
3,7,1633,1.0,,834.7281077770974,535.5352112676056,BY4741,2.5,C7,False,False,False,True,1702.0963675597914,1727.6198106561087,1.02731386872843,False,False,OK,P1_t44,P1,43.71,up
3,8,0,,,903.7743743584817,545.137263640908,YER079W,2.5,C8,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
3,9,1137,1.0,,1014.7669305189094,532.7880386983289,SPH1,2.5,C9,False,False,False,True,1140.4283878782635,1157.5294519649967,0.6883146697731204,False,False,OK,P1_t44,P1,43.71,up
3,10,0,,,1083.405889173785,541.5786651303672,ELC1,2.5,C10,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
3,11,1123,1.0,,1192.7515583259128,529.8103294746215,LCL1,2.5,C11,False,False,False,True,1153.3034904323174,1357.5726115106622,0.807268568586928,False,False,OK,P1_t44,P1,43.71,up
3,12,2042,1.0,,1279.6620959843292,542.3682664054849,YOS9,2.5,C12,False,False,False,True,2137.708137233506,2187.084277499307,1.300530357717794,False,False,OK,P1_t44,P1,43.71,up
3,13,0,,,1352.8531613967405,536.240767364556,YPL081W,2.5,C13,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
3,14,1503,1.0,,1461.6480372588157,541.9141716566867,YEH1,2.5,C14,False,False,False,True,1341.3663189499207,1342.7668583655495,0.7984644581865226,False,False,OK,P1_t44,P1,43.71,up
3,15,1658,1.0,,1549.5482509047044,546.4047044632086,YEH1,2.5,C15,False,False,False,True,1702.7401488306166,1770.177572689351,1.0526204662154028,False,False,OK,P1_t44,P1,43.71,up
3,16,1462,1.0,,1638.6005471956225,546.7010943912449,YEH1,2.5,C16,False,False,False,True,1624.9127097248409,1594.7273876398133,0.9482905625753723,False,False,OK,P1_t44,P1,43.71,up
3,17,0,,,1712.1161910273472,529.1235703434743,YPL081W,2.5,C17,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
3,18,2190,1.0,,1813.6721461187215,550.7292237442922,YOS9,2.5,C18,False,False,False,True,2500.357243688651,2340.3198603969436,1.3916505443019258,False,False,OK,P1_t44,P1,43.71,up
3,19,2160,1.0,,1902.9981481481482,548.2064814814814,YOS9,2.5,C19,False,False,False,True,2782.662011612939,2604.5554838166145,1.5487759250580304,False,False,OK,P1_t44,P1,43.71,up
3,20,0,,,1981.5634632503024,523.785672577663,YEH1,2.5,C20,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
3,21,0,,,2071.3792206579546,522.0063733223926,YEH1,2.5,C21,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
3,22,2227,1.0,,2185.0206555904806,555.5235743152223,YLR312C-B,2.5,C22,False,False,False,True,2124.381252271465,2001.2968509611308,1.1900535046852114,False,False,OK,P1_t44,P1,43.71,up
3,23,1662,1.0,,2265.9777376654633,549.4578820697955,ELC1,2.5,C23,False,False,False,True,1676.0385542168674,1595.5478804586894,0.9487784613866873,False,False,OK,P1_t44,P1,43.71,up
3,24,2470,1.0,E,2362.345748987854,552.7931174089069,BY4741,2.5,C24,False,False,False,True,2252.3477850466065,2175.069891031617,1.293386108869528,False,False,OK,P1_t44,P1,43.71,up
4,1,1772,1.0,,283.0682844243792,607.0502257336343,LCL1,2.5,D1,False,False,False,True,2165.7160237740673,1838.2085057414756,1.0930744599679059,False,False,OK,P1_t44,P1,43.71,up
