cell_dataset.is_pert,cell_dataset.max_size,cell_dataset.aggregation,cell_dataset.node_embeddings,svr.kernel,svr.C,svr.gamma,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse,fold_1_val_r2,fold_1_train_r2,fold_2_val_r2,fold_2_train_r2,fold_3_val_r2,fold_3_train_r2,fold_4_val_r2,fold_4_train_r2,fold_5_val_r2,fold_5_train_r2,val_r2_mean,val_r2_std,fold_1_val_pearson,fold_1_train_pearson,fold_2_val_pearson,fold_2_train_pearson,fold_3_val_pearson,fold_3_train_pearson,fold_4_val_pearson,fold_4_train_pearson,fold_5_val_pearson,fold_5_train_pearson,val_pearson_mean,val_pearson_std,fold_1_val_spearman,fold_1_train_spearman,fold_2_val_spearman,fold_2_train_spearman,fold_3_val_spearman,fold_3_train_spearman,fold_4_val_spearman,fold_4_train_spearman,fold_5_val_spearman,fold_5_train_spearman,val_spearman_mean,val_spearman_std,fold_1_val_mse,fold_1_train_mse,fold_2_val_mse,fold_2_train_mse,fold_3_val_mse,fold_3_train_mse,fold_4_val_mse,fold_4_train_mse,fold_5_val_mse,fold_5_train_mse,val_mse_mean,val_mse_std,fold_1_val_mae,fold_1_train_mae,fold_2_val_mae,fold_2_train_mae,fold_3_val_mae,fold_3_train_mae,fold_4_val_mae,fold_4_train_mae,fold_5_val_mae,fold_5_train_mae,val_mae_mean,val_mae_std,val_rmse,test_rmse,fold_1_val_rmse,fold_1_train_rmse,fold_2_val_rmse,fold_2_train_rmse,fold_3_val_rmse,fold_3_train_rmse,fold_4_val_rmse,fold_4_train_rmse,fold_5_val_rmse,fold_5_train_rmse,val_rmse_mean,val_rmse_std
False,100000,mean,['normalized_chrom_pathways'],rbf,10.0,0.1,34606.0,-0.006053815865658452,-0.005593674834247109,0.13819366076160192,0.1364935794901451,0.14245139888493374,0.13890331003049053,0.10977242266661782,0.1093024017712528,0.0216402271727347,0.02139744191982893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1471061765281618,0.1462786447839497,,,,,,,,,,,,
False,100000,mean,['esm2_t33_650M_UR50D_all'],rbf,10.0,0.1,34590.0,-0.005139289450537543,-0.004780659676787646,0.15350864580752602,0.13063488303653528,0.1620068493972271,0.13821764117705174,0.10977692524868768,0.10930892648371364,0.02162055570082477,0.021380142243978696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1470392998515185,0.14621950021792132,,,,,,,,,,,,
False,100000,mean,['nt_window_five_prime_1003'],rbf,10.0,0.1,34528.0,-0.001919172803241498,-0.001191726132353299,0.12620056004575816,0.1343011960425768,0.12747140025832696,0.1315055749454679,0.10954933257109987,0.10907002125140736,0.02155129096103524,0.02130377541809963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14680357952391773,0.14595812898944557,,,,,,,,,,,,
False,100000,mean,['nt_window_three_prime_300'],rbf,10.0,0.1,34560.0,-0.0033039298531363226,-0.0032397376967652214,0.15201767410087275,0.1290866097513212,0.14344363879987151,0.12760170866526674,0.10965165344067664,0.1092025995537941,0.021581077098383156,0.021347353862949992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1469049934426436,0.14610733678686363,,,,,,,,,,,,
False,100000,mean,['prot_T5_no_dubious'],rbf,10.0,0.1,34596.0,-0.005898054399218644,-0.005471261969901775,0.23353841045821225,0.1914776669885227,0.23497768190436563,0.20653161131029596,0.1097671067080523,0.1092983982123316,0.02163687674210628,0.02139483716780969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1470947882900896,0.14626974112170188,,,,,,,,,,,,
False,100000,mean,['nt_window_5979'],rbf,10.0,0.1,34576.0,-0.0034546471675407364,-0.002877514783009127,0.12626935693915464,0.13135823664147636,0.1291147019753733,0.12741637136759357,0.1096845656390163,0.10922400389623534,0.0215843190292532,0.021339646332609367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1469160271354123,0.14608095814516472,,,,,,,,,,,,
False,100000,mean,['prot_T5_all'],rbf,10.0,0.1,34594.0,-0.005863698576381804,-0.005441232300100074,0.23686825983067364,0.19493147139762296,0.23990168453779237,0.2111871109512689,0.10976644089241612,0.10929790616696512,0.02163613774802945,0.0213941981839621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1470922763031066,0.14626755684006654,,,,,,,,,,,,
False,100000,mean,['fudt_upstream'],rbf,10.0,0.1,34730.0,-0.005688344865583117,-0.005183010867486182,0.11639556715105476,0.12955198536842355,0.12579990437777738,0.13574476091905777,0.10976321656318244,0.10928928188631444,0.021632365888038043,0.02138870364054453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14707945433689248,0.1462487731249207,,,,,,,,,,,,
False,100000,mean,['codon_frequency'],rbf,10.0,0.1,34612.0,-0.006025069934236571,-0.005567771803720145,0.1767653465901023,0.1617802899338099,0.17494333160608866,0.1599837100309876,0.10979210411333852,0.10932071829412152,0.021639608847475705,0.021396890744334176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14710407488399396,0.14627676078015323,,,,,,,,,,,,
False,100000,mean,['calm'],rbf,10.0,0.1,34732.0,-0.004816858359357301,-0.004436330612871853,0.19424390928152252,0.17678509238357645,0.1856979993052297,0.1760176015735392,0.10976557302541344,0.10929837403784046,0.02161362020497886,0.021372815466443366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14701571414300874,0.14619444403411289,,,,,,,,,,,,
False,100000,mean,['fudt_downstream'],rbf,10.0,0.1,34702.0,-0.005768316526796768,-0.005310197008898676,0.0700354345547487,0.07341130671093118,0.07443516018166457,0.07564942741373162,0.10980485256929844,0.10933160116272074,0.021634086079233335,0.02139140996034545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1470853020503182,0.1462580252852658,,,,,,,,,,,,
False,100000,mean,['one_hot_gene'],rbf,10.0,0.1,34606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,mean,['normalized_chrom_pathways'],rbf,10.0,0.1,31307.0,0.11479182450226876,0.11696439978298478,0.3423770938498742,0.34586531618652916,0.3410551243424763,0.3290358747959804,0.10149599312911296,0.10153058374357005,0.01904083629606837,0.018789600055807126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137988536828493,0.1370751620674115,,,,,,,,,,,,
True,100000,mean,['esm2_t33_650M_UR50D_no_dubious'],rbf,10.0,0.1,10005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,mean,['esm2_t33_650M_UR50D_all'],rbf,10.0,0.1,10050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,mean,['nt_window_5979'],rbf,10.0,0.1,18689.0,0.5781394761258749,0.5917148869632664,0.7729461678066873,0.780767520155745,0.7404883089672524,0.7489715762262731,0.07160656039816493,0.07037104073886954,0.009074223891283349,0.00868766104199522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0952587208148595,0.0932076233040797,,,,,,,,,,,,
True,100000,mean,['prot_T5_no_dubious'],rbf,10.0,0.1,10410.0,0.7022381867209544,0.7016897311231617,0.841451728921864,0.8418103134507481,0.8391443420133786,0.8410189182038712,0.056315808166993546,0.05642753417417918,0.006404859443010548,0.006347570407533468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08003036575582138,0.07967164117509735,,,,,,,,,,,,
True,100000,mean,['nt_window_three_prime_300'],rbf,10.0,0.1,23696.0,0.5444621743816394,0.5360201309130113,0.8027132960730233,0.8011242458189239,0.7881252091444908,0.7916594110810565,0.07901938973755955,0.07917809980941258,0.009798622972939744,0.009872757306667736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09898799408483709,0.09936174971621492,,,,,,,,,,,,
True,100000,mean,['nt_window_five_prime_1003'],rbf,10.0,0.1,23161.0,0.5265656597081727,0.5289247753644872,0.7688201114923027,0.773079930787403,0.7569733559037394,0.7526416743376679,0.07887381228600383,0.07875184226912388,0.010183577174222462,0.010023735243432409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10091371152733637,0.10011860588038773,,,,,,,,,,,,
True,100000,mean,['prot_T5_all'],rbf,10.0,0.1,10499.0,0.7012077830394214,0.6931516302532249,0.8408704973778678,0.8359427990532704,0.8381758878696877,0.8402141151052914,0.05639206613851211,0.05673002836391918,0.00642702343602598,0.006529247681408751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08016871856295309,0.08080376031725721,,,,,,,,,,,,
True,100000,mean,['calm'],rbf,10.0,0.1,11460.0,0.694310063147329,0.696442519132811,0.8359420833968366,0.8367954474336196,0.8264979936712232,0.8253412933621688,0.05718475547420324,0.05708867533762189,0.00657539345667973,0.006459222774303841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08108879982266189,0.08036928999502137,,,,,,,,,,,,
False,100000,sum,['esm2_t33_650M_UR50D_no_dubious'],rbf,10.0,0.1,15038.0,0.6516595562730065,0.6569055418268286,0.8125620496438847,0.8154639160477034,0.7883299644984785,0.795720812747865,0.06289554699724735,0.062450505356148885,0.007492806266250416,0.007300507079050288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08656099737324205,0.08544300485733333,,,,,,,,,,,,
True,100000,mean,['codon_frequency'],rbf,10.0,0.1,33243.0,0.061446431988985695,0.05657386639131623,0.2606243933469495,0.24740565004716095,0.25916712960505156,0.2466187177781395,0.10554524416074124,0.1055617278927256,0.020188296197716706,0.02007461503063651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14208552423704782,0.14168491461915242,,,,,,,,,,,,
