seed_gene,seed_orf,class,graph,k,n_reached,n_metabolic,n_on_locus,n_reactions_touched,n_reactions_off_locus,share_off_locus,out_degree
YER024W,YER024W,adjacent enzyme,physical,3,5715,1157,13,2709,2645,0.976375046142488,15
YFL017C,YFL017C,adjacent enzyme,physical,1,14,1,0,2,2,1.0,14
YFL017C,YFL017C,adjacent enzyme,physical,2,4695,883,10,2352,2302,0.9787414965986394,14
YFL017C,YFL017C,adjacent enzyme,physical,3,5715,1157,13,2708,2644,0.9763663220088626,14
YGL062W,YGL062W,adjacent enzyme,physical,1,31,2,0,2,2,1.0,31
YGL062W,YGL062W,adjacent enzyme,physical,2,5356,1080,13,2573,2509,0.9751263116984066,31
YGL062W,YGL062W,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,31
YGL169W,YGL169W,adjacent enzyme,physical,1,4,0,0,0,0,,4
YGL169W,YGL169W,adjacent enzyme,physical,2,5030,993,12,2361,2315,0.9805167301990682,4
YGL169W,YGL169W,adjacent enzyme,physical,3,5718,1157,13,2708,2644,0.9763663220088626,4
YGR015C,YGR015C,adjacent enzyme,physical,1,5,0,0,0,0,,5
YGR015C,YGR015C,adjacent enzyme,physical,2,4147,728,9,2140,2088,0.9757009345794393,5
YGR015C,YGR015C,adjacent enzyme,physical,3,5710,1156,13,2707,2643,0.9763575914296269,5
YGR177C,YGR177C,adjacent enzyme,physical,1,8,0,0,0,0,,8
YGR177C,YGR177C,adjacent enzyme,physical,2,1927,308,4,1085,1072,0.9880184331797235,8
YGR177C,YGR177C,adjacent enzyme,physical,3,5698,1151,13,2707,2643,0.9763575914296269,8
YGR209C,YGR209C,adjacent enzyme,physical,1,80,13,0,26,26,1.0,80
YGR209C,YGR209C,adjacent enzyme,physical,2,5416,1101,13,2679,2615,0.9761104889884286,80
YGR209C,YGR209C,adjacent enzyme,physical,3,5718,1157,13,2705,2641,0.9763401109057301,80
YHR013C,YHR013C,adjacent enzyme,physical,1,60,6,0,8,8,1.0,60
YHR013C,YHR013C,adjacent enzyme,physical,2,5376,1085,12,2651,2605,0.982648057336854,60
YHR013C,YHR013C,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,60
YIL124W,YIL124W,adjacent enzyme,physical,1,38,9,1,90,82,0.9111111111111111,38
YIL124W,YIL124W,adjacent enzyme,physical,2,5436,1108,13,2678,2614,0.9761015683345781,38
YIL124W,YIL124W,adjacent enzyme,physical,3,5718,1157,13,2701,2637,0.9763050721954831,38
YIL160C,YIL160C,adjacent enzyme,physical,1,7,0,0,0,0,,7
YIL160C,YIL160C,adjacent enzyme,physical,2,2483,502,8,1326,1287,0.9705882352941176,7
YIL160C,YIL160C,adjacent enzyme,physical,3,5698,1153,13,2686,2622,0.9761727475800447,7
YIR031C,YIR031C,adjacent enzyme,physical,1,22,0,0,0,0,,22
YIR031C,YIR031C,adjacent enzyme,physical,2,5218,1023,11,2461,2419,0.982933766761479,22
YIR031C,YIR031C,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,22
YJL130C,YJL130C,adjacent enzyme,physical,1,132,15,1,34,22,0.6470588235294118,132
YJL130C,YJL130C,adjacent enzyme,physical,2,5296,1080,12,2542,2486,0.977970102281668,132
YJL130C,YJL130C,adjacent enzyme,physical,3,5718,1157,13,2708,2644,0.9763663220088626,132
YJR019C,YJR019C,adjacent enzyme,physical,1,26,0,0,0,0,,26
YJR019C,YJR019C,adjacent enzyme,physical,2,4799,974,11,2383,2331,0.9781787662610155,26
YJR019C,YJR019C,adjacent enzyme,physical,3,5716,1157,13,2699,2635,0.9762875138940348,26
YJR109C,YJR109C,adjacent enzyme,physical,1,38,9,1,11,9,0.8181818181818182,38
YJR109C,YJR109C,adjacent enzyme,physical,2,5074,1032,11,2550,2512,0.9850980392156863,38
YJR109C,YJR109C,adjacent enzyme,physical,3,5717,1157,13,2709,2645,0.976375046142488,38
YKL094W,YKL094W,adjacent enzyme,physical,1,19,6,1,31,23,0.7419354838709677,19
YKL094W,YKL094W,adjacent enzyme,physical,2,5327,1081,13,2614,2550,0.9755164498852333,19
YKL094W,YKL094W,adjacent enzyme,physical,3,5718,1157,13,2705,2641,0.9763401109057301,19
YKL140W,YKL140W,adjacent enzyme,physical,1,25,5,0,46,46,1.0,25
YKL140W,YKL140W,adjacent enzyme,physical,2,5301,1074,13,2612,2548,0.9754977029096478,25
YKL140W,YKL140W,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,25
YKL188C,YKL188C,adjacent enzyme,physical,1,54,16,0,48,48,1.0,54
YKL188C,YKL188C,adjacent enzyme,physical,2,5312,1043,11,2587,2528,0.9771936606107461,54
YKL188C,YKL188C,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,54
YKR009C,YKR009C,adjacent enzyme,physical,1,25,0,0,0,0,,25
YKR009C,YKR009C,adjacent enzyme,physical,2,4400,916,11,2382,2323,0.9752308984047019,25
YKR009C,YKR009C,adjacent enzyme,physical,3,5712,1154,13,2669,2605,0.9760209816410641,25
YKR067W,YKR067W,adjacent enzyme,physical,1,22,4,2,30,20,0.6666666666666666,22
YKR067W,YKR067W,adjacent enzyme,physical,2,5274,1063,11,2528,2490,0.9849683544303798,22
YKR067W,YKR067W,adjacent enzyme,physical,3,5718,1157,13,2697,2633,0.9762699295513534,22
YKR089C,YKR089C,adjacent enzyme,physical,1,12,0,0,0,0,,12
YKR089C,YKR089C,adjacent enzyme,physical,2,5243,1053,12,2549,2503,0.9819537073362102,12
