orf,self_value,self_rank,n_genes,self_present,version
YBL024W,-4.0071423670278765,1.0,6169,True,kemmeren
YMR145C,-3.661458911788641,1.0,6169,True,kemmeren
YOL104C,-0.9058939605809314,3.0,6169,True,kemmeren
YHR124W,-1.2611437969035932,2.0,6169,True,kemmeren
YLR265C,-2.7892496173035495,1.0,6169,True,kemmeren
YOL042W,-1.5530418497680396,2.0,6169,True,kemmeren
YMR285C,-1.9908159598292818,2.0,6169,True,kemmeren
YML118W,-0.39931391247878734,43.0,6169,True,kemmeren
YBR212W,-1.1919188361440731,3.0,6169,True,kemmeren
YGR104C,-2.9560029113272517,3.0,6169,True,kemmeren
YDR383C,-2.0346664087117947,2.0,6169,True,kemmeren
YLR363C,-2.6464268034189553,1.0,6169,True,kemmeren
YGR089W,-0.6468732119032372,8.0,6169,True,kemmeren
YNL175C,-3.5190396535333126,1.0,6169,True,kemmeren
YER002W,-4.077704782552491,1.0,6169,True,kemmeren
YNR009W,-2.1228939442441237,2.0,6169,True,kemmeren
YBR188C,-2.073119222867646,1.0,6169,True,kemmeren
YAL015C,-2.0856196993236034,1.0,6169,True,kemmeren
YOL043C,-1.9706714665403025,2.0,6169,True,kemmeren
YKL068W,-3.380656421015562,1.0,6169,True,kemmeren
YDL005C,-4.203819676563546,1.0,6169,True,kemmeren
YER105C,-2.7262876754156125,2.0,6169,True,kemmeren
YLR335W,-3.0842978447769664,1.0,6169,True,kemmeren
YDR192C,-3.0299383063744836,1.0,6169,True,kemmeren
YMR153W,-3.879071891513761,1.0,6169,True,kemmeren
YHR195W,-2.4950024972329867,1.0,6169,True,kemmeren
YAL051W,-2.2983771713004097,1.0,6169,True,kemmeren
YKR064W,-2.619990650982772,1.0,6169,True,kemmeren
YPR075C,-0.6572780170689496,7.0,6169,True,kemmeren
YDL019C,-0.5629734246437805,18.0,6169,True,kemmeren
YFL044C,-3.296647858091287,1.0,6169,True,kemmeren
YHR041C,-3.4491067067598165,1.0,6169,True,kemmeren
YOR269W,-1.028093807145306,2.0,6169,True,kemmeren
YDR488C,-0.31254588012125867,97.0,6169,True,kemmeren
YGL094C,-2.51029527723452,1.0,6169,True,kemmeren
YKL025C,-2.867238215339868,1.0,6169,True,kemmeren
YGL261C,0.061546335522558664,3937.0,6169,True,kemmeren
YBR233W,-1.6058555251368751,2.0,6169,True,kemmeren
YBR186W,-0.04051316761121869,2000.0,6169,True,kemmeren
YIL071C,-1.0384248766473143,2.0,6169,True,kemmeren
YNL289W,-3.3372244717351696,1.0,6169,True,kemmeren
YGL134W,-1.9264624225837994,2.0,6169,True,kemmeren
YGL025C,-2.5799756902540363,3.0,6169,True,kemmeren
YDL127W,-2.5077935164129563,1.0,6169,True,kemmeren
YHR071W,-1.9951784211229278,1.0,6169,True,kemmeren
YDL179W,-3.0957401955479247,1.0,6169,True,kemmeren
YGR202C,-2.8453402154664933,1.0,6169,True,kemmeren
YGL013C,-2.4723376726060318,2.0,6169,True,kemmeren
YOR153W,-4.650701866660003,1.0,6169,True,kemmeren
YLR266C,-2.6942068749619783,1.0,6169,True,kemmeren
YPL154C,-3.881897198037422,1.0,6169,True,kemmeren
YFR023W,-0.37212212798915184,43.0,6169,True,kemmeren
YKL043W,-1.1261220394283222,4.0,6169,True,kemmeren
YGL127C,-2.5610148808440942,2.0,6169,True,kemmeren
YDL106C,-2.333559786068288,2.0,6169,True,kemmeren
YFR034C,-1.6155785883134768,2.0,6169,True,kemmeren
YGR233C,-2.9971169512572113,1.0,6169,True,kemmeren
YML123C,-2.3361296286039366,1.0,6169,True,kemmeren
YOR386W,-0.10827675602087548,1009.0,6169,True,kemmeren
YDR313C,-1.1987927973065151,1.0,6169,True,kemmeren
YLR273C,-1.5385468059529828,1.0,6169,True,kemmeren
YGR086C,-5.416258512464841,1.0,6169,True,kemmeren
YOR363C,-1.4785872578140813,2.0,6169,True,kemmeren
YDR501W,-0.6380572268836683,8.0,6169,True,kemmeren
YGL151W,-4.774556322616455,1.0,6169,True,kemmeren
YER132C,-2.2354240476917413,2.0,6169,True,kemmeren
YLR016C,-2.6955015610075828,1.0,6169,True,kemmeren
YGL037C,-3.156649900466513,1.0,6169,True,kemmeren
